approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
pseudorandom,60,16,10,1,9546.37,1585.56,720.71,882.54,6.27,49678.0,TraCI requested termination.,8324.163,3.37307,1524.008119,8001,0,0,1291,15,483,226,567,618
pseudorandom,60,16,10,2,9964.13,1830.27,931.45,1098.75,6.84,64746.0,TraCI requested termination.,8979.177,4.80512,1630.880313,8001,0,0,1276,8,348,329,591,611
pseudorandom,60,16,10,3,9680.17,1648.09,728.68,893.75,5.61,51276.0,TraCI requested termination.,7682.391,3.86286,1716.435677,8001,0,0,1181,7,232,349,593,632
pseudorandom,60,16,10,4,9831.35,1888.26,980.75,1152.59,12.86,61808.0,TraCI requested termination.,9350.547,4.30007,1615.734459,8001,0,0,1161,9,150,385,617,616
pseudorandom,60,16,10,5,9627.66,1494.77,624.21,784.04,5.38,42720.0,TraCI requested termination.,7695.732,2.74438,1554.063603,8001,0,0,1219,15,299,379,526,603
pseudorandom,60,25,10,1,9408.18,1420.54,549.2,708.13,6.5,42913.0,TraCI requested termination.,13907.967,1.53243,817.210524,8001,0,0,1240,6,264,379,591,633
pseudorandom,60,25,10,2,9480.71,1509.72,637.2,796.77,5.46,50324.0,TraCI requested termination.,13312.065,2.15774,907.394608,8001,0,0,1203,6,330,273,594,617
pseudorandom,60,25,10,3,9487.56,1539.44,672.01,831.0,9.89,53563.0,TraCI requested termination.,13159.279,2.42893,936.001129,8001,0,0,1158,13,198,444,503,613
pseudorandom,60,25,10,4,9404.08,1327.47,462.56,620.39,4.98,43665.0,TraCI requested termination.,13059.591,1.68956,813.278609,8001,0,0,1157,19,253,283,602,606
pseudorandom,60,25,10,5,9572.95,1399.9,534.45,694.34,5.5,42290.0,TraCI requested termination.,13169.386,1.57107,850.501762,8001,0,0,1144,7,259,371,507,628
pseudorandom,60,36,10,1,9337.53,1394.83,532.73,689.88,5.84,45478.0,TraCI requested termination.,16907.756,1.41225,660.056367,8001,0,0,1149,10,299,304,536,582
pseudorandom,60,36,10,2,9386.15,1297.18,435.81,591.58,7.57,43850.0,TraCI requested termination.,17225.36,1.2917,602.527843,8001,0,0,1167,13,303,285,566,679
pseudorandom,60,36,10,3,9288.91,1369.25,510.91,668.57,7.35,43249.0,TraCI requested termination.,17913.342,1.20854,611.575383,8001,0,0,1162,11,202,371,578,616
pseudorandom,60,36,10,4,9362.88,1424.77,547.77,704.11,5.94,46140.0,TraCI requested termination.,18436.533,1.33105,618.315602,8001,0,0,1260,7,393,297,563,587
pseudorandom,60,36,10,5,9327.42,1431.31,557.29,721.73,5.56,40967.0,TraCI requested termination.,17954.632,1.07866,637.824323,8001,0,0,1184,12,253,321,598,648
pseudorandom,60,49,10,1,9398.84,1327.29,449.32,606.35,5.84,41594.0,TraCI requested termination.,24160.83,0.827538,439.540943,8001,0,0,1130,7,293,271,559,598
pseudorandom,60,49,10,2,9198.65,1308.17,448.11,604.8,6.74,45046.0,TraCI requested termination.,23132.789,1.01354,452.461655,8001,0,0,1162,7,281,311,563,601
pseudorandom,60,49,10,3,9287.09,1334.42,459.73,615.55,5.76,44372.0,TraCI requested termination.,24879.149,0.915305,429.143376,8001,0,0,1118,15,216,361,526,630
pseudorandom,60,49,10,4,9348.65,1223.17,365.88,522.28,5.27,37612.0,TraCI requested termination.,25211.209,0.635114,388.184557,8001,0,0,1152,7,282,318,545,586
pseudorandom,60,49,10,5,9341.24,1358.3,492.74,651.26,5.5,44806.0,TraCI requested termination.,25282.257,0.917877,429.857271,8001,0,0,1086,6,192,364,524,614
pseudorandom,60,9,10,1,9898.78,1946.73,1037.1,1206.37,5.8,57349.0,TraCI requested termination.,5137.458,6.9585,3031.804445,8001,0,0,1299,13,218,519,549,608
