id,k,servidor,tempo_real_segundos,crossover_rate,mutation_rate,population_size,elitism_size,tournament_size,num_generations,estacoes,estacoes_ga,fitness,fitness_ga,seed,tempo_ag_segundos,tempo_refinamento_segundos,tempo_total_segundos,usou_local_search
10,27,3,1655.9170949459076,0.7,0.08,200,8,5,250,"['43543427', '-24778478#2', '-122449066', '8107657#3', '177224166', '27361000#0', '51751505', '-249650665', '295518617#1', '8094063#1', '-36505692', '245312158#0', '-23750611#2', '-110918049', '-23945153#3', '-26658511#1', '-287871261#1', '8658176#3', '235840007', '109235052#0', '59298853#0', '-24659229#1', '-129801393#2', '28514899#1', '-26751177#2', '30733363#5', '-8196623']","['43543427', '-24778478#2', '-122449066', '8107657#3', '177224166', '27361000#0', '51751505', '-249650665', '295518617#1', '8094063#1', '-36505692', '245312158#0', '-23750611#2', '-110918049', '-23945153#3', '-26658511#1', '-287871261#1', '8658176#3', '235840007', '109235052#0', '59298853#0', '-24659229#1', '-129801393#2', '28514899#1', '-26751177#2', '30733363#5', '-8196623']",208191187,208191187,42,1655.9,0.0,1655.9,False
11,27,3,2260.3908245563507,0.7,0.08,200,8,5,350,"['43543427', '-24778478#2', '-122449066', '8107657#3', '177224166', '-256228550', '51751505', '132648144#2', '295518617#1', '8094063#1', '-25329063#1', '245312158#0', '-23750611#2', '-156136701#0', '176361847#0', '-145733645#11', '-287871261#1', '8658176#3', '235840007', '109235052#0', '59298853#0', '-24659229#1', '-129801393#2', '28514899#1', '-25499743', '30733363#5', '-8196623']","['43543427', '-24778478#2', '-122449066', '8107657#3', '177224166', '-256228550', '51751505', '132648144#2', '295518617#1', '8094063#1', '-25329063#1', '245312158#0', '-23750611#2', '-156136701#0', '176361847#0', '-145733645#11', '-287871261#1', '8658176#3', '235840007', '109235052#0', '59298853#0', '-24659229#1', '-129801393#2', '28514899#1', '-25499743', '30733363#5', '-8196623']",205614944,205614944,42,2260.4,0.0,2260.4,False
12,27,3,969.3756923675537,0.7,0.08,200,8,7,150,"['-156426798#3', '-129801393#2', '-203073660', '-22901641#0', '-37746670#2', '26265023#1', '51751505', '132648122#1', '160604954#2', '67806644#0', '-6961898', '146266829#0', '5372351#1', '24166692#2', '55027861#2', '230275744#0', '-64487932#6', '-59472987#0', '24898206#4', '-227149505', '134517227#1', '120313585', '30716559#0', '24648303#1', '41936112#4', '-28785986', '-24759928#12']","['-156426798#3', '-129801393#2', '-203073660', '-22901641#0', '-37746670#2', '26265023#1', '51751505', '132648122#1', '160604954#2', '67806644#0', '-6961898', '146266829#0', '5372351#1', '24166692#2', '55027861#2', '230275744#0', '-64487932#6', '-59472987#0', '24898206#4', '-227149505', '134517227#1', '120313585', '30716559#0', '24648303#1', '41936112#4', '-28785986', '-24759928#12']",211894324,211894324,42,969.4,0.0,969.4,False
13,27,3,1618.0838479995728,0.7,0.08,200,8,7,250,"['26499845#1', '-129801393#2', '-203073660', '-18230228#4', '102004091#1', '26265023#1', '-26269889#2', '132648122#1', '160604954#2', '67806644#0', '-6961898', '33199216#0', '5372351#1', '24166692#2', '55027861#2', '-22393064', '-64487932#6', '-59472987#0', '24898206#4', '-227149505', '134517227#1', '132531109#0', '30716559#0', '99716592#3', '41936112#4', '-28785986', '24759004']","['26499845#1', '-129801393#2', '-203073660', '-18230228#4', '102004091#1', '26265023#1', '-26269889#2', '132648122#1', '160604954#2', '67806644#0', '-6961898', '33199216#0', '5372351#1', '24166692#2', '55027861#2', '-22393064', '-64487932#6', '-59472987#0', '24898206#4', '-227149505', '134517227#1', '132531109#0', '30716559#0', '99716592#3', '41936112#4', '-28785986', '24759004']",208201314,208201314,42,1618.1,0.0,1618.1,False
14,27,0,4526.423734903336,0.7,0.08,200,8,7,350,"['26499845#1', '-129801393#2', '-203073660', '-38045188#2', '48791727#0', '26265023#1', '-26269889#2', '25154200', '160604954#2', '67806644#0', '-6961898', '-7980772#4', '5372351#1', '24166692#2', '55027861#2', '132715131#4', '-64487932#6', '-59472987#0', '24898206#4', '-227149505', '134517227#1', '132531109#0', '30716559#0', '99716592#3', '41936112#4', '8716987#1', '24759004']","['26499845#1', '-129801393#2', '-203073660', '-38045188#2', '48791727#0', '26265023#1', '-26269889#2', '25154200', '160604954#2', '67806644#0', '-6961898', '-7980772#4', '5372351#1', '24166692#2', '55027861#2', '132715131#4', '-64487932#6', '-59472987#0', '24898206#4', '-227149505', '134517227#1', '132531109#0', '30716559#0', '99716592#3', '41936112#4', '8716987#1', '24759004']",205631613,205631613,42,4526.4,0.0,4526.4,False
15,27,0,1914.3022220134735,0.7,0.08,200,8,10,150,"['-12703191#1', '153319452', '245312158#1', '37044510', '4674651#0', '-147061806#3', '51534019#0', '25507507#0', '250861400#1', '157097806#0', '169394425#1', '-294411870#1', '-25761340#5', '30732999#0', '-133081987#2', '-150562105#0', '26648432#0', '120439409#0', '160601884', '30144664#24', '-25845111#6', '26008370#1', '-80249229#12', '-183488682#0', '-176185525#4', '131467133#1', '26877229#3']","['-12703191#1', '153319452', '245312158#1', '37044510', '4674651#0', '-147061806#3', '51534019#0', '25507507#0', '250861400#1', '157097806#0', '169394425#1', '-294411870#1', '-25761340#5', '30732999#0', '-133081987#2', '-150562105#0', '26648432#0', '120439409#0', '160601884', '30144664#24', '-25845111#6', '26008370#1', '-80249229#12', '-183488682#0', '-176185525#4', '131467133#1', '26877229#3']",206470801,206470801,42,1914.3,0.0,1914.3,False
16,27,0,3198.5143225193024,0.7,0.08,200,8,10,250,"['-12703191#1', '-24759679#4', '245312158#1', '292436718#4', '4674641#3', '25751001', '218895701#0', '25507507#0', '250861400#1', '160513537#0', '169394425#1', '-294411870#1', '-25761340#5', '-25727775#0', '-133081987#2', '-150562105#0', '26648432#0', '-43791772#0', '160601884', '48752980', '-25845108#6', '26008370#1', '-80249229#12', '-183488682#0', '-176185525#4', '131467133#1', '26877229#3']","['-12703191#1', '-24759679#4', '245312158#1', '292436718#4', '4674641#3', '25751001', '218895701#0', '25507507#0', '250861400#1', '160513537#0', '169394425#1', '-294411870#1', '-25761340#5', '-25727775#0', '-133081987#2', '-150562105#0', '26648432#0', '-43791772#0', '160601884', '48752980', '-25845108#6', '26008370#1', '-80249229#12', '-183488682#0', '-176185525#4', '131467133#1', '26877229#3']",200127125,200127125,42,3198.5,0.0,3198.5,False
17,27,2,2346.8032145500183,0.7,0.08,200,8,10,350,"['-12703191#1', '-24758595#1', '245312158#1', '292436718#4', '4674641#3', '25751001', '218895701#0', '25507507#0', '250861400#1', '160513537#0', '169394425#1', '-294411870#1', '-25761340#5', '-25727775#0', '-133081987#2', '-150562105#0', '26648432#0', '-43791772#0', '160601884', '48752980', '-25845108#6', '26008370#1', '-80249229#12', '-183488682#0', '-176185525#4', '131467133#1', '26877229#3']","['-12703191#1', '-24758595#1', '245312158#1', '292436718#4', '4674641#3', '25751001', '218895701#0', '25507507#0', '250861400#1', '160513537#0', '169394425#1', '-294411870#1', '-25761340#5', '-25727775#0', '-133081987#2', '-150562105#0', '26648432#0', '-43791772#0', '160601884', '48752980', '-25845108#6', '26008370#1', '-80249229#12', '-183488682#0', '-176185525#4', '131467133#1', '26877229#3']",200082039,200082039,42,2346.8,0.0,2346.8,False
18,27,2,992.6059403419495,0.7,0.08,200,12,5,150,"['96816919#7', '-24388772#1', '355112737#0', '-22873507#4', '-177224146', '148700865#3', '23151658', '59634557#0', '-49276240', '38823394#1', '240059760', '25507616#0', '149552250#0', '42551572#0', '-30733595#0', '5108550#2', '122875059#2', '-59472987#0', '145733616#1', '-27621106#4', '24545277#0', '24658277', '30716559#0', '-172504419#2', '41936112#4', '23686088#0', '-24759928#12']","['96816919#7', '-24388772#1', '355112737#0', '-22873507#4', '-177224146', '148700865#3', '23151658', '59634557#0', '-49276240', '38823394#1', '240059760', '25507616#0', '149552250#0', '42551572#0', '-30733595#0', '5108550#2', '122875059#2', '-59472987#0', '145733616#1', '-27621106#4', '24545277#0', '24658277', '30716559#0', '-172504419#2', '41936112#4', '23686088#0', '-24759928#12']",209286392,209286392,42,992.6,0.0,992.6,False
19,27,2,1655.848173379898,0.7,0.08,200,12,5,250,"['96816919#7', '-24388772#1', '355112737#0', '-22873507#4', '-177224146', '148700865#3', '23151658', '59634557#0', '-49276240', '24990440#2', '240059760', '-23594937#6', '9250385', '42551572#0', '-30733595#0', '5108550#2', '-25994282#2', '-59472987#0', '69403435#3', '-27621106#4', '24545277#0', '24658277', '30716559#0', '-172504419#2', '41936112#4', '23686088#0', '-24759928#12']","['96816919#7', '-24388772#1', '355112737#0', '-22873507#4', '-177224146', '148700865#3', '23151658', '59634557#0', '-49276240', '24990440#2', '240059760', '-23594937#6', '9250385', '42551572#0', '-30733595#0', '5108550#2', '-25994282#2', '-59472987#0', '69403435#3', '-27621106#4', '24545277#0', '24658277', '30716559#0', '-172504419#2', '41936112#4', '23686088#0', '-24759928#12']",207524370,207524370,42,1655.8,0.0,1655.8,False
