approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
random,10,25,15,2,9697.68,1722.28,819.28,984.75,10.16,42383.0,TraCI requested termination.,13721.585,1.51462,1004.255121,8001,0,0,1487,20,361,459,647,676
random,10,25,15,3,9786.09,2373.0,1415.8,1587.4,9.67,63296.0,TraCI requested termination.,13404.413,3.11062,1416.42577,8001,0,0,1608,9,158,718,723,614
random,10,25,15,4,9749.58,2390.47,1444.05,1619.33,9.36,64264.0,TraCI requested termination.,15902.325,2.68288,1202.726457,8001,0,0,1711,7,319,663,722,641
random,10,25,15,5,9647.56,2289.78,1323.67,1497.72,5.71,73898.0,TraCI requested termination.,12951.808,4.03789,1414.516413,8001,0,0,1549,15,318,502,714,611
random,10,36,15,1,9565.12,1564.15,663.09,823.79,6.02,38752.0,TraCI requested termination.,20697.038,0.828718,604.664735,8001,0,0,1305,7,331,355,612,559
random,10,36,15,2,9606.29,1717.89,808.98,970.48,5.59,47282.0,TraCI requested termination.,18936.517,1.35622,725.835696,8001,0,0,1346,7,222,477,640,622
random,10,36,15,3,9644.24,1702.66,800.96,965.85,8.2,48228.0,TraCI requested termination.,22081.657,1.20589,616.935541,8001,0,0,1411,12,316,439,644,589
random,10,36,15,4,9818.01,1740.76,807.56,975.7,5.57,45364.0,TraCI requested termination.,20053.779,1.18501,694.524658,8001,0,0,1363,7,285,473,598,577
random,10,36,15,5,9492.95,1531.86,665.05,822.1,6.09,51783.0,TraCI requested termination.,18906.886,1.5964,648.253287,8001,0,0,1239,9,301,429,500,593
random,10,49,15,1,9496.86,1604.41,712.11,874.99,8.22,46026.0,TraCI requested termination.,25845.578,0.945075,496.675331,8001,0,0,1237,13,275,340,609,581
random,10,49,15,2,9336.81,1314.97,448.53,604.62,7.18,43363.0,TraCI requested termination.,24808.11,0.877253,424.097765,8001,0,0,939,5,209,268,457,589
random,10,49,15,3,9532.3,1686.96,771.06,934.36,5.3,50506.0,TraCI requested termination.,28600.219,1.01069,471.933484,8001,0,0,1298,9,129,472,688,632
random,10,49,15,4,9510.44,1717.05,810.09,974.43,11.12,47380.0,TraCI requested termination.,26526.751,0.971849,517.898027,8001,0,0,1258,7,178,511,562,577
random,10,49,15,5,9373.33,1457.01,575.08,732.57,6.02,39561.0,TraCI requested termination.,28807.34,0.623487,404.67249,8001,0,0,1069,7,256,333,473,629
random,10,9,15,1,10315.99,2732.44,1744.04,1928.82,5.34,62404.0,TraCI requested termination.,5237.567,7.79064,4174.121496,8001,0,0,1529,13,361,466,689,611
random,10,9,15,2,10531.02,3212.64,2186.77,2380.05,5.53,72166.0,TraCI requested termination.,6115.158,8.26896,4203.383625,8001,0,0,1761,7,391,482,881,678
random,10,9,15,3,10111.05,3306.91,2318.96,2521.05,7.72,81370.0,TraCI requested termination.,4705.475,12.7022,5622.93371,8001,0,0,1776,10,533,450,783,612
random,10,9,15,4,10251.44,3007.37,2001.7,2188.57,5.31,72416.0,TraCI requested termination.,5722.424,8.88015,4204.863009,8001,0,0,1695,9,398,563,725,605
random,10,9,15,5,10109.1,2075.66,1161.51,1340.76,8.3,54397.0,TraCI requested termination.,5986.685,5.47832,2774.049912,8001,0,0,1668,5,574,436,653,629
random,10,16,20,1,10390.74,2969.15,1914.54,2101.1,9.96,63266.0,TraCI requested termination.,13520.882,3.0816,1757.001134,8001,0,0,2288,13,427,941,907,628
random,10,16,20,2,10286.78,3922.72,2850.82,3046.19,19.21,88122.0,TraCI requested termination.,11540.678,5.76413,2719.568469,8001,0,0,2301,13,544,760,984,648
random,10,16,20,3,11294.65,4050.93,2925.44,3134.18,5.79,77345.0,TraCI requested termination.,13056.842,4.26941,2482.33991,8001,0,0,2281,7,568,717,989,625
random,10,16,20,4,10834.39,3637.97,2551.77,2759.31,5.02,78416.0,TraCI requested termination.,12929.703,4.39422,2251.207085,8001,0,0,2064,7,226,811,1020,619
random,10,16,20,5,10159.32,3009.34,1997.97,2183.56,12.63,65950.0,TraCI requested termination.,12347.546,3.59181,1950.000429,8001,0,0,2194,9,468,719,998,632
random,10,25,20,1,10283.69,2875.01,1861.08,2045.03,5.76,65400.0,TraCI requested termination.,20796.952,2.10608,1106.074486,8001,0,0,2168,12,390,908,858,648
random,10,25,20,2,10038.33,2392.41,1400.06,1577.37,10.76,51731.0,TraCI requested termination.,18585.23,1.62123,1029.939258,8001,0,0,2184,19,477,763,925,638
random,10,25,20,3,10115.75,3197.8,2146.35,2332.7,8.17,76121.0,TraCI requested termination.,18262.268,2.98545,1401.00879,8001,0,0,2240,12,215,1054,959,605
random,10,25,20,4,10095.95,3275.25,2239.65,2427.51,10.31,67377.0,TraCI requested termination.,21604.378,2.11888,1212.961975,8001,0,0,2470,11,437,1037,985,679
random,10,25,20,5,9997.48,3164.3,2103.43,2290.23,6.74,66870.0,TraCI requested termination.,17410.364,2.60018,1454.167874,8001,0,0,2172,8,575,587,1002,609
random,10,36,20,1,9831.05,2177.59,1192.12,1362.07,7.37,47140.0,TraCI requested termination.,27719.145,0.921385,628.550339,8001,0,0,2072,4,569,598,901,648
random,10,36,20,2,9908.2,2569.16,1556.6,1728.02,6.07,70757.0,TraCI requested termination.,26251.948,1.87251,783.022007,8001,0,0,1950,9,321,766,854,588
random,10,36,20,3,9889.48,2209.26,1236.15,1406.7,11.05,51116.0,TraCI requested termination.,28429.717,1.03821,621.75392,8001,0,0,2172,10,512,781,869,621
random,10,36,20,4,10141.96,2575.43,1535.4,1718.18,5.86,55529.0,TraCI requested termination.,26248.348,1.29261,785.039119,8001,0,0,2210,6,413,795,996,622
random,10,36,20,5,9760.81,2023.09,1084.64,1250.7,7.02,56335.0,TraCI requested termination.,24902.739,1.39483,649.999625,8001,0,0,1936,11,480,602,843,567
random,10,49,20,1,9768.83,2136.4,1161.37,1332.56,7.24,51408.0,TraCI requested termination.,34677.035,0.859589,492.930696,8001,0,0,1726,11,414,436,865,627
random,10,49,20,2,9511.14,1783.94,837.55,999.93,6.83,51352.0,TraCI requested termination.,18201.444,1.6346,784.183057,8001,0,0,1693,9,407,509,768,599
random,10,49,20,3,9779.89,2184.02,1211.82,1381.18,5.1,54560.0,TraCI requested termination.,36555.941,0.901632,478.016227,8001,0,0,1897,7,246,700,944,639
random,10,49,20,4,9774.14,2210.54,1242.13,1410.54,13.75,50102.0,TraCI requested termination.,34946.454,0.815591,506.10348,8001,0,0,1942,8,299,825,810,686
random,10,49,20,5,9600.89,2006.45,1045.13,1210.02,7.88,47687.0,TraCI requested termination.,37705.383,0.691864,425.76369,8001,0,0,1789,15,497,511,766,637
random,10,9,20,1,10752.57,4255.5,3147.57,3355.2,4.84,83044.0,TraCI requested termination.,7161.51,8.57975,4754.336167,8001,0,0,2332,13,656,641,1022,657
random,10,9,20,2,11163.52,5121.4,3936.68,4166.02,5.71,86312.0,TraCI requested termination.,8464.16,7.64541,4841.159548,8001,0,0,2624,10,667,803,1144,674
random,10,9,20,3,10542.67,4571.67,3491.62,3722.13,11.83,90416.0,TraCI requested termination.,5896.561,11.6705,6203.266107,8001,0,0,2248,11,694,575,968,644
random,10,9,20,4,10734.73,4365.27,3247.98,3456.33,5.8,93018.0,TraCI requested termination.,7511.113,9.50831,4649.978106,8001,0,0,2672,14,836,778,1044,648
random,10,9,20,5,10597.99,2992.81,1970.52,2172.91,11.51,64432.0,TraCI requested termination.,8056.183,5.31666,2972.310833,8001,0,0,2348,3,784,623,938,656
random,10,16,25,1,10713.2,4026.45,2882.85,3089.04,9.76,79438.0,TraCI requested termination.,16759.705,3.45102,1922.208356,8001,0,0,2848,12,420,1166,1250,650
