2026-08-30 04:18:01 | ======================================================================
2026-08-30 04:18:01 | Iniciando tarefa — servidor2_tarefa112 | k=27 | seed=42
2026-08-30 04:18:01 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.12, 'population_size': 300, 'elitism_size': 4, 'tournament_size': 7, 'num_generations': 250}
2026-08-30 04:18:04 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-30 04:18:17 | Geração 1/250 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-30 04:18:32 | Geração 2/250 — melhor fitness: 255548699 | sem melhora há 2 geração(ões)
2026-08-30 04:18:45 | Geração 3/250 — melhor fitness: 251169236 | sem melhora há 0 geração(ões)
2026-08-30 04:18:59 | Geração 4/250 — melhor fitness: 249289455 | sem melhora há 0 geração(ões)
2026-08-30 04:19:14 | Geração 5/250 — melhor fitness: 244794051 | sem melhora há 0 geração(ões)
2026-08-30 04:19:29 | Geração 6/250 — melhor fitness: 241722300 | sem melhora há 0 geração(ões)
2026-08-30 04:19:43 | Geração 7/250 — melhor fitness: 241722300 | sem melhora há 1 geração(ões)
2026-08-30 04:19:56 | Geração 8/250 — melhor fitness: 241722300 | sem melhora há 2 geração(ões)
2026-08-30 04:20:09 | Geração 9/250 — melhor fitness: 241722300 | sem melhora há 3 geração(ões)
2026-08-30 04:20:22 | Geração 10/250 — melhor fitness: 241658782 | sem melhora há 0 geração(ões)
2026-08-30 04:20:37 | Geração 11/250 — melhor fitness: 237059050 | sem melhora há 0 geração(ões)
2026-08-30 04:20:51 | Geração 12/250 — melhor fitness: 237059050 | sem melhora há 1 geração(ões)
2026-08-30 04:21:04 | Geração 13/250 — melhor fitness: 236887931 | sem melhora há 0 geração(ões)
2026-08-30 04:21:18 | Geração 14/250 — melhor fitness: 236887931 | sem melhora há 1 geração(ões)
2026-08-30 04:21:33 | Geração 15/250 — melhor fitness: 236887931 | sem melhora há 2 geração(ões)
2026-08-30 04:21:46 | Geração 16/250 — melhor fitness: 236887931 | sem melhora há 3 geração(ões)
2026-08-30 04:22:00 | Geração 17/250 — melhor fitness: 236887931 | sem melhora há 4 geração(ões)
2026-08-30 04:22:14 | Geração 18/250 — melhor fitness: 236887931 | sem melhora há 5 geração(ões)
2026-08-30 04:22:28 | Geração 19/250 — melhor fitness: 236887931 | sem melhora há 6 geração(ões)
2026-08-30 04:22:41 | Geração 20/250 — melhor fitness: 234522812 | sem melhora há 0 geração(ões)
2026-08-30 04:22:54 | Geração 21/250 — melhor fitness: 234522812 | sem melhora há 1 geração(ões)
2026-08-30 04:23:08 | Geração 22/250 — melhor fitness: 233107149 | sem melhora há 0 geração(ões)
2026-08-30 04:23:22 | Geração 23/250 — melhor fitness: 233107149 | sem melhora há 1 geração(ões)
2026-08-30 04:23:36 | Geração 24/250 — melhor fitness: 229277956 | sem melhora há 0 geração(ões)
2026-08-30 04:23:50 | Geração 25/250 — melhor fitness: 229277956 | sem melhora há 1 geração(ões)
2026-08-30 04:24:04 | Geração 26/250 — melhor fitness: 229277956 | sem melhora há 2 geração(ões)
2026-08-30 04:24:18 | Geração 27/250 — melhor fitness: 229277956 | sem melhora há 3 geração(ões)
2026-08-30 04:24:32 | Geração 28/250 — melhor fitness: 229277956 | sem melhora há 4 geração(ões)
2026-08-30 04:24:46 | Geração 29/250 — melhor fitness: 229277956 | sem melhora há 5 geração(ões)
