2026-09-02 23:15:41 | ======================================================================
2026-09-02 23:15:41 | Iniciando tarefa — servidor3_tarefa659 | k=27 | seed=42
2026-09-02 23:15:41 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.18, 'population_size': 200, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 350}
2026-09-02 23:15:43 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-02 23:15:56 | Geração 1/350 — melhor fitness: 263471977 | sem melhora há 0 geração(ões)
2026-09-02 23:16:09 | Geração 2/350 — melhor fitness: 256356309 | sem melhora há 0 geração(ões)
2026-09-02 23:16:22 | Geração 3/350 — melhor fitness: 255017781 | sem melhora há 0 geração(ões)
2026-09-02 23:16:34 | Geração 4/350 — melhor fitness: 255017781 | sem melhora há 1 geração(ões)
2026-09-02 23:16:46 | Geração 5/350 — melhor fitness: 253181997 | sem melhora há 0 geração(ões)
2026-09-02 23:16:58 | Geração 6/350 — melhor fitness: 252757428 | sem melhora há 0 geração(ões)
2026-09-02 23:17:11 | Geração 7/350 — melhor fitness: 251284203 | sem melhora há 0 geração(ões)
2026-09-02 23:17:24 | Geração 8/350 — melhor fitness: 251284203 | sem melhora há 1 geração(ões)
2026-09-02 23:17:36 | Geração 9/350 — melhor fitness: 251284203 | sem melhora há 2 geração(ões)
2026-09-02 23:17:49 | Geração 10/350 — melhor fitness: 250175804 | sem melhora há 0 geração(ões)
2026-09-02 23:18:01 | Geração 11/350 — melhor fitness: 250175804 | sem melhora há 1 geração(ões)
2026-09-02 23:18:14 | Geração 12/350 — melhor fitness: 246929316 | sem melhora há 0 geração(ões)
2026-09-02 23:18:27 | Geração 13/350 — melhor fitness: 246929316 | sem melhora há 1 geração(ões)
2026-09-02 23:18:39 | Geração 14/350 — melhor fitness: 246929316 | sem melhora há 2 geração(ões)
2026-09-02 23:18:52 | Geração 15/350 — melhor fitness: 244928345 | sem melhora há 0 geração(ões)
2026-09-02 23:19:04 | Geração 16/350 — melhor fitness: 244916525 | sem melhora há 0 geração(ões)
2026-09-02 23:19:17 | Geração 17/350 — melhor fitness: 244916525 | sem melhora há 1 geração(ões)
2026-09-02 23:19:29 | Geração 18/350 — melhor fitness: 240189856 | sem melhora há 0 geração(ões)
2026-09-02 23:19:42 | Geração 19/350 — melhor fitness: 240189856 | sem melhora há 1 geração(ões)
2026-09-02 23:19:55 | Geração 20/350 — melhor fitness: 240189856 | sem melhora há 2 geração(ões)
2026-09-02 23:20:06 | Geração 21/350 — melhor fitness: 240189856 | sem melhora há 3 geração(ões)
2026-09-02 23:20:18 | Geração 22/350 — melhor fitness: 240189856 | sem melhora há 4 geração(ões)
2026-09-02 23:20:30 | Geração 23/350 — melhor fitness: 238863366 | sem melhora há 0 geração(ões)
2026-09-02 23:20:43 | Geração 24/350 — melhor fitness: 238855574 | sem melhora há 0 geração(ões)
2026-09-02 23:20:56 | Geração 25/350 — melhor fitness: 238855574 | sem melhora há 1 geração(ões)
2026-09-02 23:21:09 | Geração 26/350 — melhor fitness: 238855574 | sem melhora há 2 geração(ões)
2026-09-02 23:21:22 | Geração 27/350 — melhor fitness: 235436981 | sem melhora há 0 geração(ões)
2026-09-02 23:21:34 | Geração 28/350 — melhor fitness: 235436981 | sem melhora há 1 geração(ões)
2026-09-02 23:21:47 | Geração 29/350 — melhor fitness: 235436981 | sem melhora há 2 geração(ões)
2026-09-02 23:22:01 | Geração 30/350 — melhor fitness: 235436981 | sem melhora há 3 geração(ões)
2026-09-02 23:22:13 | Geração 31/350 — melhor fitness: 235436981 | sem melhora há 4 geração(ões)
2026-09-02 23:22:25 | Geração 32/350 — melhor fitness: 234872664 | sem melhora há 0 geração(ões)
2026-09-02 23:22:37 | Geração 33/350 — melhor fitness: 234872664 | sem melhora há 1 geração(ões)
2026-09-02 23:22:50 | Geração 34/350 — melhor fitness: 234872664 | sem melhora há 2 geração(ões)
2026-09-02 23:23:02 | Geração 35/350 — melhor fitness: 234705905 | sem melhora há 0 geração(ões)
2026-09-02 23:23:14 | Geração 36/350 — melhor fitness: 234705905 | sem melhora há 1 geração(ões)
2026-09-02 23:23:26 | Geração 37/350 — melhor fitness: 234705905 | sem melhora há 2 geração(ões)
2026-09-02 23:23:38 | Geração 38/350 — melhor fitness: 234705905 | sem melhora há 3 geração(ões)
2026-09-02 23:23:50 | Geração 39/350 — melhor fitness: 234705905 | sem melhora há 4 geração(ões)
2026-09-02 23:24:03 | Geração 40/350 — melhor fitness: 234705905 | sem melhora há 5 geração(ões)
2026-09-02 23:24:16 | Geração 41/350 — melhor fitness: 234705905 | sem melhora há 6 geração(ões)
2026-09-02 23:24:28 | Geração 42/350 — melhor fitness: 234705905 | sem melhora há 7 geração(ões)
2026-09-02 23:24:40 | Geração 43/350 — melhor fitness: 234705905 | sem melhora há 8 geração(ões)
2026-09-02 23:24:53 | Geração 44/350 — melhor fitness: 234247003 | sem melhora há 0 geração(ões)
2026-09-02 23:25:06 | Geração 45/350 — melhor fitness: 234247003 | sem melhora há 1 geração(ões)
2026-09-02 23:25:18 | Geração 46/350 — melhor fitness: 234247003 | sem melhora há 2 geração(ões)
2026-09-02 23:25:31 | Geração 47/350 — melhor fitness: 234247003 | sem melhora há 3 geração(ões)
2026-09-02 23:25:43 | Geração 48/350 — melhor fitness: 234247003 | sem melhora há 4 geração(ões)
2026-09-02 23:25:56 | Geração 49/350 — melhor fitness: 234247003 | sem melhora há 5 geração(ões)
2026-09-02 23:26:08 | Geração 50/350 — melhor fitness: 234247003 | sem melhora há 6 geração(ões)
2026-09-02 23:26:19 | Geração 51/350 — melhor fitness: 234247003 | sem melhora há 7 geração(ões)
2026-09-02 23:26:32 | Geração 52/350 — melhor fitness: 234247003 | sem melhora há 8 geração(ões)
2026-09-02 23:26:45 | Geração 53/350 — melhor fitness: 234247003 | sem melhora há 9 geração(ões)
2026-09-02 23:26:57 | Geração 54/350 — melhor fitness: 234247003 | sem melhora há 10 geração(ões)
2026-09-02 23:27:09 | Geração 55/350 — melhor fitness: 234147792 | sem melhora há 0 geração(ões)
2026-09-02 23:27:22 | Geração 56/350 — melhor fitness: 234147792 | sem melhora há 1 geração(ões)
2026-09-02 23:27:35 | Geração 57/350 — melhor fitness: 234147792 | sem melhora há 2 geração(ões)
2026-09-02 23:27:47 | Geração 58/350 — melhor fitness: 234147792 | sem melhora há 3 geração(ões)
2026-09-02 23:28:00 | Geração 59/350 — melhor fitness: 234147792 | sem melhora há 4 geração(ões)
2026-09-02 23:28:12 | Geração 60/350 — melhor fitness: 234147792 | sem melhora há 5 geração(ões)
2026-09-02 23:28:24 | Geração 61/350 — melhor fitness: 232548283 | sem melhora há 0 geração(ões)
2026-09-02 23:28:37 | Geração 62/350 — melhor fitness: 232548283 | sem melhora há 1 geração(ões)
2026-09-02 23:28:50 | Geração 63/350 — melhor fitness: 232548283 | sem melhora há 2 geração(ões)
2026-09-02 23:29:02 | Geração 64/350 — melhor fitness: 231858920 | sem melhora há 0 geração(ões)
2026-09-02 23:29:15 | Geração 65/350 — melhor fitness: 231858920 | sem melhora há 1 geração(ões)
2026-09-02 23:29:27 | Geração 66/350 — melhor fitness: 231858920 | sem melhora há 2 geração(ões)
2026-09-02 23:29:40 | Geração 67/350 — melhor fitness: 231858920 | sem melhora há 3 geração(ões)
2026-09-02 23:29:52 | Geração 68/350 — melhor fitness: 231448176 | sem melhora há 0 geração(ões)
2026-09-02 23:30:05 | Geração 69/350 — melhor fitness: 228237882 | sem melhora há 0 geração(ões)
2026-09-02 23:30:17 | Geração 70/350 — melhor fitness: 228237882 | sem melhora há 1 geração(ões)
2026-09-02 23:30:29 | Geração 71/350 — melhor fitness: 228237882 | sem melhora há 2 geração(ões)
2026-09-02 23:30:42 | Geração 72/350 — melhor fitness: 228237882 | sem melhora há 3 geração(ões)
2026-09-02 23:30:55 | Geração 73/350 — melhor fitness: 228106604 | sem melhora há 0 geração(ões)
2026-09-02 23:31:08 | Geração 74/350 — melhor fitness: 228106604 | sem melhora há 1 geração(ões)
2026-09-02 23:31:21 | Geração 75/350 — melhor fitness: 228106604 | sem melhora há 2 geração(ões)
2026-09-02 23:31:33 | Geração 76/350 — melhor fitness: 228106604 | sem melhora há 3 geração(ões)
2026-09-02 23:31:46 | Geração 77/350 — melhor fitness: 228106604 | sem melhora há 4 geração(ões)
2026-09-02 23:31:59 | Geração 78/350 — melhor fitness: 228106604 | sem melhora há 5 geração(ões)
2026-09-02 23:32:11 | Geração 79/350 — melhor fitness: 228106604 | sem melhora há 6 geração(ões)
2026-09-02 23:32:23 | Geração 80/350 — melhor fitness: 228106604 | sem melhora há 7 geração(ões)
2026-09-02 23:32:36 | Geração 81/350 — melhor fitness: 228106604 | sem melhora há 8 geração(ões)
2026-09-02 23:32:48 | Geração 82/350 — melhor fitness: 228106604 | sem melhora há 9 geração(ões)
2026-09-02 23:33:01 | Geração 83/350 — melhor fitness: 228106604 | sem melhora há 10 geração(ões)
2026-09-02 23:33:14 | Geração 84/350 — melhor fitness: 228106604 | sem melhora há 11 geração(ões)
2026-09-02 23:33:26 | Geração 85/350 — melhor fitness: 228106604 | sem melhora há 12 geração(ões)
2026-09-02 23:33:38 | Geração 86/350 — melhor fitness: 228106604 | sem melhora há 13 geração(ões)
2026-09-02 23:33:50 | Geração 87/350 — melhor fitness: 228106604 | sem melhora há 14 geração(ões)
2026-09-02 23:34:02 | Geração 88/350 — melhor fitness: 228106604 | sem melhora há 15 geração(ões)
2026-09-02 23:34:15 | Geração 89/350 — melhor fitness: 228106604 | sem melhora há 16 geração(ões)
2026-09-02 23:34:27 | Geração 90/350 — melhor fitness: 228106604 | sem melhora há 17 geração(ões)
2026-09-02 23:34:39 | Geração 91/350 — melhor fitness: 228106604 | sem melhora há 18 geração(ões)
2026-09-02 23:34:51 | Geração 92/350 — melhor fitness: 228106604 | sem melhora há 19 geração(ões)
2026-09-02 23:35:03 | Geração 93/350 — melhor fitness: 228106604 | sem melhora há 20 geração(ões)
2026-09-02 23:35:16 | Geração 94/350 — melhor fitness: 228106604 | sem melhora há 21 geração(ões)
2026-09-02 23:35:28 | Geração 95/350 — melhor fitness: 228106604 | sem melhora há 22 geração(ões)
2026-09-02 23:35:41 | Geração 96/350 — melhor fitness: 228106604 | sem melhora há 23 geração(ões)
2026-09-02 23:35:53 | Geração 97/350 — melhor fitness: 228106604 | sem melhora há 24 geração(ões)
2026-09-02 23:36:05 | Geração 98/350 — melhor fitness: 228106604 | sem melhora há 25 geração(ões)
2026-09-02 23:36:18 | Geração 99/350 — melhor fitness: 228106604 | sem melhora há 26 geração(ões)
2026-09-02 23:36:30 | Geração 100/350 — melhor fitness: 228106604 | sem melhora há 27 geração(ões)
2026-09-02 23:36:43 | Geração 101/350 — melhor fitness: 228106604 | sem melhora há 28 geração(ões)
2026-09-02 23:36:55 | Geração 102/350 — melhor fitness: 227008485 | sem melhora há 0 geração(ões)
2026-09-02 23:37:08 | Geração 103/350 — melhor fitness: 227008485 | sem melhora há 1 geração(ões)
2026-09-02 23:37:20 | Geração 104/350 — melhor fitness: 227008485 | sem melhora há 2 geração(ões)
2026-09-02 23:37:32 | Geração 105/350 — melhor fitness: 227008485 | sem melhora há 3 geração(ões)
2026-09-02 23:37:44 | Geração 106/350 — melhor fitness: 227008485 | sem melhora há 4 geração(ões)
2026-09-02 23:37:56 | Geração 107/350 — melhor fitness: 227008485 | sem melhora há 5 geração(ões)
2026-09-02 23:38:09 | Geração 108/350 — melhor fitness: 227008485 | sem melhora há 6 geração(ões)
2026-09-02 23:38:22 | Geração 109/350 — melhor fitness: 227008485 | sem melhora há 7 geração(ões)
2026-09-02 23:38:34 | Geração 110/350 — melhor fitness: 227008485 | sem melhora há 8 geração(ões)
2026-09-02 23:38:45 | Geração 111/350 — melhor fitness: 227008485 | sem melhora há 9 geração(ões)
2026-09-02 23:38:59 | Geração 112/350 — melhor fitness: 227008485 | sem melhora há 10 geração(ões)
2026-09-02 23:39:11 | Geração 113/350 — melhor fitness: 227008485 | sem melhora há 11 geração(ões)
2026-09-02 23:39:23 | Geração 114/350 — melhor fitness: 227008485 | sem melhora há 12 geração(ões)
2026-09-02 23:39:35 | Geração 115/350 — melhor fitness: 227008485 | sem melhora há 13 geração(ões)
2026-09-02 23:39:47 | Geração 116/350 — melhor fitness: 227008485 | sem melhora há 14 geração(ões)
2026-09-02 23:39:59 | Geração 117/350 — melhor fitness: 227008485 | sem melhora há 15 geração(ões)
2026-09-02 23:40:11 | Geração 118/350 — melhor fitness: 227008485 | sem melhora há 16 geração(ões)
2026-09-02 23:40:24 | Geração 119/350 — melhor fitness: 227008485 | sem melhora há 17 geração(ões)
2026-09-02 23:40:36 | Geração 120/350 — melhor fitness: 227008485 | sem melhora há 18 geração(ões)
2026-09-02 23:40:48 | Geração 121/350 — melhor fitness: 227008485 | sem melhora há 19 geração(ões)
2026-09-02 23:41:01 | Geração 122/350 — melhor fitness: 224369762 | sem melhora há 0 geração(ões)
2026-09-02 23:41:14 | Geração 123/350 — melhor fitness: 224369762 | sem melhora há 1 geração(ões)
2026-09-02 23:41:26 | Geração 124/350 — melhor fitness: 224369762 | sem melhora há 2 geração(ões)
2026-09-02 23:41:39 | Geração 125/350 — melhor fitness: 224369762 | sem melhora há 3 geração(ões)
2026-09-02 23:41:52 | Geração 126/350 — melhor fitness: 224369762 | sem melhora há 4 geração(ões)
2026-09-02 23:42:05 | Geração 127/350 — melhor fitness: 224369762 | sem melhora há 5 geração(ões)
2026-09-02 23:42:18 | Geração 128/350 — melhor fitness: 224369762 | sem melhora há 6 geração(ões)
2026-09-02 23:42:31 | Geração 129/350 — melhor fitness: 224369762 | sem melhora há 7 geração(ões)
2026-09-02 23:42:44 | Geração 130/350 — melhor fitness: 224369762 | sem melhora há 8 geração(ões)
2026-09-02 23:42:55 | Geração 131/350 — melhor fitness: 224369762 | sem melhora há 9 geração(ões)
2026-09-02 23:43:07 | Geração 132/350 — melhor fitness: 224369762 | sem melhora há 10 geração(ões)
2026-09-02 23:43:19 | Geração 133/350 — melhor fitness: 224369762 | sem melhora há 11 geração(ões)
2026-09-02 23:43:31 | Geração 134/350 — melhor fitness: 224369762 | sem melhora há 12 geração(ões)
2026-09-02 23:43:44 | Geração 135/350 — melhor fitness: 224369762 | sem melhora há 13 geração(ões)
2026-09-02 23:43:56 | Geração 136/350 — melhor fitness: 224369762 | sem melhora há 14 geração(ões)
2026-09-02 23:44:09 | Geração 137/350 — melhor fitness: 224369762 | sem melhora há 15 geração(ões)
2026-09-02 23:44:21 | Geração 138/350 — melhor fitness: 224369762 | sem melhora há 16 geração(ões)
