2026-09-01 13:06:16 | ======================================================================
2026-09-01 13:06:16 | Iniciando tarefa — servidor3_tarefa373 | k=27 | seed=42
2026-09-01 13:06:16 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.12, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 250}
2026-09-01 13:06:18 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-01 13:06:31 | Geração 1/250 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-01 13:06:45 | Geração 2/250 — melhor fitness: 252710313 | sem melhora há 0 geração(ões)
2026-09-01 13:06:58 | Geração 3/250 — melhor fitness: 252710313 | sem melhora há 1 geração(ões)
2026-09-01 13:07:12 | Geração 4/250 — melhor fitness: 247057742 | sem melhora há 0 geração(ões)
2026-09-01 13:07:28 | Geração 5/250 — melhor fitness: 247057742 | sem melhora há 1 geração(ões)
2026-09-01 13:07:41 | Geração 6/250 — melhor fitness: 238975684 | sem melhora há 0 geração(ões)
2026-09-01 13:07:56 | Geração 7/250 — melhor fitness: 238348706 | sem melhora há 0 geração(ões)
2026-09-01 13:08:10 | Geração 8/250 — melhor fitness: 238348706 | sem melhora há 1 geração(ões)
2026-09-01 13:08:23 | Geração 9/250 — melhor fitness: 238348706 | sem melhora há 2 geração(ões)
2026-09-01 13:08:36 | Geração 10/250 — melhor fitness: 238348706 | sem melhora há 3 geração(ões)
2026-09-01 13:08:49 | Geração 11/250 — melhor fitness: 232801507 | sem melhora há 0 geração(ões)
2026-09-01 13:09:03 | Geração 12/250 — melhor fitness: 232801507 | sem melhora há 1 geração(ões)
2026-09-01 13:09:15 | Geração 13/250 — melhor fitness: 232171957 | sem melhora há 0 geração(ões)
2026-09-01 13:09:29 | Geração 14/250 — melhor fitness: 230769100 | sem melhora há 0 geração(ões)
2026-09-01 13:09:43 | Geração 15/250 — melhor fitness: 230769100 | sem melhora há 1 geração(ões)
2026-09-01 13:09:57 | Geração 16/250 — melhor fitness: 229900851 | sem melhora há 0 geração(ões)
2026-09-01 13:10:11 | Geração 17/250 — melhor fitness: 229900851 | sem melhora há 1 geração(ões)
2026-09-01 13:10:25 | Geração 18/250 — melhor fitness: 229900851 | sem melhora há 2 geração(ões)
2026-09-01 13:10:38 | Geração 19/250 — melhor fitness: 229900851 | sem melhora há 3 geração(ões)
2026-09-01 13:10:52 | Geração 20/250 — melhor fitness: 229900851 | sem melhora há 4 geração(ões)
2026-09-01 13:11:04 | Geração 21/250 — melhor fitness: 229553662 | sem melhora há 0 geração(ões)
2026-09-01 13:11:18 | Geração 22/250 — melhor fitness: 226417435 | sem melhora há 0 geração(ões)
2026-09-01 13:11:31 | Geração 23/250 — melhor fitness: 226417435 | sem melhora há 1 geração(ões)
2026-09-01 13:11:45 | Geração 24/250 — melhor fitness: 226417435 | sem melhora há 2 geração(ões)
2026-09-01 13:11:58 | Geração 25/250 — melhor fitness: 226417435 | sem melhora há 3 geração(ões)
2026-09-01 13:12:12 | Geração 26/250 — melhor fitness: 226417435 | sem melhora há 4 geração(ões)
