2026-09-02 05:06:19 | ======================================================================
2026-09-02 05:06:19 | Iniciando tarefa — servidor2_tarefa6 | k=27 | seed=42
2026-09-02 05:06:19 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.08, 'population_size': 200, 'elitism_size': 4, 'tournament_size': 10, 'num_generations': 150}
2026-09-02 05:06:21 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-02 05:06:27 | Geração 1/150 — melhor fitness: 264177451 | sem melhora há 0 geração(ões)
2026-09-02 05:06:34 | Geração 2/150 — melhor fitness: 257227535 | sem melhora há 0 geração(ões)
2026-09-02 05:06:41 | Geração 3/150 — melhor fitness: 253816839 | sem melhora há 0 geração(ões)
2026-09-02 05:06:48 | Geração 4/150 — melhor fitness: 247818987 | sem melhora há 0 geração(ões)
2026-09-02 05:06:55 | Geração 5/150 — melhor fitness: 245958630 | sem melhora há 0 geração(ões)
2026-09-02 05:07:01 | Geração 6/150 — melhor fitness: 242019226 | sem melhora há 0 geração(ões)
2026-09-02 05:07:08 | Geração 7/150 — melhor fitness: 237420144 | sem melhora há 0 geração(ões)
2026-09-02 05:07:15 | Geração 8/150 — melhor fitness: 235605133 | sem melhora há 0 geração(ões)
2026-09-02 05:07:22 | Geração 9/150 — melhor fitness: 235605133 | sem melhora há 1 geração(ões)
2026-09-02 05:07:28 | Geração 10/150 — melhor fitness: 232606461 | sem melhora há 0 geração(ões)
2026-09-02 05:07:35 | Geração 11/150 — melhor fitness: 231925640 | sem melhora há 0 geração(ões)
2026-09-02 05:07:42 | Geração 12/150 — melhor fitness: 230187721 | sem melhora há 0 geração(ões)
2026-09-02 05:07:48 | Geração 13/150 — melhor fitness: 228013479 | sem melhora há 0 geração(ões)
2026-09-02 05:07:55 | Geração 14/150 — melhor fitness: 228013479 | sem melhora há 1 geração(ões)
2026-09-02 05:08:02 | Geração 15/150 — melhor fitness: 227041434 | sem melhora há 0 geração(ões)
2026-09-02 05:08:09 | Geração 16/150 — melhor fitness: 226416109 | sem melhora há 0 geração(ões)
2026-09-02 05:08:16 | Geração 17/150 — melhor fitness: 226416109 | sem melhora há 1 geração(ões)
2026-09-02 05:08:22 | Geração 18/150 — melhor fitness: 225910620 | sem melhora há 0 geração(ões)
2026-09-02 05:08:29 | Geração 19/150 — melhor fitness: 225910620 | sem melhora há 1 geração(ões)
2026-09-02 05:08:36 | Geração 20/150 — melhor fitness: 225710841 | sem melhora há 0 geração(ões)
2026-09-02 05:08:42 | Geração 21/150 — melhor fitness: 223198553 | sem melhora há 0 geração(ões)
2026-09-02 05:08:49 | Geração 22/150 — melhor fitness: 220370551 | sem melhora há 0 geração(ões)
2026-09-02 05:08:56 | Geração 23/150 — melhor fitness: 220370551 | sem melhora há 1 geração(ões)
2026-09-02 05:09:02 | Geração 24/150 — melhor fitness: 219268610 | sem melhora há 0 geração(ões)
2026-09-02 05:09:09 | Geração 25/150 — melhor fitness: 219268610 | sem melhora há 1 geração(ões)
2026-09-02 05:09:16 | Geração 26/150 — melhor fitness: 219268610 | sem melhora há 2 geração(ões)
2026-09-02 05:09:23 | Geração 27/150 — melhor fitness: 218512627 | sem melhora há 0 geração(ões)
