2026-09-04 00:31:03 | ======================================================================
2026-09-04 00:31:03 | Iniciando tarefa — servidor0_tarefa29 | k=27 | seed=42
2026-09-04 00:31:03 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.08, 'population_size': 300, 'elitism_size': 4, 'tournament_size': 5, 'num_generations': 350}
2026-09-04 00:31:06 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-04 00:31:25 | Geração 1/350 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-04 00:31:45 | Geração 2/350 — melhor fitness: 255548699 | sem melhora há 2 geração(ões)
2026-09-04 00:32:05 | Geração 3/350 — melhor fitness: 252754576 | sem melhora há 0 geração(ões)
2026-09-04 00:32:24 | Geração 4/350 — melhor fitness: 246695349 | sem melhora há 0 geração(ões)
2026-09-04 00:32:45 | Geração 5/350 — melhor fitness: 246319141 | sem melhora há 0 geração(ões)
2026-09-04 00:33:04 | Geração 6/350 — melhor fitness: 245127246 | sem melhora há 0 geração(ões)
2026-09-04 00:33:23 | Geração 7/350 — melhor fitness: 241966051 | sem melhora há 0 geração(ões)
2026-09-04 00:33:42 | Geração 8/350 — melhor fitness: 237683654 | sem melhora há 0 geração(ões)
2026-09-04 00:34:02 | Geração 9/350 — melhor fitness: 237683654 | sem melhora há 1 geração(ões)
2026-09-04 00:34:21 | Geração 10/350 — melhor fitness: 237683654 | sem melhora há 2 geração(ões)
2026-09-04 00:34:40 | Geração 11/350 — melhor fitness: 237683654 | sem melhora há 3 geração(ões)
2026-09-04 00:35:00 | Geração 12/350 — melhor fitness: 236376632 | sem melhora há 0 geração(ões)
2026-09-04 00:35:19 | Geração 13/350 — melhor fitness: 236376632 | sem melhora há 1 geração(ões)
2026-09-04 00:35:38 | Geração 14/350 — melhor fitness: 235861392 | sem melhora há 0 geração(ões)
2026-09-04 00:35:58 | Geração 15/350 — melhor fitness: 230807042 | sem melhora há 0 geração(ões)
2026-09-04 00:36:17 | Geração 16/350 — melhor fitness: 230807042 | sem melhora há 1 geração(ões)
2026-09-04 00:36:37 | Geração 17/350 — melhor fitness: 230405849 | sem melhora há 0 geração(ões)
2026-09-04 00:36:56 | Geração 18/350 — melhor fitness: 230405849 | sem melhora há 1 geração(ões)
2026-09-04 00:37:16 | Geração 19/350 — melhor fitness: 230405849 | sem melhora há 2 geração(ões)
2026-09-04 00:37:35 | Geração 20/350 — melhor fitness: 228606353 | sem melhora há 0 geração(ões)
2026-09-04 00:37:55 | Geração 21/350 — melhor fitness: 228606353 | sem melhora há 1 geração(ões)
2026-09-04 00:38:14 | Geração 22/350 — melhor fitness: 228606353 | sem melhora há 2 geração(ões)
2026-09-04 00:38:34 | Geração 23/350 — melhor fitness: 227317661 | sem melhora há 0 geração(ões)
2026-09-04 00:38:53 | Geração 24/350 — melhor fitness: 227317661 | sem melhora há 1 geração(ões)
2026-09-04 00:39:12 | Geração 25/350 — melhor fitness: 227317661 | sem melhora há 2 geração(ões)
2026-09-04 00:39:31 | Geração 26/350 — melhor fitness: 227317661 | sem melhora há 3 geração(ões)
2026-09-04 00:39:52 | Geração 27/350 — melhor fitness: 224318954 | sem melhora há 0 geração(ões)
2026-09-04 00:40:12 | Geração 28/350 — melhor fitness: 224318954 | sem melhora há 1 geração(ões)
2026-09-04 00:40:33 | Geração 29/350 — melhor fitness: 224318954 | sem melhora há 2 geração(ões)
2026-09-04 00:40:52 | Geração 30/350 — melhor fitness: 224318954 | sem melhora há 3 geração(ões)
2026-09-04 00:41:12 | Geração 31/350 — melhor fitness: 224318954 | sem melhora há 4 geração(ões)
2026-09-04 00:41:31 | Geração 32/350 — melhor fitness: 224225383 | sem melhora há 0 geração(ões)
2026-09-04 00:41:51 | Geração 33/350 — melhor fitness: 224225383 | sem melhora há 1 geração(ões)
