2026-09-03 20:51:05 | ======================================================================
2026-09-03 20:51:05 | Iniciando tarefa — servidor3_tarefa534 | k=27 | seed=42
2026-09-03 20:51:05 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.08, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 150}
2026-09-03 20:51:08 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-03 20:51:18 | Geração 1/150 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-03 20:51:28 | Geração 2/150 — melhor fitness: 255548699 | sem melhora há 2 geração(ões)
2026-09-03 20:51:38 | Geração 3/150 — melhor fitness: 243343094 | sem melhora há 0 geração(ões)
2026-09-03 20:51:47 | Geração 4/150 — melhor fitness: 243343094 | sem melhora há 1 geração(ões)
2026-09-03 20:51:57 | Geração 5/150 — melhor fitness: 240959537 | sem melhora há 0 geração(ões)
2026-09-03 20:52:07 | Geração 6/150 — melhor fitness: 240959537 | sem melhora há 1 geração(ões)
2026-09-03 20:52:17 | Geração 7/150 — melhor fitness: 237560302 | sem melhora há 0 geração(ões)
2026-09-03 20:52:27 | Geração 8/150 — melhor fitness: 237560302 | sem melhora há 1 geração(ões)
2026-09-03 20:52:37 | Geração 9/150 — melhor fitness: 237560302 | sem melhora há 2 geração(ões)
2026-09-03 20:52:47 | Geração 10/150 — melhor fitness: 237560302 | sem melhora há 3 geração(ões)
2026-09-03 20:52:56 | Geração 11/150 — melhor fitness: 235877002 | sem melhora há 0 geração(ões)
2026-09-03 20:53:06 | Geração 12/150 — melhor fitness: 234323670 | sem melhora há 0 geração(ões)
2026-09-03 20:53:16 | Geração 13/150 — melhor fitness: 231934028 | sem melhora há 0 geração(ões)
2026-09-03 20:53:26 | Geração 14/150 — melhor fitness: 230609946 | sem melhora há 0 geração(ões)
2026-09-03 20:53:36 | Geração 15/150 — melhor fitness: 225341534 | sem melhora há 0 geração(ões)
2026-09-03 20:53:46 | Geração 16/150 — melhor fitness: 225341534 | sem melhora há 1 geração(ões)
2026-09-03 20:53:56 | Geração 17/150 — melhor fitness: 225341534 | sem melhora há 2 geração(ões)
2026-09-03 20:54:06 | Geração 18/150 — melhor fitness: 225341534 | sem melhora há 3 geração(ões)
2026-09-03 20:54:15 | Geração 19/150 — melhor fitness: 225341534 | sem melhora há 4 geração(ões)
2026-09-03 20:54:25 | Geração 20/150 — melhor fitness: 225341534 | sem melhora há 5 geração(ões)
2026-09-03 20:54:35 | Geração 21/150 — melhor fitness: 221258086 | sem melhora há 0 geração(ões)
2026-09-03 20:54:45 | Geração 22/150 — melhor fitness: 221258086 | sem melhora há 1 geração(ões)
2026-09-03 20:54:55 | Geração 23/150 — melhor fitness: 221258086 | sem melhora há 2 geração(ões)
2026-09-03 20:55:05 | Geração 24/150 — melhor fitness: 220441222 | sem melhora há 0 geração(ões)
2026-09-03 20:55:15 | Geração 25/150 — melhor fitness: 220441222 | sem melhora há 1 geração(ões)
2026-09-03 20:55:24 | Geração 26/150 — melhor fitness: 220416134 | sem melhora há 0 geração(ões)
2026-09-03 20:55:34 | Geração 27/150 — melhor fitness: 220416134 | sem melhora há 1 geração(ões)
2026-09-03 20:55:45 | Geração 28/150 — melhor fitness: 220318361 | sem melhora há 0 geração(ões)
2026-09-03 20:55:55 | Geração 29/150 — melhor fitness: 220318361 | sem melhora há 1 geração(ões)
2026-09-03 20:56:05 | Geração 30/150 — melhor fitness: 219793023 | sem melhora há 0 geração(ões)
2026-09-03 20:56:14 | Geração 31/150 — melhor fitness: 219602516 | sem melhora há 0 geração(ões)
2026-09-03 20:56:25 | Geração 32/150 — melhor fitness: 217188274 | sem melhora há 0 geração(ões)
2026-09-03 20:56:35 | Geração 33/150 — melhor fitness: 217188274 | sem melhora há 1 geração(ões)
2026-09-03 20:56:44 | Geração 34/150 — melhor fitness: 217188274 | sem melhora há 2 geração(ões)
2026-09-03 20:56:54 | Geração 35/150 — melhor fitness: 217188274 | sem melhora há 3 geração(ões)
2026-09-03 20:57:04 | Geração 36/150 — melhor fitness: 217188274 | sem melhora há 4 geração(ões)
2026-09-03 20:57:14 | Geração 37/150 — melhor fitness: 217188274 | sem melhora há 5 geração(ões)
2026-09-03 20:57:24 | Geração 38/150 — melhor fitness: 216308778 | sem melhora há 0 geração(ões)
2026-09-03 20:57:35 | Geração 39/150 — melhor fitness: 216308778 | sem melhora há 1 geração(ões)
2026-09-03 20:57:44 | Geração 40/150 — melhor fitness: 216308778 | sem melhora há 2 geração(ões)
2026-09-03 20:57:54 | Geração 41/150 — melhor fitness: 215744864 | sem melhora há 0 geração(ões)
2026-09-03 20:58:04 | Geração 42/150 — melhor fitness: 215744864 | sem melhora há 1 geração(ões)
2026-09-03 20:58:14 | Geração 43/150 — melhor fitness: 215548014 | sem melhora há 0 geração(ões)
2026-09-03 20:58:23 | Geração 44/150 — melhor fitness: 215548014 | sem melhora há 1 geração(ões)
2026-09-03 20:58:33 | Geração 45/150 — melhor fitness: 215548014 | sem melhora há 2 geração(ões)
2026-09-03 20:58:43 | Geração 46/150 — melhor fitness: 215548014 | sem melhora há 3 geração(ões)
2026-09-03 20:58:53 | Geração 47/150 — melhor fitness: 215548014 | sem melhora há 4 geração(ões)
2026-09-03 20:59:04 | Geração 48/150 — melhor fitness: 215548014 | sem melhora há 5 geração(ões)
2026-09-03 20:59:13 | Geração 49/150 — melhor fitness: 214591433 | sem melhora há 0 geração(ões)
2026-09-03 20:59:24 | Geração 50/150 — melhor fitness: 214591433 | sem melhora há 1 geração(ões)
2026-09-03 20:59:33 | Geração 51/150 — melhor fitness: 214591433 | sem melhora há 2 geração(ões)
2026-09-03 20:59:43 | Geração 52/150 — melhor fitness: 214591433 | sem melhora há 3 geração(ões)
2026-09-03 20:59:54 | Geração 53/150 — melhor fitness: 213810920 | sem melhora há 0 geração(ões)
2026-09-03 21:00:04 | Geração 54/150 — melhor fitness: 213810920 | sem melhora há 1 geração(ões)
2026-09-03 21:00:14 | Geração 55/150 — melhor fitness: 213810920 | sem melhora há 2 geração(ões)
2026-09-03 21:00:24 | Geração 56/150 — melhor fitness: 213810920 | sem melhora há 3 geração(ões)
2026-09-03 21:00:34 | Geração 57/150 — melhor fitness: 213810920 | sem melhora há 4 geração(ões)
2026-09-03 21:00:45 | Geração 58/150 — melhor fitness: 213810920 | sem melhora há 5 geração(ões)
2026-09-03 21:00:55 | Geração 59/150 — melhor fitness: 213412006 | sem melhora há 0 geração(ões)
2026-09-03 21:01:05 | Geração 60/150 — melhor fitness: 213412006 | sem melhora há 1 geração(ões)
2026-09-03 21:01:15 | Geração 61/150 — melhor fitness: 213412006 | sem melhora há 2 geração(ões)
2026-09-03 21:01:26 | Geração 62/150 — melhor fitness: 213412006 | sem melhora há 3 geração(ões)
2026-09-03 21:01:36 | Geração 63/150 — melhor fitness: 213412006 | sem melhora há 4 geração(ões)
2026-09-03 21:01:46 | Geração 64/150 — melhor fitness: 213412006 | sem melhora há 5 geração(ões)
2026-09-03 21:01:56 | Geração 65/150 — melhor fitness: 213412006 | sem melhora há 6 geração(ões)
2026-09-03 21:02:06 | Geração 66/150 — melhor fitness: 213412006 | sem melhora há 7 geração(ões)
2026-09-03 21:02:17 | Geração 67/150 — melhor fitness: 213412006 | sem melhora há 8 geração(ões)
2026-09-03 21:02:26 | Geração 68/150 — melhor fitness: 213412006 | sem melhora há 9 geração(ões)
2026-09-03 21:02:37 | Geração 69/150 — melhor fitness: 213412006 | sem melhora há 10 geração(ões)
2026-09-03 21:02:48 | Geração 70/150 — melhor fitness: 213412006 | sem melhora há 11 geração(ões)
2026-09-03 21:02:57 | Geração 71/150 — melhor fitness: 213412006 | sem melhora há 12 geração(ões)
2026-09-03 21:03:08 | Geração 72/150 — melhor fitness: 213412006 | sem melhora há 13 geração(ões)
2026-09-03 21:03:18 | Geração 73/150 — melhor fitness: 212877725 | sem melhora há 0 geração(ões)
2026-09-03 21:03:28 | Geração 74/150 — melhor fitness: 212877725 | sem melhora há 1 geração(ões)
2026-09-03 21:03:38 | Geração 75/150 — melhor fitness: 212877725 | sem melhora há 2 geração(ões)
2026-09-03 21:03:48 | Geração 76/150 — melhor fitness: 212836137 | sem melhora há 0 geração(ões)
2026-09-03 21:03:57 | Geração 77/150 — melhor fitness: 212536027 | sem melhora há 0 geração(ões)
2026-09-03 21:04:08 | Geração 78/150 — melhor fitness: 212536027 | sem melhora há 1 geração(ões)
2026-09-03 21:04:18 | Geração 79/150 — melhor fitness: 211960158 | sem melhora há 0 geração(ões)
2026-09-03 21:04:29 | Geração 80/150 — melhor fitness: 211960158 | sem melhora há 1 geração(ões)
2026-09-03 21:04:39 | Geração 81/150 — melhor fitness: 211960158 | sem melhora há 2 geração(ões)
2026-09-03 21:04:48 | Geração 82/150 — melhor fitness: 211960158 | sem melhora há 3 geração(ões)
2026-09-03 21:04:58 | Geração 83/150 — melhor fitness: 211960158 | sem melhora há 4 geração(ões)
2026-09-03 21:05:08 | Geração 84/150 — melhor fitness: 211960158 | sem melhora há 5 geração(ões)
2026-09-03 21:05:18 | Geração 85/150 — melhor fitness: 211960158 | sem melhora há 6 geração(ões)
2026-09-03 21:05:28 | Geração 86/150 — melhor fitness: 211955336 | sem melhora há 0 geração(ões)
2026-09-03 21:05:37 | Geração 87/150 — melhor fitness: 211955336 | sem melhora há 1 geração(ões)
2026-09-03 21:05:47 | Geração 88/150 — melhor fitness: 211955336 | sem melhora há 2 geração(ões)
2026-09-03 21:05:58 | Geração 89/150 — melhor fitness: 211955336 | sem melhora há 3 geração(ões)
2026-09-03 21:06:08 | Geração 90/150 — melhor fitness: 211955336 | sem melhora há 4 geração(ões)
2026-09-03 21:06:17 | Geração 91/150 — melhor fitness: 211233141 | sem melhora há 0 geração(ões)
2026-09-03 21:06:28 | Geração 92/150 — melhor fitness: 211233141 | sem melhora há 1 geração(ões)
2026-09-03 21:06:38 | Geração 93/150 — melhor fitness: 211233141 | sem melhora há 2 geração(ões)
2026-09-03 21:06:47 | Geração 94/150 — melhor fitness: 211233141 | sem melhora há 3 geração(ões)
2026-09-03 21:06:57 | Geração 95/150 — melhor fitness: 211228319 | sem melhora há 0 geração(ões)
2026-09-03 21:07:07 | Geração 96/150 — melhor fitness: 211228319 | sem melhora há 1 geração(ões)
2026-09-03 21:07:17 | Geração 97/150 — melhor fitness: 210568247 | sem melhora há 0 geração(ões)
2026-09-03 21:07:26 | Geração 98/150 — melhor fitness: 210568247 | sem melhora há 1 geração(ões)
2026-09-03 21:07:36 | Geração 99/150 — melhor fitness: 210568247 | sem melhora há 2 geração(ões)
2026-09-03 21:07:46 | Geração 100/150 — melhor fitness: 210447461 | sem melhora há 0 geração(ões)
2026-09-03 21:07:56 | Geração 101/150 — melhor fitness: 210447461 | sem melhora há 1 geração(ões)
2026-09-03 21:08:06 | Geração 102/150 — melhor fitness: 210447461 | sem melhora há 2 geração(ões)
2026-09-03 21:08:16 | Geração 103/150 — melhor fitness: 210447461 | sem melhora há 3 geração(ões)
2026-09-03 21:08:26 | Geração 104/150 — melhor fitness: 210362917 | sem melhora há 0 geração(ões)
2026-09-03 21:08:36 | Geração 105/150 — melhor fitness: 210362917 | sem melhora há 1 geração(ões)
2026-09-03 21:08:46 | Geração 106/150 — melhor fitness: 210362917 | sem melhora há 2 geração(ões)
2026-09-03 21:08:56 | Geração 107/150 — melhor fitness: 210362917 | sem melhora há 3 geração(ões)
2026-09-03 21:09:06 | Geração 108/150 — melhor fitness: 210362917 | sem melhora há 4 geração(ões)
2026-09-03 21:09:17 | Geração 109/150 — melhor fitness: 210362917 | sem melhora há 5 geração(ões)
2026-09-03 21:09:27 | Geração 110/150 — melhor fitness: 210362917 | sem melhora há 6 geração(ões)
2026-09-03 21:09:37 | Geração 111/150 — melhor fitness: 209821779 | sem melhora há 0 geração(ões)
2026-09-03 21:09:47 | Geração 112/150 — melhor fitness: 209821779 | sem melhora há 1 geração(ões)
2026-09-03 21:09:57 | Geração 113/150 — melhor fitness: 209821779 | sem melhora há 2 geração(ões)
2026-09-03 21:10:07 | Geração 114/150 — melhor fitness: 209821779 | sem melhora há 3 geração(ões)
2026-09-03 21:10:18 | Geração 115/150 — melhor fitness: 209737235 | sem melhora há 0 geração(ões)
2026-09-03 21:10:28 | Geração 116/150 — melhor fitness: 209737235 | sem melhora há 1 geração(ões)
2026-09-03 21:10:38 | Geração 117/150 — melhor fitness: 209737235 | sem melhora há 2 geração(ões)
2026-09-03 21:10:48 | Geração 118/150 — melhor fitness: 209737235 | sem melhora há 3 geração(ões)
2026-09-03 21:10:58 | Geração 119/150 — melhor fitness: 209536105 | sem melhora há 0 geração(ões)
2026-09-03 21:11:07 | Geração 120/150 — melhor fitness: 209536105 | sem melhora há 1 geração(ões)
2026-09-03 21:11:17 | Geração 121/150 — melhor fitness: 209536105 | sem melhora há 2 geração(ões)
2026-09-03 21:11:28 | Geração 122/150 — melhor fitness: 209536105 | sem melhora há 3 geração(ões)
2026-09-03 21:11:38 | Geração 123/150 — melhor fitness: 209536105 | sem melhora há 4 geração(ões)
2026-09-03 21:11:48 | Geração 124/150 — melhor fitness: 209536105 | sem melhora há 5 geração(ões)
2026-09-03 21:11:59 | Geração 125/150 — melhor fitness: 209536105 | sem melhora há 6 geração(ões)
2026-09-03 21:12:08 | Geração 126/150 — melhor fitness: 209536105 | sem melhora há 7 geração(ões)
2026-09-03 21:12:19 | Geração 127/150 — melhor fitness: 209536105 | sem melhora há 8 geração(ões)
2026-09-03 21:12:29 | Geração 128/150 — melhor fitness: 209536105 | sem melhora há 9 geração(ões)
2026-09-03 21:12:39 | Geração 129/150 — melhor fitness: 209536105 | sem melhora há 10 geração(ões)
2026-09-03 21:12:49 | Geração 130/150 — melhor fitness: 209536105 | sem melhora há 11 geração(ões)
2026-09-03 21:12:59 | Geração 131/150 — melhor fitness: 209536105 | sem melhora há 12 geração(ões)
2026-09-03 21:13:09 | Geração 132/150 — melhor fitness: 209536105 | sem melhora há 13 geração(ões)
2026-09-03 21:13:19 | Geração 133/150 — melhor fitness: 209536105 | sem melhora há 14 geração(ões)
2026-09-03 21:13:29 | Geração 134/150 — melhor fitness: 209536105 | sem melhora há 15 geração(ões)
2026-09-03 21:13:39 | Geração 135/150 — melhor fitness: 209536105 | sem melhora há 16 geração(ões)
2026-09-03 21:13:49 | Geração 136/150 — melhor fitness: 209536105 | sem melhora há 17 geração(ões)
2026-09-03 21:13:59 | Geração 137/150 — melhor fitness: 209504916 | sem melhora há 0 geração(ões)
2026-09-03 21:14:09 | Geração 138/150 — melhor fitness: 208950110 | sem melhora há 0 geração(ões)
2026-09-03 21:14:19 | Geração 139/150 — melhor fitness: 208950110 | sem melhora há 1 geração(ões)
2026-09-03 21:14:29 | Geração 140/150 — melhor fitness: 208950110 | sem melhora há 2 geração(ões)
2026-09-03 21:14:39 | Geração 141/150 — melhor fitness: 208950110 | sem melhora há 3 geração(ões)
2026-09-03 21:14:49 | Geração 142/150 — melhor fitness: 208950110 | sem melhora há 4 geração(ões)
2026-09-03 21:15:00 | Geração 143/150 — melhor fitness: 208950110 | sem melhora há 5 geração(ões)
2026-09-03 21:15:10 | Geração 144/150 — melhor fitness: 208828622 | sem melhora há 0 geração(ões)
2026-09-03 21:15:20 | Geração 145/150 — melhor fitness: 208828622 | sem melhora há 1 geração(ões)
2026-09-03 21:15:30 | Geração 146/150 — melhor fitness: 208828622 | sem melhora há 2 geração(ões)
2026-09-03 21:15:40 | Geração 147/150 — melhor fitness: 208828622 | sem melhora há 3 geração(ões)
2026-09-03 21:15:50 | Geração 148/150 — melhor fitness: 208828622 | sem melhora há 4 geração(ões)
2026-09-03 21:16:00 | Geração 149/150 — melhor fitness: 208828622 | sem melhora há 5 geração(ões)
2026-09-03 21:16:10 | Geração 150/150 — melhor fitness: 208156833 | sem melhora há 0 geração(ões)
2026-09-03 21:16:10 | AG concluído em 0h 25m 05s — melhor fitness: 208156833
2026-09-03 21:16:10 | Tempo total da tarefa: 0h 25m 05s
2026-09-03 21:16:10 | Fitness final: 208156833
2026-09-03 21:16:10 | ======================================================================
