2026-08-31 19:11:04 | ======================================================================
2026-08-31 19:11:04 | Iniciando tarefa — servidor0_tarefa160 | k=27 | seed=42
2026-08-31 19:11:04 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.12, 'population_size': 500, 'elitism_size': 12, 'tournament_size': 10, 'num_generations': 250}
2026-08-31 19:11:09 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-31 19:11:56 | Geração 1/250 — melhor fitness: 250632058 | sem melhora há 0 geração(ões)
2026-08-31 19:12:41 | Geração 2/250 — melhor fitness: 250632058 | sem melhora há 1 geração(ões)
2026-08-31 19:13:28 | Geração 3/250 — melhor fitness: 247905664 | sem melhora há 0 geração(ões)
2026-08-31 19:14:14 | Geração 4/250 — melhor fitness: 247905664 | sem melhora há 1 geração(ões)
2026-08-31 19:14:59 | Geração 5/250 — melhor fitness: 242680642 | sem melhora há 0 geração(ões)
2026-08-31 19:15:44 | Geração 6/250 — melhor fitness: 242680642 | sem melhora há 1 geração(ões)
2026-08-31 19:16:31 | Geração 7/250 — melhor fitness: 241706518 | sem melhora há 0 geração(ões)
2026-08-31 19:17:17 | Geração 8/250 — melhor fitness: 240842929 | sem melhora há 0 geração(ões)
2026-08-31 19:18:02 | Geração 9/250 — melhor fitness: 240842929 | sem melhora há 1 geração(ões)
2026-08-31 19:18:48 | Geração 10/250 — melhor fitness: 240842929 | sem melhora há 2 geração(ões)
2026-08-31 19:19:33 | Geração 11/250 — melhor fitness: 240842929 | sem melhora há 3 geração(ões)
2026-08-31 19:20:19 | Geração 12/250 — melhor fitness: 235919840 | sem melhora há 0 geração(ões)
2026-08-31 19:21:06 | Geração 13/250 — melhor fitness: 235919840 | sem melhora há 1 geração(ões)
2026-08-31 19:21:51 | Geração 14/250 — melhor fitness: 233709017 | sem melhora há 0 geração(ões)
2026-08-31 19:22:36 | Geração 15/250 — melhor fitness: 233709017 | sem melhora há 1 geração(ões)
2026-08-31 19:23:23 | Geração 16/250 — melhor fitness: 230021446 | sem melhora há 0 geração(ões)
2026-08-31 19:24:08 | Geração 17/250 — melhor fitness: 230021446 | sem melhora há 1 geração(ões)
2026-08-31 19:24:52 | Geração 18/250 — melhor fitness: 229058303 | sem melhora há 0 geração(ões)
2026-08-31 19:25:38 | Geração 19/250 — melhor fitness: 229058303 | sem melhora há 1 geração(ões)
2026-08-31 19:26:24 | Geração 20/250 — melhor fitness: 229058303 | sem melhora há 2 geração(ões)
2026-08-31 19:27:09 | Geração 21/250 — melhor fitness: 229058303 | sem melhora há 3 geração(ões)
2026-08-31 19:27:54 | Geração 22/250 — melhor fitness: 229058303 | sem melhora há 4 geração(ões)
2026-08-31 19:28:40 | Geração 23/250 — melhor fitness: 227346999 | sem melhora há 0 geração(ões)
2026-08-31 19:29:25 | Geração 24/250 — melhor fitness: 227346999 | sem melhora há 1 geração(ões)
2026-08-31 19:30:10 | Geração 25/250 — melhor fitness: 227346999 | sem melhora há 2 geração(ões)
2026-08-31 19:30:54 | Geração 26/250 — melhor fitness: 227346999 | sem melhora há 3 geração(ões)
2026-08-31 19:31:42 | Geração 27/250 — melhor fitness: 227346999 | sem melhora há 4 geração(ões)
2026-08-31 19:32:28 | Geração 28/250 — melhor fitness: 227346999 | sem melhora há 5 geração(ões)
