2026-09-01 19:44:19 | ======================================================================
2026-09-01 19:44:19 | Iniciando tarefa — servidor2_tarefa126 | k=27 | seed=42
2026-09-01 19:44:19 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.12, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 150}
2026-09-01 19:44:22 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-01 19:44:36 | Geração 1/150 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-01 19:44:51 | Geração 2/150 — melhor fitness: 255548699 | sem melhora há 2 geração(ões)
2026-09-01 19:45:04 | Geração 3/150 — melhor fitness: 255548699 | sem melhora há 3 geração(ões)
2026-09-01 19:45:18 | Geração 4/150 — melhor fitness: 249570322 | sem melhora há 0 geração(ões)
2026-09-01 19:45:32 | Geração 5/150 — melhor fitness: 247221529 | sem melhora há 0 geração(ões)
2026-09-01 19:45:46 | Geração 6/150 — melhor fitness: 241401457 | sem melhora há 0 geração(ões)
2026-09-01 19:45:59 | Geração 7/150 — melhor fitness: 241401457 | sem melhora há 1 geração(ões)
2026-09-01 19:46:13 | Geração 8/150 — melhor fitness: 241401457 | sem melhora há 2 geração(ões)
2026-09-01 19:46:27 | Geração 9/150 — melhor fitness: 241401457 | sem melhora há 3 geração(ões)
2026-09-01 19:46:40 | Geração 10/150 — melhor fitness: 241401457 | sem melhora há 4 geração(ões)
2026-09-01 19:46:53 | Geração 11/150 — melhor fitness: 239789377 | sem melhora há 0 geração(ões)
2026-09-01 19:47:07 | Geração 12/150 — melhor fitness: 239789377 | sem melhora há 1 geração(ões)
2026-09-01 19:47:20 | Geração 13/150 — melhor fitness: 239789377 | sem melhora há 2 geração(ões)
2026-09-01 19:47:34 | Geração 14/150 — melhor fitness: 239789377 | sem melhora há 3 geração(ões)
2026-09-01 19:47:49 | Geração 15/150 — melhor fitness: 237592227 | sem melhora há 0 geração(ões)
2026-09-01 19:48:03 | Geração 16/150 — melhor fitness: 234184639 | sem melhora há 0 geração(ões)
2026-09-01 19:48:16 | Geração 17/150 — melhor fitness: 234184639 | sem melhora há 1 geração(ões)
2026-09-01 19:48:29 | Geração 18/150 — melhor fitness: 234184639 | sem melhora há 2 geração(ões)
2026-09-01 19:48:43 | Geração 19/150 — melhor fitness: 234184639 | sem melhora há 3 geração(ões)
2026-09-01 19:48:57 | Geração 20/150 — melhor fitness: 233885437 | sem melhora há 0 geração(ões)
2026-09-01 19:49:10 | Geração 21/150 — melhor fitness: 233885437 | sem melhora há 1 geração(ões)
2026-09-01 19:49:24 | Geração 22/150 — melhor fitness: 232981646 | sem melhora há 0 geração(ões)
2026-09-01 19:49:38 | Geração 23/150 — melhor fitness: 231891220 | sem melhora há 0 geração(ões)
2026-09-01 19:49:51 | Geração 24/150 — melhor fitness: 231673742 | sem melhora há 0 geração(ões)
2026-09-01 19:50:04 | Geração 25/150 — melhor fitness: 231673742 | sem melhora há 1 geração(ões)
2026-09-01 19:50:18 | Geração 26/150 — melhor fitness: 228192512 | sem melhora há 0 geração(ões)
2026-09-01 19:50:32 | Geração 27/150 — melhor fitness: 228192512 | sem melhora há 1 geração(ões)
