2026-09-02 10:47:08 | ======================================================================
2026-09-02 10:47:08 | Iniciando tarefa — servidor2_tarefa585 | k=27 | seed=42
2026-09-02 10:47:08 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.12, 'population_size': 200, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 150}
2026-09-02 10:47:10 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-02 10:47:18 | Geração 1/150 — melhor fitness: 261422632 | sem melhora há 0 geração(ões)
2026-09-02 10:47:27 | Geração 2/150 — melhor fitness: 260526978 | sem melhora há 0 geração(ões)
2026-09-02 10:47:37 | Geração 3/150 — melhor fitness: 252860303 | sem melhora há 0 geração(ões)
2026-09-02 10:47:45 | Geração 4/150 — melhor fitness: 252860303 | sem melhora há 1 geração(ões)
2026-09-02 10:47:54 | Geração 5/150 — melhor fitness: 251480011 | sem melhora há 0 geração(ões)
2026-09-02 10:48:03 | Geração 6/150 — melhor fitness: 248478953 | sem melhora há 0 geração(ões)
2026-09-02 10:48:12 | Geração 7/150 — melhor fitness: 246842264 | sem melhora há 0 geração(ões)
2026-09-02 10:48:21 | Geração 8/150 — melhor fitness: 242262668 | sem melhora há 0 geração(ões)
2026-09-02 10:48:30 | Geração 9/150 — melhor fitness: 238168558 | sem melhora há 0 geração(ões)
2026-09-02 10:48:40 | Geração 10/150 — melhor fitness: 238168558 | sem melhora há 1 geração(ões)
2026-09-02 10:48:48 | Geração 11/150 — melhor fitness: 238168558 | sem melhora há 2 geração(ões)
2026-09-02 10:48:57 | Geração 12/150 — melhor fitness: 237317913 | sem melhora há 0 geração(ões)
2026-09-02 10:49:07 | Geração 13/150 — melhor fitness: 233863587 | sem melhora há 0 geração(ões)
2026-09-02 10:49:16 | Geração 14/150 — melhor fitness: 233863587 | sem melhora há 1 geração(ões)
2026-09-02 10:49:24 | Geração 15/150 — melhor fitness: 233863587 | sem melhora há 2 geração(ões)
2026-09-02 10:49:33 | Geração 16/150 — melhor fitness: 233863587 | sem melhora há 3 geração(ões)
2026-09-02 10:49:42 | Geração 17/150 — melhor fitness: 233863587 | sem melhora há 4 geração(ões)
2026-09-02 10:49:50 | Geração 18/150 — melhor fitness: 233863587 | sem melhora há 5 geração(ões)
2026-09-02 10:49:59 | Geração 19/150 — melhor fitness: 233863587 | sem melhora há 6 geração(ões)
2026-09-02 10:50:09 | Geração 20/150 — melhor fitness: 229019542 | sem melhora há 0 geração(ões)
2026-09-02 10:50:18 | Geração 21/150 — melhor fitness: 229019542 | sem melhora há 1 geração(ões)
2026-09-02 10:50:27 | Geração 22/150 — melhor fitness: 229019542 | sem melhora há 2 geração(ões)
2026-09-02 10:50:36 | Geração 23/150 — melhor fitness: 229019542 | sem melhora há 3 geração(ões)
2026-09-02 10:50:44 | Geração 24/150 — melhor fitness: 228335305 | sem melhora há 0 geração(ões)
2026-09-02 10:50:53 | Geração 25/150 — melhor fitness: 227381889 | sem melhora há 0 geração(ões)
2026-09-02 10:51:02 | Geração 26/150 — melhor fitness: 227381889 | sem melhora há 1 geração(ões)
2026-09-02 10:51:11 | Geração 27/150 — melhor fitness: 226721117 | sem melhora há 0 geração(ões)
2026-09-02 10:51:20 | Geração 28/150 — melhor fitness: 226721117 | sem melhora há 1 geração(ões)
2026-09-02 10:51:29 | Geração 29/150 — melhor fitness: 226721117 | sem melhora há 2 geração(ões)
2026-09-02 10:51:38 | Geração 30/150 — melhor fitness: 226721117 | sem melhora há 3 geração(ões)
2026-09-02 10:51:46 | Geração 31/150 — melhor fitness: 226721117 | sem melhora há 4 geração(ões)
2026-09-02 10:51:55 | Geração 32/150 — melhor fitness: 226721117 | sem melhora há 5 geração(ões)
2026-09-02 10:52:04 | Geração 33/150 — melhor fitness: 226721117 | sem melhora há 6 geração(ões)
2026-09-02 10:52:13 | Geração 34/150 — melhor fitness: 226721117 | sem melhora há 7 geração(ões)
2026-09-02 10:52:22 | Geração 35/150 — melhor fitness: 225807091 | sem melhora há 0 geração(ões)
2026-09-02 10:52:30 | Geração 36/150 — melhor fitness: 225807091 | sem melhora há 1 geração(ões)
2026-09-02 10:52:40 | Geração 37/150 — melhor fitness: 225807091 | sem melhora há 2 geração(ões)
2026-09-02 10:52:49 | Geração 38/150 — melhor fitness: 225807091 | sem melhora há 3 geração(ões)
2026-09-02 10:52:57 | Geração 39/150 — melhor fitness: 224291589 | sem melhora há 0 geração(ões)
2026-09-02 10:53:06 | Geração 40/150 — melhor fitness: 224291589 | sem melhora há 1 geração(ões)
2026-09-02 10:53:15 | Geração 41/150 — melhor fitness: 224291589 | sem melhora há 2 geração(ões)
2026-09-02 10:53:24 | Geração 42/150 — melhor fitness: 223305799 | sem melhora há 0 geração(ões)
2026-09-02 10:53:33 | Geração 43/150 — melhor fitness: 223305799 | sem melhora há 1 geração(ões)
2026-09-02 10:53:42 | Geração 44/150 — melhor fitness: 223305799 | sem melhora há 2 geração(ões)
2026-09-02 10:53:51 | Geração 45/150 — melhor fitness: 223305799 | sem melhora há 3 geração(ões)
2026-09-02 10:54:00 | Geração 46/150 — melhor fitness: 223305799 | sem melhora há 4 geração(ões)
2026-09-02 10:54:09 | Geração 47/150 — melhor fitness: 223305799 | sem melhora há 5 geração(ões)
2026-09-02 10:54:17 | Geração 48/150 — melhor fitness: 223305799 | sem melhora há 6 geração(ões)
2026-09-02 10:54:26 | Geração 49/150 — melhor fitness: 223305799 | sem melhora há 7 geração(ões)
2026-09-02 10:54:34 | Geração 50/150 — melhor fitness: 223305799 | sem melhora há 8 geração(ões)
2026-09-02 10:54:43 | Geração 51/150 — melhor fitness: 223305799 | sem melhora há 9 geração(ões)
2026-09-02 10:54:52 | Geração 52/150 — melhor fitness: 223305799 | sem melhora há 10 geração(ões)
2026-09-02 10:55:01 | Geração 53/150 — melhor fitness: 223305799 | sem melhora há 11 geração(ões)
2026-09-02 10:55:10 | Geração 54/150 — melhor fitness: 223305799 | sem melhora há 12 geração(ões)
2026-09-02 10:55:18 | Geração 55/150 — melhor fitness: 223305799 | sem melhora há 13 geração(ões)
2026-09-02 10:55:27 | Geração 56/150 — melhor fitness: 223127276 | sem melhora há 0 geração(ões)
