2026-08-31 16:14:29 | ======================================================================
2026-08-31 16:14:29 | Iniciando tarefa — servidor3_tarefa617 | k=27 | seed=42
2026-08-31 16:14:29 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.12, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 350}
2026-08-31 16:14:32 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-31 16:14:46 | Geração 1/350 — melhor fitness: 254232839 | sem melhora há 0 geração(ões)
2026-08-31 16:14:59 | Geração 2/350 — melhor fitness: 253676953 | sem melhora há 0 geração(ões)
2026-08-31 16:15:13 | Geração 3/350 — melhor fitness: 253676953 | sem melhora há 1 geração(ões)
2026-08-31 16:15:27 | Geração 4/350 — melhor fitness: 250421662 | sem melhora há 0 geração(ões)
2026-08-31 16:15:41 | Geração 5/350 — melhor fitness: 250421662 | sem melhora há 1 geração(ões)
2026-08-31 16:15:55 | Geração 6/350 — melhor fitness: 249450663 | sem melhora há 0 geração(ões)
2026-08-31 16:16:09 | Geração 7/350 — melhor fitness: 245804809 | sem melhora há 0 geração(ões)
2026-08-31 16:16:23 | Geração 8/350 — melhor fitness: 238421951 | sem melhora há 0 geração(ões)
2026-08-31 16:16:36 | Geração 9/350 — melhor fitness: 238421951 | sem melhora há 1 geração(ões)
2026-08-31 16:16:49 | Geração 10/350 — melhor fitness: 236988392 | sem melhora há 0 geração(ões)
2026-08-31 16:17:02 | Geração 11/350 — melhor fitness: 236988392 | sem melhora há 1 geração(ões)
2026-08-31 16:17:16 | Geração 12/350 — melhor fitness: 235750030 | sem melhora há 0 geração(ões)
2026-08-31 16:17:29 | Geração 13/350 — melhor fitness: 231649088 | sem melhora há 0 geração(ões)
2026-08-31 16:17:42 | Geração 14/350 — melhor fitness: 228570279 | sem melhora há 0 geração(ões)
2026-08-31 16:17:56 | Geração 15/350 — melhor fitness: 228570279 | sem melhora há 1 geração(ões)
2026-08-31 16:18:09 | Geração 16/350 — melhor fitness: 228570279 | sem melhora há 2 geração(ões)
2026-08-31 16:18:23 | Geração 17/350 — melhor fitness: 228570279 | sem melhora há 3 geração(ões)
2026-08-31 16:18:36 | Geração 18/350 — melhor fitness: 227618848 | sem melhora há 0 geração(ões)
2026-08-31 16:18:50 | Geração 19/350 — melhor fitness: 227527535 | sem melhora há 0 geração(ões)
2026-08-31 16:19:05 | Geração 20/350 — melhor fitness: 227527535 | sem melhora há 1 geração(ões)
2026-08-31 16:19:18 | Geração 21/350 — melhor fitness: 225665631 | sem melhora há 0 geração(ões)
2026-08-31 16:19:31 | Geração 22/350 — melhor fitness: 220560995 | sem melhora há 0 geração(ões)
2026-08-31 16:19:45 | Geração 23/350 — melhor fitness: 220560995 | sem melhora há 1 geração(ões)
2026-08-31 16:19:59 | Geração 24/350 — melhor fitness: 220560995 | sem melhora há 2 geração(ões)
2026-08-31 16:20:13 | Geração 25/350 — melhor fitness: 220560995 | sem melhora há 3 geração(ões)
2026-08-31 16:20:27 | Geração 26/350 — melhor fitness: 220560995 | sem melhora há 4 geração(ões)
2026-08-31 16:20:41 | Geração 27/350 — melhor fitness: 220560995 | sem melhora há 5 geração(ões)
2026-08-31 16:20:54 | Geração 28/350 — melhor fitness: 220560995 | sem melhora há 6 geração(ões)
2026-08-31 16:21:08 | Geração 29/350 — melhor fitness: 220560995 | sem melhora há 7 geração(ões)
2026-08-31 16:21:21 | Geração 30/350 — melhor fitness: 220560995 | sem melhora há 8 geração(ões)
2026-08-31 16:21:35 | Geração 31/350 — melhor fitness: 220335265 | sem melhora há 0 geração(ões)
2026-08-31 16:21:48 | Geração 32/350 — melhor fitness: 220335265 | sem melhora há 1 geração(ões)
2026-08-31 16:22:02 | Geração 33/350 — melhor fitness: 220335265 | sem melhora há 2 geração(ões)
2026-08-31 16:22:16 | Geração 34/350 — melhor fitness: 220151359 | sem melhora há 0 geração(ões)
2026-08-31 16:22:28 | Geração 35/350 — melhor fitness: 220151359 | sem melhora há 1 geração(ões)
2026-08-31 16:22:42 | Geração 36/350 — melhor fitness: 220151359 | sem melhora há 2 geração(ões)
2026-08-31 16:22:56 | Geração 37/350 — melhor fitness: 219868837 | sem melhora há 0 geração(ões)
2026-08-31 16:23:09 | Geração 38/350 — melhor fitness: 219868837 | sem melhora há 1 geração(ões)
2026-08-31 16:23:24 | Geração 39/350 — melhor fitness: 219868837 | sem melhora há 2 geração(ões)
2026-08-31 16:23:37 | Geração 40/350 — melhor fitness: 219868837 | sem melhora há 3 geração(ões)
2026-08-31 16:23:50 | Geração 41/350 — melhor fitness: 219868837 | sem melhora há 4 geração(ões)
2026-08-31 16:24:04 | Geração 42/350 — melhor fitness: 219868837 | sem melhora há 5 geração(ões)
2026-08-31 16:24:17 | Geração 43/350 — melhor fitness: 219868837 | sem melhora há 6 geração(ões)
2026-08-31 16:24:31 | Geração 44/350 — melhor fitness: 219868837 | sem melhora há 7 geração(ões)
2026-08-31 16:24:45 | Geração 45/350 — melhor fitness: 218541778 | sem melhora há 0 geração(ões)
2026-08-31 16:24:59 | Geração 46/350 — melhor fitness: 218541778 | sem melhora há 1 geração(ões)
2026-08-31 16:25:12 | Geração 47/350 — melhor fitness: 218541778 | sem melhora há 2 geração(ões)
2026-08-31 16:25:26 | Geração 48/350 — melhor fitness: 218541778 | sem melhora há 3 geração(ões)
2026-08-31 16:25:40 | Geração 49/350 — melhor fitness: 218541778 | sem melhora há 4 geração(ões)
2026-08-31 16:25:53 | Geração 50/350 — melhor fitness: 218541778 | sem melhora há 5 geração(ões)
2026-08-31 16:26:06 | Geração 51/350 — melhor fitness: 218541778 | sem melhora há 6 geração(ões)
2026-08-31 16:26:20 | Geração 52/350 — melhor fitness: 218541778 | sem melhora há 7 geração(ões)
2026-08-31 16:26:33 | Geração 53/350 — melhor fitness: 218541778 | sem melhora há 8 geração(ões)
2026-08-31 16:26:47 | Geração 54/350 — melhor fitness: 218541778 | sem melhora há 9 geração(ões)
2026-08-31 16:27:01 | Geração 55/350 — melhor fitness: 218541778 | sem melhora há 10 geração(ões)
2026-08-31 16:27:15 | Geração 56/350 — melhor fitness: 217582239 | sem melhora há 0 geração(ões)
2026-08-31 16:27:27 | Geração 57/350 — melhor fitness: 217582239 | sem melhora há 1 geração(ões)
2026-08-31 16:27:41 | Geração 58/350 — melhor fitness: 217582239 | sem melhora há 2 geração(ões)
2026-08-31 16:27:54 | Geração 59/350 — melhor fitness: 217582239 | sem melhora há 3 geração(ões)
2026-08-31 16:28:08 | Geração 60/350 — melhor fitness: 217582239 | sem melhora há 4 geração(ões)
2026-08-31 16:28:21 | Geração 61/350 — melhor fitness: 217582239 | sem melhora há 5 geração(ões)
2026-08-31 16:28:35 | Geração 62/350 — melhor fitness: 217582239 | sem melhora há 6 geração(ões)
2026-08-31 16:28:49 | Geração 63/350 — melhor fitness: 217582239 | sem melhora há 7 geração(ões)
2026-08-31 16:29:02 | Geração 64/350 — melhor fitness: 217582239 | sem melhora há 8 geração(ões)
2026-08-31 16:29:16 | Geração 65/350 — melhor fitness: 217582239 | sem melhora há 9 geração(ões)
2026-08-31 16:29:29 | Geração 66/350 — melhor fitness: 217582239 | sem melhora há 10 geração(ões)
2026-08-31 16:29:43 | Geração 67/350 — melhor fitness: 217582239 | sem melhora há 11 geração(ões)
2026-08-31 16:29:57 | Geração 68/350 — melhor fitness: 217582239 | sem melhora há 12 geração(ões)
2026-08-31 16:30:10 | Geração 69/350 — melhor fitness: 217478373 | sem melhora há 0 geração(ões)
2026-08-31 16:30:24 | Geração 70/350 — melhor fitness: 217478373 | sem melhora há 1 geração(ões)
2026-08-31 16:30:37 | Geração 71/350 — melhor fitness: 217478373 | sem melhora há 2 geração(ões)
