2026-09-03 07:43:22 | ======================================================================
2026-09-03 07:43:22 | Iniciando tarefa — servidor3_tarefa415 | k=27 | seed=42
2026-09-03 07:43:22 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.18, 'population_size': 200, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 250}
2026-09-03 07:43:24 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-03 07:43:37 | Geração 1/250 — melhor fitness: 264132666 | sem melhora há 0 geração(ões)
2026-09-03 07:43:50 | Geração 2/250 — melhor fitness: 254013159 | sem melhora há 0 geração(ões)
2026-09-03 07:44:03 | Geração 3/250 — melhor fitness: 253599679 | sem melhora há 0 geração(ões)
2026-09-03 07:44:15 | Geração 4/250 — melhor fitness: 253599679 | sem melhora há 1 geração(ões)
2026-09-03 07:44:28 | Geração 5/250 — melhor fitness: 253383440 | sem melhora há 0 geração(ões)
2026-09-03 07:44:40 | Geração 6/250 — melhor fitness: 251541851 | sem melhora há 0 geração(ões)
2026-09-03 07:44:52 | Geração 7/250 — melhor fitness: 249023380 | sem melhora há 0 geração(ões)
2026-09-03 07:45:05 | Geração 8/250 — melhor fitness: 240432648 | sem melhora há 0 geração(ões)
2026-09-03 07:45:18 | Geração 9/250 — melhor fitness: 240432648 | sem melhora há 1 geração(ões)
2026-09-03 07:45:31 | Geração 10/250 — melhor fitness: 240432648 | sem melhora há 2 geração(ões)
2026-09-03 07:45:43 | Geração 11/250 — melhor fitness: 240432648 | sem melhora há 3 geração(ões)
2026-09-03 07:45:56 | Geração 12/250 — melhor fitness: 240432648 | sem melhora há 4 geração(ões)
2026-09-03 07:46:08 | Geração 13/250 — melhor fitness: 240432648 | sem melhora há 5 geração(ões)
2026-09-03 07:46:21 | Geração 14/250 — melhor fitness: 240432648 | sem melhora há 6 geração(ões)
2026-09-03 07:46:33 | Geração 15/250 — melhor fitness: 240432648 | sem melhora há 7 geração(ões)
2026-09-03 07:46:46 | Geração 16/250 — melhor fitness: 240432648 | sem melhora há 8 geração(ões)
2026-09-03 07:46:58 | Geração 17/250 — melhor fitness: 240432648 | sem melhora há 9 geração(ões)
2026-09-03 07:47:10 | Geração 18/250 — melhor fitness: 240432648 | sem melhora há 10 geração(ões)
2026-09-03 07:47:23 | Geração 19/250 — melhor fitness: 240432648 | sem melhora há 11 geração(ões)
2026-09-03 07:47:35 | Geração 20/250 — melhor fitness: 240432648 | sem melhora há 12 geração(ões)
2026-09-03 07:47:47 | Geração 21/250 — melhor fitness: 239045042 | sem melhora há 0 geração(ões)
2026-09-03 07:47:59 | Geração 22/250 — melhor fitness: 239045042 | sem melhora há 1 geração(ões)
2026-09-03 07:48:12 | Geração 23/250 — melhor fitness: 239045042 | sem melhora há 2 geração(ões)
2026-09-03 07:48:24 | Geração 24/250 — melhor fitness: 239045042 | sem melhora há 3 geração(ões)
2026-09-03 07:48:37 | Geração 25/250 — melhor fitness: 239045042 | sem melhora há 4 geração(ões)
2026-09-03 07:48:49 | Geração 26/250 — melhor fitness: 236683384 | sem melhora há 0 geração(ões)
2026-09-03 07:49:03 | Geração 27/250 — melhor fitness: 236683384 | sem melhora há 1 geração(ões)
2026-09-03 07:49:15 | Geração 28/250 — melhor fitness: 236683384 | sem melhora há 2 geração(ões)
2026-09-03 07:49:28 | Geração 29/250 — melhor fitness: 235582656 | sem melhora há 0 geração(ões)
2026-09-03 07:49:41 | Geração 30/250 — melhor fitness: 235582656 | sem melhora há 1 geração(ões)
2026-09-03 07:49:53 | Geração 31/250 — melhor fitness: 235582656 | sem melhora há 2 geração(ões)
2026-09-03 07:50:07 | Geração 32/250 — melhor fitness: 235582656 | sem melhora há 3 geração(ões)
2026-09-03 07:50:19 | Geração 33/250 — melhor fitness: 235582656 | sem melhora há 4 geração(ões)
2026-09-03 07:50:31 | Geração 34/250 — melhor fitness: 235582656 | sem melhora há 5 geração(ões)
2026-09-03 07:50:44 | Geração 35/250 — melhor fitness: 233814131 | sem melhora há 0 geração(ões)
2026-09-03 07:50:57 | Geração 36/250 — melhor fitness: 233814131 | sem melhora há 1 geração(ões)
2026-09-03 07:51:09 | Geração 37/250 — melhor fitness: 233814131 | sem melhora há 2 geração(ões)
2026-09-03 07:51:21 | Geração 38/250 — melhor fitness: 233814131 | sem melhora há 3 geração(ões)
2026-09-03 07:51:33 | Geração 39/250 — melhor fitness: 233814131 | sem melhora há 4 geração(ões)
2026-09-03 07:51:46 | Geração 40/250 — melhor fitness: 233814131 | sem melhora há 5 geração(ões)
2026-09-03 07:51:58 | Geração 41/250 — melhor fitness: 233814131 | sem melhora há 6 geração(ões)
2026-09-03 07:52:11 | Geração 42/250 — melhor fitness: 233814131 | sem melhora há 7 geração(ões)
