2026-09-07 06:50:17 | ======================================================================
2026-09-07 06:50:17 | Iniciando tarefa — servidor0_tarefa52 | k=27 | seed=42
2026-09-07 06:50:17 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.08, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 10, 'num_generations': 250}
2026-09-07 06:50:20 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-07 06:50:40 | Geração 1/250 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-07 06:50:58 | Geração 2/250 — melhor fitness: 249473109 | sem melhora há 0 geração(ões)
2026-09-07 06:51:17 | Geração 3/250 — melhor fitness: 246279513 | sem melhora há 0 geração(ões)
2026-09-07 06:51:36 | Geração 4/250 — melhor fitness: 246279513 | sem melhora há 1 geração(ões)
2026-09-07 06:51:57 | Geração 5/250 — melhor fitness: 245137993 | sem melhora há 0 geração(ões)
2026-09-07 06:52:14 | Geração 6/250 — melhor fitness: 239647138 | sem melhora há 0 geração(ões)
2026-09-07 06:52:34 | Geração 7/250 — melhor fitness: 238306774 | sem melhora há 0 geração(ões)
2026-09-07 06:52:53 | Geração 8/250 — melhor fitness: 237036863 | sem melhora há 0 geração(ões)
2026-09-07 06:53:12 | Geração 9/250 — melhor fitness: 236260966 | sem melhora há 0 geração(ões)
2026-09-07 06:53:32 | Geração 10/250 — melhor fitness: 231675795 | sem melhora há 0 geração(ões)
2026-09-07 06:53:51 | Geração 11/250 — melhor fitness: 230933115 | sem melhora há 0 geração(ões)
2026-09-07 06:54:11 | Geração 12/250 — melhor fitness: 230933115 | sem melhora há 1 geração(ões)
2026-09-07 06:54:30 | Geração 13/250 — melhor fitness: 230933115 | sem melhora há 2 geração(ões)
2026-09-07 06:54:50 | Geração 14/250 — melhor fitness: 229731145 | sem melhora há 0 geração(ões)
2026-09-07 06:55:09 | Geração 15/250 — melhor fitness: 228063014 | sem melhora há 0 geração(ões)
2026-09-07 06:55:29 | Geração 16/250 — melhor fitness: 227358091 | sem melhora há 0 geração(ões)
2026-09-07 06:55:47 | Geração 17/250 — melhor fitness: 227153625 | sem melhora há 0 geração(ões)
2026-09-07 06:56:06 | Geração 18/250 — melhor fitness: 227153625 | sem melhora há 1 geração(ões)
2026-09-07 06:56:26 | Geração 19/250 — melhor fitness: 227153625 | sem melhora há 2 geração(ões)
2026-09-07 06:56:45 | Geração 20/250 — melhor fitness: 226015473 | sem melhora há 0 geração(ões)
2026-09-07 06:57:03 | Geração 21/250 — melhor fitness: 225413730 | sem melhora há 0 geração(ões)
2026-09-07 06:57:23 | Geração 22/250 — melhor fitness: 225106707 | sem melhora há 0 geração(ões)
2026-09-07 06:57:43 | Geração 23/250 — melhor fitness: 224693798 | sem melhora há 0 geração(ões)
2026-09-07 06:58:03 | Geração 24/250 — melhor fitness: 224040554 | sem melhora há 0 geração(ões)
2026-09-07 06:58:21 | Geração 25/250 — melhor fitness: 222038295 | sem melhora há 0 geração(ões)
2026-09-07 06:58:40 | Geração 26/250 — melhor fitness: 222038295 | sem melhora há 1 geração(ões)
2026-09-07 06:58:58 | Geração 27/250 — melhor fitness: 221683681 | sem melhora há 0 geração(ões)
2026-09-07 06:59:17 | Geração 28/250 — melhor fitness: 221683681 | sem melhora há 1 geração(ões)
2026-09-07 06:59:36 | Geração 29/250 — melhor fitness: 221683681 | sem melhora há 2 geração(ões)
2026-09-07 06:59:55 | Geração 30/250 — melhor fitness: 220091855 | sem melhora há 0 geração(ões)
2026-09-07 07:00:14 | Geração 31/250 — melhor fitness: 220091855 | sem melhora há 1 geração(ões)
2026-09-07 07:00:32 | Geração 32/250 — melhor fitness: 220091855 | sem melhora há 2 geração(ões)
2026-09-07 07:00:52 | Geração 33/250 — melhor fitness: 220091855 | sem melhora há 3 geração(ões)
2026-09-07 07:01:11 | Geração 34/250 — melhor fitness: 219028004 | sem melhora há 0 geração(ões)
2026-09-07 07:01:29 | Geração 35/250 — melhor fitness: 219028004 | sem melhora há 1 geração(ões)
2026-09-07 07:01:47 | Geração 36/250 — melhor fitness: 219028004 | sem melhora há 2 geração(ões)
2026-09-07 07:02:06 | Geração 37/250 — melhor fitness: 219028004 | sem melhora há 3 geração(ões)
2026-09-07 07:02:25 | Geração 38/250 — melhor fitness: 219028004 | sem melhora há 4 geração(ões)
2026-09-07 07:02:44 | Geração 39/250 — melhor fitness: 219028004 | sem melhora há 5 geração(ões)
2026-09-07 07:03:03 | Geração 40/250 — melhor fitness: 218585671 | sem melhora há 0 geração(ões)
2026-09-07 07:03:22 | Geração 41/250 — melhor fitness: 217187569 | sem melhora há 0 geração(ões)
2026-09-07 07:03:41 | Geração 42/250 — melhor fitness: 217187569 | sem melhora há 1 geração(ões)
2026-09-07 07:04:01 | Geração 43/250 — melhor fitness: 217187569 | sem melhora há 2 geração(ões)
2026-09-07 07:04:20 | Geração 44/250 — melhor fitness: 215893353 | sem melhora há 0 geração(ões)
2026-09-07 07:04:39 | Geração 45/250 — melhor fitness: 215893353 | sem melhora há 1 geração(ões)
2026-09-07 07:04:58 | Geração 46/250 — melhor fitness: 215893353 | sem melhora há 2 geração(ões)
2026-09-07 07:05:18 | Geração 47/250 — melhor fitness: 215893353 | sem melhora há 3 geração(ões)
2026-09-07 07:05:37 | Geração 48/250 — melhor fitness: 215893353 | sem melhora há 4 geração(ões)
2026-09-07 07:05:56 | Geração 49/250 — melhor fitness: 215893353 | sem melhora há 5 geração(ões)
2026-09-07 07:06:15 | Geração 50/250 — melhor fitness: 215658938 | sem melhora há 0 geração(ões)
2026-09-07 07:06:34 | Geração 51/250 — melhor fitness: 215658938 | sem melhora há 1 geração(ões)
2026-09-07 07:06:53 | Geração 52/250 — melhor fitness: 214908266 | sem melhora há 0 geração(ões)
