2026-08-28 11:54:59 | ======================================================================
2026-08-28 11:54:59 | Iniciando tarefa — servidor0_tarefa404 | k=27 | seed=42
2026-08-28 11:54:59 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.12, 'population_size': 500, 'elitism_size': 12, 'tournament_size': 10, 'num_generations': 350}
2026-08-28 11:55:04 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-28 11:55:51 | Geração 1/350 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-28 11:56:37 | Geração 2/350 — melhor fitness: 252454465 | sem melhora há 0 geração(ões)
2026-08-28 11:57:25 | Geração 3/350 — melhor fitness: 241777502 | sem melhora há 0 geração(ões)
2026-08-28 11:58:11 | Geração 4/350 — melhor fitness: 236971722 | sem melhora há 0 geração(ões)
2026-08-28 11:58:56 | Geração 5/350 — melhor fitness: 236971722 | sem melhora há 1 geração(ões)
2026-08-28 11:59:41 | Geração 6/350 — melhor fitness: 234828986 | sem melhora há 0 geração(ões)
2026-08-28 12:00:28 | Geração 7/350 — melhor fitness: 231560681 | sem melhora há 0 geração(ões)
2026-08-28 12:01:14 | Geração 8/350 — melhor fitness: 231560681 | sem melhora há 1 geração(ões)
2026-08-28 12:02:00 | Geração 9/350 — melhor fitness: 231560681 | sem melhora há 2 geração(ões)
2026-08-28 12:02:47 | Geração 10/350 — melhor fitness: 231560681 | sem melhora há 3 geração(ões)
2026-08-28 12:03:34 | Geração 11/350 — melhor fitness: 227523632 | sem melhora há 0 geração(ões)
2026-08-28 12:04:18 | Geração 12/350 — melhor fitness: 227523632 | sem melhora há 1 geração(ões)
2026-08-28 12:05:04 | Geração 13/350 — melhor fitness: 226972059 | sem melhora há 0 geração(ões)
2026-08-28 12:05:49 | Geração 14/350 — melhor fitness: 226972059 | sem melhora há 1 geração(ões)
2026-08-28 12:06:37 | Geração 15/350 — melhor fitness: 226972059 | sem melhora há 2 geração(ões)
2026-08-28 12:07:23 | Geração 16/350 — melhor fitness: 225192648 | sem melhora há 0 geração(ões)
2026-08-28 12:08:08 | Geração 17/350 — melhor fitness: 225192648 | sem melhora há 1 geração(ões)
2026-08-28 12:08:54 | Geração 18/350 — melhor fitness: 225192648 | sem melhora há 2 geração(ões)
2026-08-28 12:09:40 | Geração 19/350 — melhor fitness: 222942579 | sem melhora há 0 geração(ões)
2026-08-28 12:10:25 | Geração 20/350 — melhor fitness: 222942579 | sem melhora há 1 geração(ões)
2026-08-28 12:11:10 | Geração 21/350 — melhor fitness: 222108697 | sem melhora há 0 geração(ões)
2026-08-28 12:11:55 | Geração 22/350 — melhor fitness: 222108697 | sem melhora há 1 geração(ões)
2026-08-28 12:12:42 | Geração 23/350 — melhor fitness: 222108697 | sem melhora há 2 geração(ões)
2026-08-28 12:13:28 | Geração 24/350 — melhor fitness: 222108697 | sem melhora há 3 geração(ões)
2026-08-28 12:14:12 | Geração 25/350 — melhor fitness: 222108697 | sem melhora há 4 geração(ões)
2026-08-28 12:14:57 | Geração 26/350 — melhor fitness: 221756308 | sem melhora há 0 geração(ões)
2026-08-28 12:15:43 | Geração 27/350 — melhor fitness: 221756308 | sem melhora há 1 geração(ões)
2026-08-28 12:16:29 | Geração 28/350 — melhor fitness: 221538730 | sem melhora há 0 geração(ões)
2026-08-28 12:17:13 | Geração 29/350 — melhor fitness: 221538730 | sem melhora há 1 geração(ões)
2026-08-28 12:18:00 | Geração 30/350 — melhor fitness: 221538730 | sem melhora há 2 geração(ões)
2026-08-28 12:18:46 | Geração 31/350 — melhor fitness: 221538730 | sem melhora há 3 geração(ões)
2026-08-28 12:19:31 | Geração 32/350 — melhor fitness: 221538730 | sem melhora há 4 geração(ões)
2026-08-28 12:20:17 | Geração 33/350 — melhor fitness: 221293421 | sem melhora há 0 geração(ões)
2026-08-28 12:21:03 | Geração 34/350 — melhor fitness: 221057601 | sem melhora há 0 geração(ões)
2026-08-28 12:21:49 | Geração 35/350 — melhor fitness: 218839305 | sem melhora há 0 geração(ões)
2026-08-28 12:22:36 | Geração 36/350 — melhor fitness: 218839305 | sem melhora há 1 geração(ões)
2026-08-28 12:23:23 | Geração 37/350 — melhor fitness: 218839305 | sem melhora há 2 geração(ões)
2026-08-28 12:24:09 | Geração 38/350 — melhor fitness: 218839305 | sem melhora há 3 geração(ões)
2026-08-28 12:24:54 | Geração 39/350 — melhor fitness: 218839305 | sem melhora há 4 geração(ões)
2026-08-28 12:25:40 | Geração 40/350 — melhor fitness: 218839305 | sem melhora há 5 geração(ões)
2026-08-28 12:26:28 | Geração 41/350 — melhor fitness: 218790155 | sem melhora há 0 geração(ões)
2026-08-28 12:27:12 | Geração 42/350 — melhor fitness: 218790155 | sem melhora há 1 geração(ões)
2026-08-28 12:27:58 | Geração 43/350 — melhor fitness: 218790155 | sem melhora há 2 geração(ões)
2026-08-28 12:28:44 | Geração 44/350 — melhor fitness: 218790155 | sem melhora há 3 geração(ões)
2026-08-28 12:29:29 | Geração 45/350 — melhor fitness: 218790155 | sem melhora há 4 geração(ões)
2026-08-28 12:30:15 | Geração 46/350 — melhor fitness: 218790155 | sem melhora há 5 geração(ões)
2026-08-28 12:31:02 | Geração 47/350 — melhor fitness: 218790155 | sem melhora há 6 geração(ões)
2026-08-28 12:31:47 | Geração 48/350 — melhor fitness: 218790155 | sem melhora há 7 geração(ões)
2026-08-28 12:32:31 | Geração 49/350 — melhor fitness: 218706174 | sem melhora há 0 geração(ões)
2026-08-28 12:33:16 | Geração 50/350 — melhor fitness: 218691640 | sem melhora há 0 geração(ões)
2026-08-28 12:34:02 | Geração 51/350 — melhor fitness: 218691640 | sem melhora há 1 geração(ões)
2026-08-28 12:34:48 | Geração 52/350 — melhor fitness: 218060411 | sem melhora há 0 geração(ões)
2026-08-28 12:35:34 | Geração 53/350 — melhor fitness: 218060411 | sem melhora há 1 geração(ões)
2026-08-28 12:36:20 | Geração 54/350 — melhor fitness: 218060411 | sem melhora há 2 geração(ões)
2026-08-28 12:37:06 | Geração 55/350 — melhor fitness: 216949194 | sem melhora há 0 geração(ões)
2026-08-28 12:37:51 | Geração 56/350 — melhor fitness: 216011562 | sem melhora há 0 geração(ões)
2026-08-28 12:38:39 | Geração 57/350 — melhor fitness: 216011562 | sem melhora há 1 geração(ões)
2026-08-28 12:39:23 | Geração 58/350 — melhor fitness: 215977578 | sem melhora há 0 geração(ões)
2026-08-28 12:40:09 | Geração 59/350 — melhor fitness: 215977578 | sem melhora há 1 geração(ões)
2026-08-28 12:40:53 | Geração 60/350 — melhor fitness: 215977578 | sem melhora há 2 geração(ões)
2026-08-28 12:41:38 | Geração 61/350 — melhor fitness: 215129308 | sem melhora há 0 geração(ões)
2026-08-28 12:42:23 | Geração 62/350 — melhor fitness: 215129308 | sem melhora há 1 geração(ões)
2026-08-28 12:43:09 | Geração 63/350 — melhor fitness: 215129308 | sem melhora há 2 geração(ões)
2026-08-28 12:43:57 | Geração 64/350 — melhor fitness: 215129308 | sem melhora há 3 geração(ões)
2026-08-28 12:44:42 | Geração 65/350 — melhor fitness: 215129308 | sem melhora há 4 geração(ões)
2026-08-28 12:45:28 | Geração 66/350 — melhor fitness: 215129308 | sem melhora há 5 geração(ões)
2026-08-28 12:46:15 | Geração 67/350 — melhor fitness: 215129308 | sem melhora há 6 geração(ões)
2026-08-28 12:47:00 | Geração 68/350 — melhor fitness: 215129308 | sem melhora há 7 geração(ões)
2026-08-28 12:47:46 | Geração 69/350 — melhor fitness: 215129308 | sem melhora há 8 geração(ões)
2026-08-28 12:48:32 | Geração 70/350 — melhor fitness: 215129308 | sem melhora há 9 geração(ões)
2026-08-28 12:49:17 | Geração 71/350 — melhor fitness: 215129308 | sem melhora há 10 geração(ões)
2026-08-28 12:50:05 | Geração 72/350 — melhor fitness: 215129308 | sem melhora há 11 geração(ões)
2026-08-28 12:50:53 | Geração 73/350 — melhor fitness: 215129308 | sem melhora há 12 geração(ões)
2026-08-28 12:51:37 | Geração 74/350 — melhor fitness: 214451016 | sem melhora há 0 geração(ões)
2026-08-28 12:52:22 | Geração 75/350 — melhor fitness: 214451016 | sem melhora há 1 geração(ões)
2026-08-28 12:53:08 | Geração 76/350 — melhor fitness: 214451016 | sem melhora há 2 geração(ões)
2026-08-28 12:53:54 | Geração 77/350 — melhor fitness: 214451016 | sem melhora há 3 geração(ões)
2026-08-28 12:54:39 | Geração 78/350 — melhor fitness: 214451016 | sem melhora há 4 geração(ões)
2026-08-28 12:55:24 | Geração 79/350 — melhor fitness: 214451016 | sem melhora há 5 geração(ões)
2026-08-28 12:56:10 | Geração 80/350 — melhor fitness: 214445598 | sem melhora há 0 geração(ões)
2026-08-28 12:56:58 | Geração 81/350 — melhor fitness: 214445598 | sem melhora há 1 geração(ões)
2026-08-28 12:57:42 | Geração 82/350 — melhor fitness: 213776641 | sem melhora há 0 geração(ões)
2026-08-28 12:58:28 | Geração 83/350 — melhor fitness: 213776641 | sem melhora há 1 geração(ões)
2026-08-28 12:59:15 | Geração 84/350 — melhor fitness: 213656617 | sem melhora há 0 geração(ões)
2026-08-28 13:00:00 | Geração 85/350 — melhor fitness: 213656617 | sem melhora há 1 geração(ões)
2026-08-28 13:00:46 | Geração 86/350 — melhor fitness: 213656617 | sem melhora há 2 geração(ões)
2026-08-28 13:01:32 | Geração 87/350 — melhor fitness: 213656617 | sem melhora há 3 geração(ões)
2026-08-28 13:02:17 | Geração 88/350 — melhor fitness: 213256133 | sem melhora há 0 geração(ões)
2026-08-28 13:03:00 | Geração 89/350 — melhor fitness: 213256133 | sem melhora há 1 geração(ões)
2026-08-28 13:03:46 | Geração 90/350 — melhor fitness: 213256133 | sem melhora há 2 geração(ões)
2026-08-28 13:04:33 | Geração 91/350 — melhor fitness: 213256133 | sem melhora há 3 geração(ões)
2026-08-28 13:05:18 | Geração 92/350 — melhor fitness: 213256133 | sem melhora há 4 geração(ões)
2026-08-28 13:06:05 | Geração 93/350 — melhor fitness: 213256133 | sem melhora há 5 geração(ões)
2026-08-28 13:06:52 | Geração 94/350 — melhor fitness: 213256133 | sem melhora há 6 geração(ões)
2026-08-28 13:07:38 | Geração 95/350 — melhor fitness: 213256133 | sem melhora há 7 geração(ões)
2026-08-28 13:08:25 | Geração 96/350 — melhor fitness: 213256133 | sem melhora há 8 geração(ões)
2026-08-28 13:09:12 | Geração 97/350 — melhor fitness: 213256133 | sem melhora há 9 geração(ões)
2026-08-28 13:09:59 | Geração 98/350 — melhor fitness: 213256133 | sem melhora há 10 geração(ões)
2026-08-28 13:10:44 | Geração 99/350 — melhor fitness: 213256133 | sem melhora há 11 geração(ões)
2026-08-28 13:11:30 | Geração 100/350 — melhor fitness: 213256133 | sem melhora há 12 geração(ões)
2026-08-28 13:12:15 | Geração 101/350 — melhor fitness: 213256133 | sem melhora há 13 geração(ões)
2026-08-28 13:13:01 | Geração 102/350 — melhor fitness: 213256133 | sem melhora há 14 geração(ões)
2026-08-28 13:13:47 | Geração 103/350 — melhor fitness: 213256133 | sem melhora há 15 geração(ões)
2026-08-28 13:14:34 | Geração 104/350 — melhor fitness: 213256133 | sem melhora há 16 geração(ões)
2026-08-28 13:15:19 | Geração 105/350 — melhor fitness: 212803772 | sem melhora há 0 geração(ões)
2026-08-28 13:16:05 | Geração 106/350 — melhor fitness: 212803772 | sem melhora há 1 geração(ões)
2026-08-28 13:16:51 | Geração 107/350 — melhor fitness: 212803772 | sem melhora há 2 geração(ões)
2026-08-28 13:17:36 | Geração 108/350 — melhor fitness: 212803772 | sem melhora há 3 geração(ões)
2026-08-28 13:18:22 | Geração 109/350 — melhor fitness: 212561040 | sem melhora há 0 geração(ões)
2026-08-28 13:19:07 | Geração 110/350 — melhor fitness: 212561040 | sem melhora há 1 geração(ões)
2026-08-28 13:19:53 | Geração 111/350 — melhor fitness: 212561040 | sem melhora há 2 geração(ões)
2026-08-28 13:20:39 | Geração 112/350 — melhor fitness: 212561040 | sem melhora há 3 geração(ões)
2026-08-28 13:21:25 | Geração 113/350 — melhor fitness: 212546507 | sem melhora há 0 geração(ões)
2026-08-28 13:22:12 | Geração 114/350 — melhor fitness: 212546507 | sem melhora há 1 geração(ões)
2026-08-28 13:22:58 | Geração 115/350 — melhor fitness: 212546507 | sem melhora há 2 geração(ões)
2026-08-28 13:23:45 | Geração 116/350 — melhor fitness: 212546507 | sem melhora há 3 geração(ões)
2026-08-28 13:24:29 | Geração 117/350 — melhor fitness: 212546507 | sem melhora há 4 geração(ões)
2026-08-28 13:25:14 | Geração 118/350 — melhor fitness: 212546507 | sem melhora há 5 geração(ões)
2026-08-28 13:25:59 | Geração 119/350 — melhor fitness: 212546507 | sem melhora há 6 geração(ões)
2026-08-28 13:26:46 | Geração 120/350 — melhor fitness: 212546507 | sem melhora há 7 geração(ões)
2026-08-28 13:27:33 | Geração 121/350 — melhor fitness: 212546507 | sem melhora há 8 geração(ões)
2026-08-28 13:28:18 | Geração 122/350 — melhor fitness: 212108679 | sem melhora há 0 geração(ões)
2026-08-28 13:29:05 | Geração 123/350 — melhor fitness: 212108679 | sem melhora há 1 geração(ões)
2026-08-28 13:29:51 | Geração 124/350 — melhor fitness: 212108679 | sem melhora há 2 geração(ões)
2026-08-28 13:30:37 | Geração 125/350 — melhor fitness: 212108679 | sem melhora há 3 geração(ões)
2026-08-28 13:31:24 | Geração 126/350 — melhor fitness: 211615194 | sem melhora há 0 geração(ões)
2026-08-28 13:32:11 | Geração 127/350 — melhor fitness: 211615194 | sem melhora há 1 geração(ões)
2026-08-28 13:32:58 | Geração 128/350 — melhor fitness: 211615194 | sem melhora há 2 geração(ões)
2026-08-28 13:33:45 | Geração 129/350 — melhor fitness: 210941976 | sem melhora há 0 geração(ões)
2026-08-28 13:34:31 | Geração 130/350 — melhor fitness: 210941976 | sem melhora há 1 geração(ões)
2026-08-28 13:35:18 | Geração 131/350 — melhor fitness: 210941976 | sem melhora há 2 geração(ões)
2026-08-28 13:36:02 | Geração 132/350 — melhor fitness: 210941976 | sem melhora há 3 geração(ões)
2026-08-28 13:36:47 | Geração 133/350 — melhor fitness: 210397232 | sem melhora há 0 geração(ões)
