2026-09-03 01:40:24 | ======================================================================
2026-09-03 01:40:24 | Iniciando tarefa — servidor3_tarefa10 | k=27 | seed=42
2026-09-03 01:40:24 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.08, 'population_size': 200, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 250}
2026-09-03 01:40:26 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-03 01:40:32 | Geração 1/250 — melhor fitness: 262213666 | sem melhora há 0 geração(ões)
2026-09-03 01:40:39 | Geração 2/250 — melhor fitness: 252698110 | sem melhora há 0 geração(ões)
2026-09-03 01:40:45 | Geração 3/250 — melhor fitness: 252698110 | sem melhora há 1 geração(ões)
2026-09-03 01:40:52 | Geração 4/250 — melhor fitness: 252698110 | sem melhora há 2 geração(ões)
2026-09-03 01:40:58 | Geração 5/250 — melhor fitness: 247522066 | sem melhora há 0 geração(ões)
2026-09-03 01:41:05 | Geração 6/250 — melhor fitness: 247522066 | sem melhora há 1 geração(ões)
2026-09-03 01:41:11 | Geração 7/250 — melhor fitness: 244253049 | sem melhora há 0 geração(ões)
2026-09-03 01:41:18 | Geração 8/250 — melhor fitness: 243170237 | sem melhora há 0 geração(ões)
2026-09-03 01:41:25 | Geração 9/250 — melhor fitness: 243170237 | sem melhora há 1 geração(ões)
2026-09-03 01:41:32 | Geração 10/250 — melhor fitness: 241996667 | sem melhora há 0 geração(ões)
2026-09-03 01:41:38 | Geração 11/250 — melhor fitness: 238484326 | sem melhora há 0 geração(ões)
2026-09-03 01:41:45 | Geração 12/250 — melhor fitness: 238484326 | sem melhora há 1 geração(ões)
2026-09-03 01:41:52 | Geração 13/250 — melhor fitness: 236837425 | sem melhora há 0 geração(ões)
2026-09-03 01:41:58 | Geração 14/250 — melhor fitness: 234756354 | sem melhora há 0 geração(ões)
2026-09-03 01:42:05 | Geração 15/250 — melhor fitness: 234756354 | sem melhora há 1 geração(ões)
2026-09-03 01:42:11 | Geração 16/250 — melhor fitness: 234606540 | sem melhora há 0 geração(ões)
2026-09-03 01:42:18 | Geração 17/250 — melhor fitness: 234606540 | sem melhora há 1 geração(ões)
2026-09-03 01:42:24 | Geração 18/250 — melhor fitness: 234606540 | sem melhora há 2 geração(ões)
2026-09-03 01:42:31 | Geração 19/250 — melhor fitness: 232989713 | sem melhora há 0 geração(ões)
2026-09-03 01:42:39 | Geração 20/250 — melhor fitness: 232989713 | sem melhora há 1 geração(ões)
2026-09-03 01:42:45 | Geração 21/250 — melhor fitness: 232989713 | sem melhora há 2 geração(ões)
2026-09-03 01:42:51 | Geração 22/250 — melhor fitness: 232989713 | sem melhora há 3 geração(ões)
2026-09-03 01:42:59 | Geração 23/250 — melhor fitness: 229287627 | sem melhora há 0 geração(ões)
2026-09-03 01:43:05 | Geração 24/250 — melhor fitness: 229287627 | sem melhora há 1 geração(ões)
2026-09-03 01:43:12 | Geração 25/250 — melhor fitness: 227776171 | sem melhora há 0 geração(ões)
2026-09-03 01:43:18 | Geração 26/250 — melhor fitness: 227776171 | sem melhora há 1 geração(ões)
2026-09-03 01:43:25 | Geração 27/250 — melhor fitness: 227776171 | sem melhora há 2 geração(ões)
2026-09-03 01:43:32 | Geração 28/250 — melhor fitness: 226319199 | sem melhora há 0 geração(ões)
2026-09-03 01:43:38 | Geração 29/250 — melhor fitness: 225358196 | sem melhora há 0 geração(ões)
2026-09-03 01:43:45 | Geração 30/250 — melhor fitness: 225358196 | sem melhora há 1 geração(ões)
2026-09-03 01:43:52 | Geração 31/250 — melhor fitness: 225358196 | sem melhora há 2 geração(ões)
2026-09-03 01:43:58 | Geração 32/250 — melhor fitness: 225358196 | sem melhora há 3 geração(ões)
2026-09-03 01:44:05 | Geração 33/250 — melhor fitness: 224010918 | sem melhora há 0 geração(ões)
2026-09-03 01:44:12 | Geração 34/250 — melhor fitness: 224010918 | sem melhora há 1 geração(ões)
2026-09-03 01:44:18 | Geração 35/250 — melhor fitness: 224010918 | sem melhora há 2 geração(ões)
2026-09-03 01:44:25 | Geração 36/250 — melhor fitness: 224010918 | sem melhora há 3 geração(ões)
2026-09-03 01:44:32 | Geração 37/250 — melhor fitness: 224010918 | sem melhora há 4 geração(ões)
2026-09-03 01:44:38 | Geração 38/250 — melhor fitness: 223610141 | sem melhora há 0 geração(ões)
2026-09-03 01:44:44 | Geração 39/250 — melhor fitness: 222119390 | sem melhora há 0 geração(ões)
2026-09-03 01:44:51 | Geração 40/250 — melhor fitness: 222119390 | sem melhora há 1 geração(ões)
2026-09-03 01:44:57 | Geração 41/250 — melhor fitness: 222119390 | sem melhora há 2 geração(ões)
2026-09-03 01:45:04 | Geração 42/250 — melhor fitness: 222119390 | sem melhora há 3 geração(ões)
2026-09-03 01:45:11 | Geração 43/250 — melhor fitness: 222119390 | sem melhora há 4 geração(ões)
2026-09-03 01:45:18 | Geração 44/250 — melhor fitness: 221091424 | sem melhora há 0 geração(ões)
2026-09-03 01:45:25 | Geração 45/250 — melhor fitness: 221091424 | sem melhora há 1 geração(ões)
