2026-08-27 20:45:04 | ======================================================================
2026-08-27 20:45:04 | Iniciando tarefa — servidor0_tarefa311 | k=27 | seed=42
2026-08-27 20:45:04 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.08, 'population_size': 500, 'elitism_size': 8, 'tournament_size': 7, 'num_generations': 350}
2026-08-27 20:45:08 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-27 20:45:42 | Geração 1/350 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-27 20:46:14 | Geração 2/350 — melhor fitness: 247955400 | sem melhora há 0 geração(ões)
2026-08-27 20:46:47 | Geração 3/350 — melhor fitness: 247955400 | sem melhora há 1 geração(ões)
2026-08-27 20:47:20 | Geração 4/350 — melhor fitness: 247955400 | sem melhora há 2 geração(ões)
2026-08-27 20:47:52 | Geração 5/350 — melhor fitness: 245322616 | sem melhora há 0 geração(ões)
2026-08-27 20:48:24 | Geração 6/350 — melhor fitness: 242328886 | sem melhora há 0 geração(ões)
2026-08-27 20:48:56 | Geração 7/350 — melhor fitness: 242328886 | sem melhora há 1 geração(ões)
2026-08-27 20:49:28 | Geração 8/350 — melhor fitness: 242328886 | sem melhora há 2 geração(ões)
2026-08-27 20:50:00 | Geração 9/350 — melhor fitness: 235721175 | sem melhora há 0 geração(ões)
2026-08-27 20:50:34 | Geração 10/350 — melhor fitness: 234080698 | sem melhora há 0 geração(ões)
2026-08-27 20:51:07 | Geração 11/350 — melhor fitness: 234080698 | sem melhora há 1 geração(ões)
2026-08-27 20:51:39 | Geração 12/350 — melhor fitness: 234068329 | sem melhora há 0 geração(ões)
2026-08-27 20:52:11 | Geração 13/350 — melhor fitness: 230710816 | sem melhora há 0 geração(ões)
2026-08-27 20:52:43 | Geração 14/350 — melhor fitness: 230710816 | sem melhora há 1 geração(ões)
2026-08-27 20:53:14 | Geração 15/350 — melhor fitness: 230710816 | sem melhora há 2 geração(ões)
2026-08-27 20:53:46 | Geração 16/350 — melhor fitness: 230539946 | sem melhora há 0 geração(ões)
2026-08-27 20:54:19 | Geração 17/350 — melhor fitness: 228959360 | sem melhora há 0 geração(ões)
2026-08-27 20:54:52 | Geração 18/350 — melhor fitness: 228466316 | sem melhora há 0 geração(ões)
2026-08-27 20:55:23 | Geração 19/350 — melhor fitness: 227127222 | sem melhora há 0 geração(ões)
2026-08-27 20:55:54 | Geração 20/350 — melhor fitness: 227127222 | sem melhora há 1 geração(ões)
2026-08-27 20:56:27 | Geração 21/350 — melhor fitness: 226606954 | sem melhora há 0 geração(ões)
2026-08-27 20:56:59 | Geração 22/350 — melhor fitness: 226606954 | sem melhora há 1 geração(ões)
2026-08-27 20:57:32 | Geração 23/350 — melhor fitness: 226534301 | sem melhora há 0 geração(ões)
2026-08-27 20:58:03 | Geração 24/350 — melhor fitness: 225454491 | sem melhora há 0 geração(ões)
2026-08-27 20:58:36 | Geração 25/350 — melhor fitness: 223819750 | sem melhora há 0 geração(ões)
2026-08-27 20:59:08 | Geração 26/350 — melhor fitness: 223819750 | sem melhora há 1 geração(ões)
2026-08-27 20:59:39 | Geração 27/350 — melhor fitness: 223819750 | sem melhora há 2 geração(ões)
2026-08-27 21:00:12 | Geração 28/350 — melhor fitness: 223819750 | sem melhora há 3 geração(ões)
2026-08-27 21:00:43 | Geração 29/350 — melhor fitness: 222861944 | sem melhora há 0 geração(ões)
2026-08-27 21:01:14 | Geração 30/350 — melhor fitness: 222861944 | sem melhora há 1 geração(ões)
2026-08-27 21:01:46 | Geração 31/350 — melhor fitness: 222861944 | sem melhora há 2 geração(ões)
2026-08-27 21:02:18 | Geração 32/350 — melhor fitness: 222861944 | sem melhora há 3 geração(ões)
2026-08-27 21:02:49 | Geração 33/350 — melhor fitness: 222861944 | sem melhora há 4 geração(ões)
2026-08-27 21:03:22 | Geração 34/350 — melhor fitness: 222861944 | sem melhora há 5 geração(ões)
2026-08-27 21:03:54 | Geração 35/350 — melhor fitness: 220920296 | sem melhora há 0 geração(ões)
2026-08-27 21:04:26 | Geração 36/350 — melhor fitness: 220629802 | sem melhora há 0 geração(ões)
2026-08-27 21:04:57 | Geração 37/350 — melhor fitness: 220629802 | sem melhora há 1 geração(ões)
2026-08-27 21:05:30 | Geração 38/350 — melhor fitness: 220629802 | sem melhora há 2 geração(ões)
2026-08-27 21:06:01 | Geração 39/350 — melhor fitness: 219614594 | sem melhora há 0 geração(ões)
2026-08-27 21:06:33 | Geração 40/350 — melhor fitness: 219614594 | sem melhora há 1 geração(ões)
2026-08-27 21:07:06 | Geração 41/350 — melhor fitness: 219319390 | sem melhora há 0 geração(ões)
2026-08-27 21:07:39 | Geração 42/350 — melhor fitness: 219319390 | sem melhora há 1 geração(ões)
2026-08-27 21:08:10 | Geração 43/350 — melhor fitness: 219319390 | sem melhora há 2 geração(ões)
2026-08-27 21:08:44 | Geração 44/350 — melhor fitness: 219319390 | sem melhora há 3 geração(ões)
2026-08-27 21:09:17 | Geração 45/350 — melhor fitness: 219319390 | sem melhora há 4 geração(ões)
2026-08-27 21:09:50 | Geração 46/350 — melhor fitness: 219319390 | sem melhora há 5 geração(ões)
2026-08-27 21:10:22 | Geração 47/350 — melhor fitness: 219319390 | sem melhora há 6 geração(ões)
2026-08-27 21:10:55 | Geração 48/350 — melhor fitness: 219319390 | sem melhora há 7 geração(ões)
2026-08-27 21:11:27 | Geração 49/350 — melhor fitness: 219319390 | sem melhora há 8 geração(ões)
2026-08-27 21:11:58 | Geração 50/350 — melhor fitness: 219319390 | sem melhora há 9 geração(ões)
2026-08-27 21:12:31 | Geração 51/350 — melhor fitness: 217815868 | sem melhora há 0 geração(ões)
2026-08-27 21:13:04 | Geração 52/350 — melhor fitness: 217815868 | sem melhora há 1 geração(ões)
2026-08-27 21:13:35 | Geração 53/350 — melhor fitness: 217815868 | sem melhora há 2 geração(ões)
2026-08-27 21:14:07 | Geração 54/350 — melhor fitness: 217815868 | sem melhora há 3 geração(ões)
2026-08-27 21:14:37 | Geração 55/350 — melhor fitness: 217815868 | sem melhora há 4 geração(ões)
