2026-09-01 11:55:48 | ======================================================================
2026-09-01 11:55:48 | Iniciando tarefa — servidor2_tarefa343 | k=27 | seed=42
2026-09-01 11:55:48 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.12, 'population_size': 200, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 250}
2026-09-01 11:55:50 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-01 11:55:59 | Geração 1/250 — melhor fitness: 255255744 | sem melhora há 0 geração(ões)
2026-09-01 11:56:09 | Geração 2/250 — melhor fitness: 255255744 | sem melhora há 1 geração(ões)
2026-09-01 11:56:17 | Geração 3/250 — melhor fitness: 255255744 | sem melhora há 2 geração(ões)
2026-09-01 11:56:26 | Geração 4/250 — melhor fitness: 254914005 | sem melhora há 0 geração(ões)
2026-09-01 11:56:35 | Geração 5/250 — melhor fitness: 253739903 | sem melhora há 0 geração(ões)
2026-09-01 11:56:44 | Geração 6/250 — melhor fitness: 247480221 | sem melhora há 0 geração(ões)
2026-09-01 11:56:53 | Geração 7/250 — melhor fitness: 247100751 | sem melhora há 0 geração(ões)
2026-09-01 11:57:03 | Geração 8/250 — melhor fitness: 245724375 | sem melhora há 0 geração(ões)
2026-09-01 11:57:12 | Geração 9/250 — melhor fitness: 245517820 | sem melhora há 0 geração(ões)
2026-09-01 11:57:22 | Geração 10/250 — melhor fitness: 245517820 | sem melhora há 1 geração(ões)
2026-09-01 11:57:30 | Geração 11/250 — melhor fitness: 245517820 | sem melhora há 2 geração(ões)
2026-09-01 11:57:39 | Geração 12/250 — melhor fitness: 241810467 | sem melhora há 0 geração(ões)
2026-09-01 11:57:48 | Geração 13/250 — melhor fitness: 241810467 | sem melhora há 1 geração(ões)
2026-09-01 11:57:57 | Geração 14/250 — melhor fitness: 241810467 | sem melhora há 2 geração(ões)
2026-09-01 11:58:06 | Geração 15/250 — melhor fitness: 241810467 | sem melhora há 3 geração(ões)
2026-09-01 11:58:15 | Geração 16/250 — melhor fitness: 241810467 | sem melhora há 4 geração(ões)
2026-09-01 11:58:24 | Geração 17/250 — melhor fitness: 240758549 | sem melhora há 0 geração(ões)
2026-09-01 11:58:33 | Geração 18/250 — melhor fitness: 239684094 | sem melhora há 0 geração(ões)
2026-09-01 11:58:42 | Geração 19/250 — melhor fitness: 239684094 | sem melhora há 1 geração(ões)
2026-09-01 11:58:51 | Geração 20/250 — melhor fitness: 237775112 | sem melhora há 0 geração(ões)
2026-09-01 11:59:00 | Geração 21/250 — melhor fitness: 237775112 | sem melhora há 1 geração(ões)
2026-09-01 11:59:09 | Geração 22/250 — melhor fitness: 237775112 | sem melhora há 2 geração(ões)
2026-09-01 11:59:17 | Geração 23/250 — melhor fitness: 237775112 | sem melhora há 3 geração(ões)
2026-09-01 11:59:26 | Geração 24/250 — melhor fitness: 237775112 | sem melhora há 4 geração(ões)
2026-09-01 11:59:35 | Geração 25/250 — melhor fitness: 235627075 | sem melhora há 0 geração(ões)
2026-09-01 11:59:44 | Geração 26/250 — melhor fitness: 235627075 | sem melhora há 1 geração(ões)
2026-09-01 11:59:53 | Geração 27/250 — melhor fitness: 235627075 | sem melhora há 2 geração(ões)
2026-09-01 12:00:02 | Geração 28/250 — melhor fitness: 231998907 | sem melhora há 0 geração(ões)
2026-09-01 12:00:12 | Geração 29/250 — melhor fitness: 231998907 | sem melhora há 1 geração(ões)
2026-09-01 12:00:21 | Geração 30/250 — melhor fitness: 231998907 | sem melhora há 2 geração(ões)
2026-09-01 12:00:29 | Geração 31/250 — melhor fitness: 231998907 | sem melhora há 3 geração(ões)
