2026-09-01 14:47:48 | ======================================================================
2026-09-01 14:47:48 | Iniciando tarefa — servidor2_tarefa505 | k=27 | seed=42
2026-09-01 14:47:48 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.08, 'population_size': 200, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 250}
2026-09-01 14:47:50 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-01 14:47:56 | Geração 1/250 — melhor fitness: 256745097 | sem melhora há 0 geração(ões)
2026-09-01 14:48:03 | Geração 2/250 — melhor fitness: 256745097 | sem melhora há 1 geração(ões)
2026-09-01 14:48:10 | Geração 3/250 — melhor fitness: 252358452 | sem melhora há 0 geração(ões)
2026-09-01 14:48:16 | Geração 4/250 — melhor fitness: 251603302 | sem melhora há 0 geração(ões)
2026-09-01 14:48:22 | Geração 5/250 — melhor fitness: 251603302 | sem melhora há 1 geração(ões)
2026-09-01 14:48:29 | Geração 6/250 — melhor fitness: 250594229 | sem melhora há 0 geração(ões)
2026-09-01 14:48:36 | Geração 7/250 — melhor fitness: 249270599 | sem melhora há 0 geração(ões)
2026-09-01 14:48:43 | Geração 8/250 — melhor fitness: 249270599 | sem melhora há 1 geração(ões)
2026-09-01 14:48:49 | Geração 9/250 — melhor fitness: 245587854 | sem melhora há 0 geração(ões)
2026-09-01 14:48:56 | Geração 10/250 — melhor fitness: 245587854 | sem melhora há 1 geração(ões)
2026-09-01 14:49:02 | Geração 11/250 — melhor fitness: 242012781 | sem melhora há 0 geração(ões)
2026-09-01 14:49:08 | Geração 12/250 — melhor fitness: 241995205 | sem melhora há 0 geração(ões)
2026-09-01 14:49:15 | Geração 13/250 — melhor fitness: 239023715 | sem melhora há 0 geração(ões)
2026-09-01 14:49:22 | Geração 14/250 — melhor fitness: 237077345 | sem melhora há 0 geração(ões)
2026-09-01 14:49:28 | Geração 15/250 — melhor fitness: 233792693 | sem melhora há 0 geração(ões)
2026-09-01 14:49:35 | Geração 16/250 — melhor fitness: 233792693 | sem melhora há 1 geração(ões)
2026-09-01 14:49:41 | Geração 17/250 — melhor fitness: 232324553 | sem melhora há 0 geração(ões)
2026-09-01 14:49:48 | Geração 18/250 — melhor fitness: 232324553 | sem melhora há 1 geração(ões)
2026-09-01 14:49:54 | Geração 19/250 — melhor fitness: 229253351 | sem melhora há 0 geração(ões)
2026-09-01 14:50:01 | Geração 20/250 — melhor fitness: 229253351 | sem melhora há 1 geração(ões)
2026-09-01 14:50:07 | Geração 21/250 — melhor fitness: 228425986 | sem melhora há 0 geração(ões)
2026-09-01 14:50:14 | Geração 22/250 — melhor fitness: 228425986 | sem melhora há 1 geração(ões)
2026-09-01 14:50:21 | Geração 23/250 — melhor fitness: 226130370 | sem melhora há 0 geração(ões)
2026-09-01 14:50:28 | Geração 24/250 — melhor fitness: 226130370 | sem melhora há 1 geração(ões)
2026-09-01 14:50:34 | Geração 25/250 — melhor fitness: 226130370 | sem melhora há 2 geração(ões)
2026-09-01 14:50:41 | Geração 26/250 — melhor fitness: 226130370 | sem melhora há 3 geração(ões)
2026-09-01 14:50:48 | Geração 27/250 — melhor fitness: 226130370 | sem melhora há 4 geração(ões)
2026-09-01 14:50:54 | Geração 28/250 — melhor fitness: 226130370 | sem melhora há 5 geração(ões)
2026-09-01 14:51:01 | Geração 29/250 — melhor fitness: 226130370 | sem melhora há 6 geração(ões)
2026-09-01 14:51:07 | Geração 30/250 — melhor fitness: 226130370 | sem melhora há 7 geração(ões)
2026-09-01 14:51:14 | Geração 31/250 — melhor fitness: 226130370 | sem melhora há 8 geração(ões)
2026-09-01 14:51:21 | Geração 32/250 — melhor fitness: 226130370 | sem melhora há 9 geração(ões)
2026-09-01 14:51:28 | Geração 33/250 — melhor fitness: 226130370 | sem melhora há 10 geração(ões)
2026-09-01 14:51:34 | Geração 34/250 — melhor fitness: 226130370 | sem melhora há 11 geração(ões)
2026-09-01 14:51:41 | Geração 35/250 — melhor fitness: 224822887 | sem melhora há 0 geração(ões)
2026-09-01 14:51:47 | Geração 36/250 — melhor fitness: 224822887 | sem melhora há 1 geração(ões)
2026-09-01 14:51:54 | Geração 37/250 — melhor fitness: 224822887 | sem melhora há 2 geração(ões)
2026-09-01 14:52:01 | Geração 38/250 — melhor fitness: 224822887 | sem melhora há 3 geração(ões)
2026-09-01 14:52:08 | Geração 39/250 — melhor fitness: 224822887 | sem melhora há 4 geração(ões)
2026-09-01 14:52:14 | Geração 40/250 — melhor fitness: 224812907 | sem melhora há 0 geração(ões)
2026-09-01 14:52:21 | Geração 41/250 — melhor fitness: 224812907 | sem melhora há 1 geração(ões)
2026-09-01 14:52:27 | Geração 42/250 — melhor fitness: 224812907 | sem melhora há 2 geração(ões)
2026-09-01 14:52:33 | Geração 43/250 — melhor fitness: 224812907 | sem melhora há 3 geração(ões)
2026-09-01 14:52:40 | Geração 44/250 — melhor fitness: 224812907 | sem melhora há 4 geração(ões)
2026-09-01 14:52:47 | Geração 45/250 — melhor fitness: 224812907 | sem melhora há 5 geração(ões)
2026-09-01 14:52:53 | Geração 46/250 — melhor fitness: 221807253 | sem melhora há 0 geração(ões)
2026-09-01 14:53:00 | Geração 47/250 — melhor fitness: 221807253 | sem melhora há 1 geração(ões)
2026-09-01 14:53:07 | Geração 48/250 — melhor fitness: 221807253 | sem melhora há 2 geração(ões)
2026-09-01 14:53:14 | Geração 49/250 — melhor fitness: 221807253 | sem melhora há 3 geração(ões)
2026-09-01 14:53:20 | Geração 50/250 — melhor fitness: 221807253 | sem melhora há 4 geração(ões)
2026-09-01 14:53:26 | Geração 51/250 — melhor fitness: 220777376 | sem melhora há 0 geração(ões)
2026-09-01 14:53:33 | Geração 52/250 — melhor fitness: 220777376 | sem melhora há 1 geração(ões)
2026-09-01 14:53:39 | Geração 53/250 — melhor fitness: 220777376 | sem melhora há 2 geração(ões)
2026-09-01 14:53:46 | Geração 54/250 — melhor fitness: 220777376 | sem melhora há 3 geração(ões)
2026-09-01 14:53:53 | Geração 55/250 — melhor fitness: 220777376 | sem melhora há 4 geração(ões)
2026-09-01 14:53:59 | Geração 56/250 — melhor fitness: 219806756 | sem melhora há 0 geração(ões)
2026-09-01 14:54:06 | Geração 57/250 — melhor fitness: 218914936 | sem melhora há 0 geração(ões)
2026-09-01 14:54:13 | Geração 58/250 — melhor fitness: 218914936 | sem melhora há 1 geração(ões)
2026-09-01 14:54:19 | Geração 59/250 — melhor fitness: 218914936 | sem melhora há 2 geração(ões)
2026-09-01 14:54:26 | Geração 60/250 — melhor fitness: 218914936 | sem melhora há 3 geração(ões)
2026-09-01 14:54:32 | Geração 61/250 — melhor fitness: 218595367 | sem melhora há 0 geração(ões)
2026-09-01 14:54:38 | Geração 62/250 — melhor fitness: 218595367 | sem melhora há 1 geração(ões)
2026-09-01 14:54:45 | Geração 63/250 — melhor fitness: 218595367 | sem melhora há 2 geração(ões)
2026-09-01 14:54:51 | Geração 64/250 — melhor fitness: 218595367 | sem melhora há 3 geração(ões)
2026-09-01 14:54:58 | Geração 65/250 — melhor fitness: 218595367 | sem melhora há 4 geração(ões)
2026-09-01 14:55:05 | Geração 66/250 — melhor fitness: 217570732 | sem melhora há 0 geração(ões)
2026-09-01 14:55:12 | Geração 67/250 — melhor fitness: 217570732 | sem melhora há 1 geração(ões)
2026-09-01 14:55:18 | Geração 68/250 — melhor fitness: 217570732 | sem melhora há 2 geração(ões)
2026-09-01 14:55:25 | Geração 69/250 — melhor fitness: 217570732 | sem melhora há 3 geração(ões)
2026-09-01 14:55:31 | Geração 70/250 — melhor fitness: 217570732 | sem melhora há 4 geração(ões)
2026-09-01 14:55:38 | Geração 71/250 — melhor fitness: 217570732 | sem melhora há 5 geração(ões)
2026-09-01 14:55:44 | Geração 72/250 — melhor fitness: 217487341 | sem melhora há 0 geração(ões)
2026-09-01 14:55:50 | Geração 73/250 — melhor fitness: 216849297 | sem melhora há 0 geração(ões)
2026-09-01 14:55:57 | Geração 74/250 — melhor fitness: 216849297 | sem melhora há 1 geração(ões)
2026-09-01 14:56:03 | Geração 75/250 — melhor fitness: 216849297 | sem melhora há 2 geração(ões)
2026-09-01 14:56:10 | Geração 76/250 — melhor fitness: 216849297 | sem melhora há 3 geração(ões)
2026-09-01 14:56:16 | Geração 77/250 — melhor fitness: 216849297 | sem melhora há 4 geração(ões)
2026-09-01 14:56:23 | Geração 78/250 — melhor fitness: 216849297 | sem melhora há 5 geração(ões)
2026-09-01 14:56:29 | Geração 79/250 — melhor fitness: 216849297 | sem melhora há 6 geração(ões)
2026-09-01 14:56:36 | Geração 80/250 — melhor fitness: 216849297 | sem melhora há 7 geração(ões)
2026-09-01 14:56:43 | Geração 81/250 — melhor fitness: 216776414 | sem melhora há 0 geração(ões)
2026-09-01 14:56:50 | Geração 82/250 — melhor fitness: 216776414 | sem melhora há 1 geração(ões)
2026-09-01 14:56:56 | Geração 83/250 — melhor fitness: 216776414 | sem melhora há 2 geração(ões)
2026-09-01 14:57:03 | Geração 84/250 — melhor fitness: 216589965 | sem melhora há 0 geração(ões)
2026-09-01 14:57:10 | Geração 85/250 — melhor fitness: 216509148 | sem melhora há 0 geração(ões)
2026-09-01 14:57:16 | Geração 86/250 — melhor fitness: 216509148 | sem melhora há 1 geração(ões)
2026-09-01 14:57:23 | Geração 87/250 — melhor fitness: 216509148 | sem melhora há 2 geração(ões)
2026-09-01 14:57:30 | Geração 88/250 — melhor fitness: 216509148 | sem melhora há 3 geração(ões)
2026-09-01 14:57:36 | Geração 89/250 — melhor fitness: 216509148 | sem melhora há 4 geração(ões)
2026-09-01 14:57:43 | Geração 90/250 — melhor fitness: 216436265 | sem melhora há 0 geração(ões)
2026-09-01 14:57:49 | Geração 91/250 — melhor fitness: 216436265 | sem melhora há 1 geração(ões)
2026-09-01 14:57:56 | Geração 92/250 — melhor fitness: 216261294 | sem melhora há 0 geração(ões)
2026-09-01 14:58:03 | Geração 93/250 — melhor fitness: 215608076 | sem melhora há 0 geração(ões)
2026-09-01 14:58:09 | Geração 94/250 — melhor fitness: 215608076 | sem melhora há 1 geração(ões)
2026-09-01 14:58:16 | Geração 95/250 — melhor fitness: 215433105 | sem melhora há 0 geração(ões)
2026-09-01 14:58:22 | Geração 96/250 — melhor fitness: 215433105 | sem melhora há 1 geração(ões)
2026-09-01 14:58:29 | Geração 97/250 — melhor fitness: 215433105 | sem melhora há 2 geração(ões)
2026-09-01 14:58:35 | Geração 98/250 — melhor fitness: 215426956 | sem melhora há 0 geração(ões)
2026-09-01 14:58:42 | Geração 99/250 — melhor fitness: 215057069 | sem melhora há 0 geração(ões)
