2026-09-03 20:25:50 | ======================================================================
2026-09-03 20:25:50 | Iniciando tarefa — servidor3_tarefa522 | k=27 | seed=42
2026-09-03 20:25:50 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.08, 'population_size': 300, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 150}
2026-09-03 20:25:52 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-03 20:26:02 | Geração 1/150 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-03 20:26:13 | Geração 2/150 — melhor fitness: 252830577 | sem melhora há 0 geração(ões)
2026-09-03 20:26:22 | Geração 3/150 — melhor fitness: 249846761 | sem melhora há 0 geração(ões)
2026-09-03 20:26:32 | Geração 4/150 — melhor fitness: 248714276 | sem melhora há 0 geração(ões)
2026-09-03 20:26:42 | Geração 5/150 — melhor fitness: 240485010 | sem melhora há 0 geração(ões)
2026-09-03 20:26:53 | Geração 6/150 — melhor fitness: 239400923 | sem melhora há 0 geração(ões)
2026-09-03 20:27:03 | Geração 7/150 — melhor fitness: 236784825 | sem melhora há 0 geração(ões)
2026-09-03 20:27:12 | Geração 8/150 — melhor fitness: 236784825 | sem melhora há 1 geração(ões)
2026-09-03 20:27:22 | Geração 9/150 — melhor fitness: 236784825 | sem melhora há 2 geração(ões)
2026-09-03 20:27:32 | Geração 10/150 — melhor fitness: 235109021 | sem melhora há 0 geração(ões)
2026-09-03 20:27:41 | Geração 11/150 — melhor fitness: 233718106 | sem melhora há 0 geração(ões)
2026-09-03 20:27:51 | Geração 12/150 — melhor fitness: 231729743 | sem melhora há 0 geração(ões)
2026-09-03 20:28:01 | Geração 13/150 — melhor fitness: 230216228 | sem melhora há 0 geração(ões)
2026-09-03 20:28:12 | Geração 14/150 — melhor fitness: 230216228 | sem melhora há 1 geração(ões)
2026-09-03 20:28:22 | Geração 15/150 — melhor fitness: 229558364 | sem melhora há 0 geração(ões)
2026-09-03 20:28:32 | Geração 16/150 — melhor fitness: 228874140 | sem melhora há 0 geração(ões)
2026-09-03 20:28:43 | Geração 17/150 — melhor fitness: 228874140 | sem melhora há 1 geração(ões)
2026-09-03 20:28:53 | Geração 18/150 — melhor fitness: 227835517 | sem melhora há 0 geração(ões)
2026-09-03 20:29:02 | Geração 19/150 — melhor fitness: 224045254 | sem melhora há 0 geração(ões)
2026-09-03 20:29:13 | Geração 20/150 — melhor fitness: 224045254 | sem melhora há 1 geração(ões)
2026-09-03 20:29:23 | Geração 21/150 — melhor fitness: 224045254 | sem melhora há 2 geração(ões)
2026-09-03 20:29:33 | Geração 22/150 — melhor fitness: 224045254 | sem melhora há 3 geração(ões)
2026-09-03 20:29:44 | Geração 23/150 — melhor fitness: 224045254 | sem melhora há 4 geração(ões)
2026-09-03 20:29:54 | Geração 24/150 — melhor fitness: 224045254 | sem melhora há 5 geração(ões)
2026-09-03 20:30:04 | Geração 25/150 — melhor fitness: 223977967 | sem melhora há 0 geração(ões)
2026-09-03 20:30:14 | Geração 26/150 — melhor fitness: 222985281 | sem melhora há 0 geração(ões)
2026-09-03 20:30:24 | Geração 27/150 — melhor fitness: 220983049 | sem melhora há 0 geração(ões)
2026-09-03 20:30:35 | Geração 28/150 — melhor fitness: 220983049 | sem melhora há 1 geração(ões)
2026-09-03 20:30:45 | Geração 29/150 — melhor fitness: 220983049 | sem melhora há 2 geração(ões)
2026-09-03 20:30:55 | Geração 30/150 — melhor fitness: 220983049 | sem melhora há 3 geração(ões)
