2026-09-03 09:26:41 | ======================================================================
2026-09-03 09:26:41 | Iniciando tarefa — servidor3_tarefa496 | k=27 | seed=42
2026-09-03 09:26:41 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.08, 'population_size': 200, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 250}
2026-09-03 09:26:43 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-03 09:26:49 | Geração 1/250 — melhor fitness: 256745097 | sem melhora há 0 geração(ões)
2026-09-03 09:26:56 | Geração 2/250 — melhor fitness: 256745097 | sem melhora há 1 geração(ões)
2026-09-03 09:27:03 | Geração 3/250 — melhor fitness: 255525027 | sem melhora há 0 geração(ões)
2026-09-03 09:27:09 | Geração 4/250 — melhor fitness: 249730021 | sem melhora há 0 geração(ões)
2026-09-03 09:27:16 | Geração 5/250 — melhor fitness: 249730021 | sem melhora há 1 geração(ões)
2026-09-03 09:27:23 | Geração 6/250 — melhor fitness: 249730021 | sem melhora há 2 geração(ões)
2026-09-03 09:27:29 | Geração 7/250 — melhor fitness: 243551534 | sem melhora há 0 geração(ões)
2026-09-03 09:27:36 | Geração 8/250 — melhor fitness: 243551534 | sem melhora há 1 geração(ões)
2026-09-03 09:27:43 | Geração 9/250 — melhor fitness: 243551534 | sem melhora há 2 geração(ões)
2026-09-03 09:27:50 | Geração 10/250 — melhor fitness: 238149810 | sem melhora há 0 geração(ões)
2026-09-03 09:27:56 | Geração 11/250 — melhor fitness: 238149810 | sem melhora há 1 geração(ões)
2026-09-03 09:28:03 | Geração 12/250 — melhor fitness: 238149810 | sem melhora há 2 geração(ões)
2026-09-03 09:28:10 | Geração 13/250 — melhor fitness: 235420820 | sem melhora há 0 geração(ões)
2026-09-03 09:28:16 | Geração 14/250 — melhor fitness: 235420820 | sem melhora há 1 geração(ões)
2026-09-03 09:28:23 | Geração 15/250 — melhor fitness: 235420820 | sem melhora há 2 geração(ões)
2026-09-03 09:28:29 | Geração 16/250 — melhor fitness: 232375769 | sem melhora há 0 geração(ões)
2026-09-03 09:28:36 | Geração 17/250 — melhor fitness: 232375769 | sem melhora há 1 geração(ões)
2026-09-03 09:28:42 | Geração 18/250 — melhor fitness: 232375769 | sem melhora há 2 geração(ões)
2026-09-03 09:28:49 | Geração 19/250 — melhor fitness: 232375769 | sem melhora há 3 geração(ões)
2026-09-03 09:28:55 | Geração 20/250 — melhor fitness: 232375769 | sem melhora há 4 geração(ões)
2026-09-03 09:29:02 | Geração 21/250 — melhor fitness: 226715719 | sem melhora há 0 geração(ões)
2026-09-03 09:29:09 | Geração 22/250 — melhor fitness: 226715719 | sem melhora há 1 geração(ões)
2026-09-03 09:29:16 | Geração 23/250 — melhor fitness: 226715719 | sem melhora há 2 geração(ões)
2026-09-03 09:29:22 | Geração 24/250 — melhor fitness: 226715719 | sem melhora há 3 geração(ões)
2026-09-03 09:29:29 | Geração 25/250 — melhor fitness: 225567817 | sem melhora há 0 geração(ões)
2026-09-03 09:29:35 | Geração 26/250 — melhor fitness: 225567817 | sem melhora há 1 geração(ões)
2026-09-03 09:29:42 | Geração 27/250 — melhor fitness: 225567817 | sem melhora há 2 geração(ões)
2026-09-03 09:29:49 | Geração 28/250 — melhor fitness: 225567817 | sem melhora há 3 geração(ões)
2026-09-03 09:29:55 | Geração 29/250 — melhor fitness: 225567817 | sem melhora há 4 geração(ões)
2026-09-03 09:30:02 | Geração 30/250 — melhor fitness: 223627108 | sem melhora há 0 geração(ões)
2026-09-03 09:30:08 | Geração 31/250 — melhor fitness: 223627108 | sem melhora há 1 geração(ões)
2026-09-03 09:30:16 | Geração 32/250 — melhor fitness: 223627108 | sem melhora há 2 geração(ões)
2026-09-03 09:30:22 | Geração 33/250 — melhor fitness: 221994842 | sem melhora há 0 geração(ões)
2026-09-03 09:30:29 | Geração 34/250 — melhor fitness: 221994842 | sem melhora há 1 geração(ões)
2026-09-03 09:30:35 | Geração 35/250 — melhor fitness: 221994842 | sem melhora há 2 geração(ões)
2026-09-03 09:30:42 | Geração 36/250 — melhor fitness: 221994842 | sem melhora há 3 geração(ões)
2026-09-03 09:30:49 | Geração 37/250 — melhor fitness: 220283684 | sem melhora há 0 geração(ões)
2026-09-03 09:30:55 | Geração 38/250 — melhor fitness: 220283684 | sem melhora há 1 geração(ões)
2026-09-03 09:31:02 | Geração 39/250 — melhor fitness: 220283684 | sem melhora há 2 geração(ões)
2026-09-03 09:31:09 | Geração 40/250 — melhor fitness: 220283684 | sem melhora há 3 geração(ões)
2026-09-03 09:31:15 | Geração 41/250 — melhor fitness: 220283684 | sem melhora há 4 geração(ões)
2026-09-03 09:31:21 | Geração 42/250 — melhor fitness: 220283684 | sem melhora há 5 geração(ões)
2026-09-03 09:31:28 | Geração 43/250 — melhor fitness: 220283684 | sem melhora há 6 geração(ões)
2026-09-03 09:31:35 | Geração 44/250 — melhor fitness: 220283684 | sem melhora há 7 geração(ões)
2026-09-03 09:31:42 | Geração 45/250 — melhor fitness: 220283684 | sem melhora há 8 geração(ões)
2026-09-03 09:31:49 | Geração 46/250 — melhor fitness: 220283684 | sem melhora há 9 geração(ões)
2026-09-03 09:31:56 | Geração 47/250 — melhor fitness: 218807562 | sem melhora há 0 geração(ões)
2026-09-03 09:32:02 | Geração 48/250 — melhor fitness: 218807562 | sem melhora há 1 geração(ões)
2026-09-03 09:32:09 | Geração 49/250 — melhor fitness: 217316262 | sem melhora há 0 geração(ões)
2026-09-03 09:32:15 | Geração 50/250 — melhor fitness: 217316262 | sem melhora há 1 geração(ões)
2026-09-03 09:32:22 | Geração 51/250 — melhor fitness: 217316262 | sem melhora há 2 geração(ões)
2026-09-03 09:32:28 | Geração 52/250 — melhor fitness: 217316262 | sem melhora há 3 geração(ões)
2026-09-03 09:32:35 | Geração 53/250 — melhor fitness: 217316262 | sem melhora há 4 geração(ões)
2026-09-03 09:32:42 | Geração 54/250 — melhor fitness: 217316262 | sem melhora há 5 geração(ões)
2026-09-03 09:32:48 | Geração 55/250 — melhor fitness: 217316262 | sem melhora há 6 geração(ões)
2026-09-03 09:32:55 | Geração 56/250 — melhor fitness: 216611569 | sem melhora há 0 geração(ões)
2026-09-03 09:33:02 | Geração 57/250 — melhor fitness: 216611569 | sem melhora há 1 geração(ões)
2026-09-03 09:33:09 | Geração 58/250 — melhor fitness: 215195143 | sem melhora há 0 geração(ões)
2026-09-03 09:33:15 | Geração 59/250 — melhor fitness: 215195143 | sem melhora há 1 geração(ões)
2026-09-03 09:33:22 | Geração 60/250 — melhor fitness: 215195143 | sem melhora há 2 geração(ões)
2026-09-03 09:33:28 | Geração 61/250 — melhor fitness: 215195143 | sem melhora há 3 geração(ões)
2026-09-03 09:33:34 | Geração 62/250 — melhor fitness: 215195143 | sem melhora há 4 geração(ões)
2026-09-03 09:33:41 | Geração 63/250 — melhor fitness: 215195143 | sem melhora há 5 geração(ões)
2026-09-03 09:33:48 | Geração 64/250 — melhor fitness: 215195143 | sem melhora há 6 geração(ões)
2026-09-03 09:33:55 | Geração 65/250 — melhor fitness: 215090592 | sem melhora há 0 geração(ões)
2026-09-03 09:34:01 | Geração 66/250 — melhor fitness: 214427399 | sem melhora há 0 geração(ões)
2026-09-03 09:34:08 | Geração 67/250 — melhor fitness: 214427399 | sem melhora há 1 geração(ões)
2026-09-03 09:34:14 | Geração 68/250 — melhor fitness: 214427399 | sem melhora há 2 geração(ões)
2026-09-03 09:34:21 | Geração 69/250 — melhor fitness: 214427399 | sem melhora há 3 geração(ões)
2026-09-03 09:34:27 | Geração 70/250 — melhor fitness: 214427399 | sem melhora há 4 geração(ões)
2026-09-03 09:34:33 | Geração 71/250 — melhor fitness: 214384166 | sem melhora há 0 geração(ões)
2026-09-03 09:34:40 | Geração 72/250 — melhor fitness: 213921122 | sem melhora há 0 geração(ões)
2026-09-03 09:34:47 | Geração 73/250 — melhor fitness: 213921122 | sem melhora há 1 geração(ões)
2026-09-03 09:34:53 | Geração 74/250 — melhor fitness: 213921122 | sem melhora há 2 geração(ões)
2026-09-03 09:34:59 | Geração 75/250 — melhor fitness: 213921122 | sem melhora há 3 geração(ões)
2026-09-03 09:35:06 | Geração 76/250 — melhor fitness: 213921122 | sem melhora há 4 geração(ões)
2026-09-03 09:35:12 | Geração 77/250 — melhor fitness: 213921122 | sem melhora há 5 geração(ões)
2026-09-03 09:35:19 | Geração 78/250 — melhor fitness: 213921122 | sem melhora há 6 geração(ões)
2026-09-03 09:35:25 | Geração 79/250 — melhor fitness: 213887183 | sem melhora há 0 geração(ões)
2026-09-03 09:35:32 | Geração 80/250 — melhor fitness: 213887183 | sem melhora há 1 geração(ões)
2026-09-03 09:35:39 | Geração 81/250 — melhor fitness: 213887183 | sem melhora há 2 geração(ões)
2026-09-03 09:35:46 | Geração 82/250 — melhor fitness: 213092969 | sem melhora há 0 geração(ões)
2026-09-03 09:35:53 | Geração 83/250 — melhor fitness: 213092969 | sem melhora há 1 geração(ões)
2026-09-03 09:35:59 | Geração 84/250 — melhor fitness: 213092969 | sem melhora há 2 geração(ões)
2026-09-03 09:36:06 | Geração 85/250 — melhor fitness: 213092969 | sem melhora há 3 geração(ões)
2026-09-03 09:36:12 | Geração 86/250 — melhor fitness: 213092969 | sem melhora há 4 geração(ões)
2026-09-03 09:36:19 | Geração 87/250 — melhor fitness: 213092969 | sem melhora há 5 geração(ões)
2026-09-03 09:36:25 | Geração 88/250 — melhor fitness: 213092969 | sem melhora há 6 geração(ões)
2026-09-03 09:36:32 | Geração 89/250 — melhor fitness: 213092969 | sem melhora há 7 geração(ões)
2026-09-03 09:36:39 | Geração 90/250 — melhor fitness: 213092969 | sem melhora há 8 geração(ões)
2026-09-03 09:36:46 | Geração 91/250 — melhor fitness: 213092969 | sem melhora há 9 geração(ões)
2026-09-03 09:36:52 | Geração 92/250 — melhor fitness: 213092969 | sem melhora há 10 geração(ões)
2026-09-03 09:36:59 | Geração 93/250 — melhor fitness: 213092969 | sem melhora há 11 geração(ões)
2026-09-03 09:37:05 | Geração 94/250 — melhor fitness: 213092969 | sem melhora há 12 geração(ões)
2026-09-03 09:37:12 | Geração 95/250 — melhor fitness: 213092969 | sem melhora há 13 geração(ões)
2026-09-03 09:37:19 | Geração 96/250 — melhor fitness: 213092969 | sem melhora há 14 geração(ões)
2026-09-03 09:37:25 | Geração 97/250 — melhor fitness: 213092969 | sem melhora há 15 geração(ões)
2026-09-03 09:37:32 | Geração 98/250 — melhor fitness: 213092969 | sem melhora há 16 geração(ões)
2026-09-03 09:37:39 | Geração 99/250 — melhor fitness: 213092969 | sem melhora há 17 geração(ões)
2026-09-03 09:37:46 | Geração 100/250 — melhor fitness: 213092969 | sem melhora há 18 geração(ões)
2026-09-03 09:37:53 | Geração 101/250 — melhor fitness: 213092969 | sem melhora há 19 geração(ões)
2026-09-03 09:37:59 | Geração 102/250 — melhor fitness: 213092969 | sem melhora há 20 geração(ões)
2026-09-03 09:38:05 | Geração 103/250 — melhor fitness: 213092969 | sem melhora há 21 geração(ões)
2026-09-03 09:38:12 | Geração 104/250 — melhor fitness: 213092969 | sem melhora há 22 geração(ões)
2026-09-03 09:38:18 | Geração 105/250 — melhor fitness: 213092969 | sem melhora há 23 geração(ões)
2026-09-03 09:38:25 | Geração 106/250 — melhor fitness: 212705327 | sem melhora há 0 geração(ões)
2026-09-03 09:38:32 | Geração 107/250 — melhor fitness: 212705327 | sem melhora há 1 geração(ões)
2026-09-03 09:38:38 | Geração 108/250 — melhor fitness: 211433101 | sem melhora há 0 geração(ões)
2026-09-03 09:38:45 | Geração 109/250 — melhor fitness: 211433101 | sem melhora há 1 geração(ões)
2026-09-03 09:38:51 | Geração 110/250 — melhor fitness: 211433101 | sem melhora há 2 geração(ões)
2026-09-03 09:38:58 | Geração 111/250 — melhor fitness: 211433101 | sem melhora há 3 geração(ões)
2026-09-03 09:39:04 | Geração 112/250 — melhor fitness: 211433101 | sem melhora há 4 geração(ões)
2026-09-03 09:39:11 | Geração 113/250 — melhor fitness: 211433101 | sem melhora há 5 geração(ões)
2026-09-03 09:39:18 | Geração 114/250 — melhor fitness: 211433101 | sem melhora há 6 geração(ões)
2026-09-03 09:39:24 | Geração 115/250 — melhor fitness: 211433101 | sem melhora há 7 geração(ões)
2026-09-03 09:39:31 | Geração 116/250 — melhor fitness: 211433101 | sem melhora há 8 geração(ões)
2026-09-03 09:39:38 | Geração 117/250 — melhor fitness: 211433101 | sem melhora há 9 geração(ões)
2026-09-03 09:39:44 | Geração 118/250 — melhor fitness: 211433101 | sem melhora há 10 geração(ões)
2026-09-03 09:39:51 | Geração 119/250 — melhor fitness: 211433101 | sem melhora há 11 geração(ões)
2026-09-03 09:39:58 | Geração 120/250 — melhor fitness: 211433101 | sem melhora há 12 geração(ões)
2026-09-03 09:40:05 | Geração 121/250 — melhor fitness: 210755381 | sem melhora há 0 geração(ões)
2026-09-03 09:40:11 | Geração 122/250 — melhor fitness: 210755381 | sem melhora há 1 geração(ões)
2026-09-03 09:40:17 | Geração 123/250 — melhor fitness: 210755381 | sem melhora há 2 geração(ões)
2026-09-03 09:40:24 | Geração 124/250 — melhor fitness: 210755381 | sem melhora há 3 geração(ões)
2026-09-03 09:40:31 | Geração 125/250 — melhor fitness: 210755381 | sem melhora há 4 geração(ões)
2026-09-03 09:40:37 | Geração 126/250 — melhor fitness: 210755381 | sem melhora há 5 geração(ões)
2026-09-03 09:40:44 | Geração 127/250 — melhor fitness: 210755381 | sem melhora há 6 geração(ões)
2026-09-03 09:40:51 | Geração 128/250 — melhor fitness: 210755381 | sem melhora há 7 geração(ões)
2026-09-03 09:40:57 | Geração 129/250 — melhor fitness: 210755381 | sem melhora há 8 geração(ões)
2026-09-03 09:41:03 | Geração 130/250 — melhor fitness: 210755381 | sem melhora há 9 geração(ões)
2026-09-03 09:41:10 | Geração 131/250 — melhor fitness: 210755381 | sem melhora há 10 geração(ões)
2026-09-03 09:41:17 | Geração 132/250 — melhor fitness: 210755381 | sem melhora há 11 geração(ões)
2026-09-03 09:41:24 | Geração 133/250 — melhor fitness: 210755381 | sem melhora há 12 geração(ões)
2026-09-03 09:41:30 | Geração 134/250 — melhor fitness: 210755381 | sem melhora há 13 geração(ões)
2026-09-03 09:41:37 | Geração 135/250 — melhor fitness: 210755381 | sem melhora há 14 geração(ões)
2026-09-03 09:41:44 | Geração 136/250 — melhor fitness: 210755381 | sem melhora há 15 geração(ões)
2026-09-03 09:41:51 | Geração 137/250 — melhor fitness: 210755381 | sem melhora há 16 geração(ões)
