2026-08-31 04:33:36 | ======================================================================
2026-08-31 04:33:36 | Iniciando tarefa — servidor2_tarefa598 | k=27 | seed=42
2026-08-31 04:33:36 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.12, 'population_size': 300, 'elitism_size': 4, 'tournament_size': 7, 'num_generations': 250}
2026-08-31 04:33:38 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-31 04:33:52 | Geração 1/250 — melhor fitness: 254232839 | sem melhora há 0 geração(ões)
2026-08-31 04:34:06 | Geração 2/250 — melhor fitness: 251322436 | sem melhora há 0 geração(ões)
2026-08-31 04:34:20 | Geração 3/250 — melhor fitness: 248751027 | sem melhora há 0 geração(ões)
2026-08-31 04:34:35 | Geração 4/250 — melhor fitness: 248751027 | sem melhora há 1 geração(ões)
2026-08-31 04:34:50 | Geração 5/250 — melhor fitness: 246142502 | sem melhora há 0 geração(ões)
2026-08-31 04:35:04 | Geração 6/250 — melhor fitness: 246142502 | sem melhora há 1 geração(ões)
2026-08-31 04:35:19 | Geração 7/250 — melhor fitness: 246142502 | sem melhora há 2 geração(ões)
2026-08-31 04:35:33 | Geração 8/250 — melhor fitness: 243395827 | sem melhora há 0 geração(ões)
2026-08-31 04:35:45 | Geração 9/250 — melhor fitness: 242989821 | sem melhora há 0 geração(ões)
2026-08-31 04:35:58 | Geração 10/250 — melhor fitness: 238493255 | sem melhora há 0 geração(ões)
2026-08-31 04:36:12 | Geração 11/250 — melhor fitness: 234748424 | sem melhora há 0 geração(ões)
2026-08-31 04:36:26 | Geração 12/250 — melhor fitness: 234748424 | sem melhora há 1 geração(ões)
2026-08-31 04:36:40 | Geração 13/250 — melhor fitness: 234748424 | sem melhora há 2 geração(ões)
2026-08-31 04:36:53 | Geração 14/250 — melhor fitness: 233654027 | sem melhora há 0 geração(ões)
2026-08-31 04:37:07 | Geração 15/250 — melhor fitness: 231680825 | sem melhora há 0 geração(ões)
2026-08-31 04:37:21 | Geração 16/250 — melhor fitness: 231680825 | sem melhora há 1 geração(ões)
2026-08-31 04:37:35 | Geração 17/250 — melhor fitness: 231680825 | sem melhora há 2 geração(ões)
2026-08-31 04:37:49 | Geração 18/250 — melhor fitness: 231680825 | sem melhora há 3 geração(ões)
2026-08-31 04:38:02 | Geração 19/250 — melhor fitness: 231680825 | sem melhora há 4 geração(ões)
2026-08-31 04:38:16 | Geração 20/250 — melhor fitness: 231680825 | sem melhora há 5 geração(ões)
2026-08-31 04:38:29 | Geração 21/250 — melhor fitness: 231680825 | sem melhora há 6 geração(ões)
2026-08-31 04:38:43 | Geração 22/250 — melhor fitness: 230763596 | sem melhora há 0 geração(ões)
2026-08-31 04:38:57 | Geração 23/250 — melhor fitness: 226732164 | sem melhora há 0 geração(ões)
2026-08-31 04:39:11 | Geração 24/250 — melhor fitness: 226732164 | sem melhora há 1 geração(ões)
2026-08-31 04:39:26 | Geração 25/250 — melhor fitness: 226732164 | sem melhora há 2 geração(ões)
2026-08-31 04:39:40 | Geração 26/250 — melhor fitness: 226732164 | sem melhora há 3 geração(ões)
2026-08-31 04:39:54 | Geração 27/250 — melhor fitness: 226732164 | sem melhora há 4 geração(ões)
2026-08-31 04:40:08 | Geração 28/250 — melhor fitness: 226732164 | sem melhora há 5 geração(ões)
2026-08-31 04:40:21 | Geração 29/250 — melhor fitness: 226253510 | sem melhora há 0 geração(ões)
2026-08-31 04:40:35 | Geração 30/250 — melhor fitness: 226253510 | sem melhora há 1 geração(ões)
2026-08-31 04:40:48 | Geração 31/250 — melhor fitness: 226253510 | sem melhora há 2 geração(ões)
2026-08-31 04:41:02 | Geração 32/250 — melhor fitness: 226253510 | sem melhora há 3 geração(ões)
2026-08-31 04:41:16 | Geração 33/250 — melhor fitness: 226253510 | sem melhora há 4 geração(ões)
2026-08-31 04:41:29 | Geração 34/250 — melhor fitness: 226253510 | sem melhora há 5 geração(ões)
2026-08-31 04:41:43 | Geração 35/250 — melhor fitness: 226253510 | sem melhora há 6 geração(ões)
2026-08-31 04:41:57 | Geração 36/250 — melhor fitness: 226253510 | sem melhora há 7 geração(ões)
2026-08-31 04:42:11 | Geração 37/250 — melhor fitness: 224836286 | sem melhora há 0 geração(ões)
2026-08-31 04:42:25 | Geração 38/250 — melhor fitness: 224836286 | sem melhora há 1 geração(ões)
2026-08-31 04:42:39 | Geração 39/250 — melhor fitness: 224836286 | sem melhora há 2 geração(ões)
2026-08-31 04:42:53 | Geração 40/250 — melhor fitness: 224054786 | sem melhora há 0 geração(ões)
2026-08-31 04:43:07 | Geração 41/250 — melhor fitness: 222112163 | sem melhora há 0 geração(ões)
2026-08-31 04:43:20 | Geração 42/250 — melhor fitness: 222112163 | sem melhora há 1 geração(ões)
2026-08-31 04:43:34 | Geração 43/250 — melhor fitness: 222112163 | sem melhora há 2 geração(ões)
2026-08-31 04:43:48 | Geração 44/250 — melhor fitness: 219472873 | sem melhora há 0 geração(ões)
2026-08-31 04:44:03 | Geração 45/250 — melhor fitness: 219472873 | sem melhora há 1 geração(ões)
2026-08-31 04:44:17 | Geração 46/250 — melhor fitness: 219472873 | sem melhora há 2 geração(ões)
2026-08-31 04:44:31 | Geração 47/250 — melhor fitness: 219472873 | sem melhora há 3 geração(ões)
2026-08-31 04:44:45 | Geração 48/250 — melhor fitness: 219472873 | sem melhora há 4 geração(ões)
2026-08-31 04:44:59 | Geração 49/250 — melhor fitness: 219472873 | sem melhora há 5 geração(ões)
2026-08-31 04:45:13 | Geração 50/250 — melhor fitness: 219472873 | sem melhora há 6 geração(ões)
2026-08-31 04:45:27 | Geração 51/250 — melhor fitness: 219472873 | sem melhora há 7 geração(ões)
