2026-09-04 02:35:42 | ======================================================================
2026-09-04 02:35:42 | Iniciando tarefa — servidor3_tarefa264 | k=27 | seed=42
2026-09-04 02:35:42 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.08, 'population_size': 200, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 150}
2026-09-04 02:35:44 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-04 02:35:51 | Geração 1/150 — melhor fitness: 261643108 | sem melhora há 0 geração(ões)
2026-09-04 02:35:57 | Geração 2/150 — melhor fitness: 248690805 | sem melhora há 0 geração(ões)
2026-09-04 02:36:03 | Geração 3/150 — melhor fitness: 248690805 | sem melhora há 1 geração(ões)
2026-09-04 02:36:10 | Geração 4/150 — melhor fitness: 244983829 | sem melhora há 0 geração(ões)
2026-09-04 02:36:16 | Geração 5/150 — melhor fitness: 242333287 | sem melhora há 0 geração(ões)
2026-09-04 02:36:23 | Geração 6/150 — melhor fitness: 242222300 | sem melhora há 0 geração(ões)
2026-09-04 02:36:30 | Geração 7/150 — melhor fitness: 238337894 | sem melhora há 0 geração(ões)
2026-09-04 02:36:37 | Geração 8/150 — melhor fitness: 236911570 | sem melhora há 0 geração(ões)
2026-09-04 02:36:44 | Geração 9/150 — melhor fitness: 231913820 | sem melhora há 0 geração(ões)
2026-09-04 02:36:50 | Geração 10/150 — melhor fitness: 231913820 | sem melhora há 1 geração(ões)
2026-09-04 02:36:56 | Geração 11/150 — melhor fitness: 231913820 | sem melhora há 2 geração(ões)
2026-09-04 02:37:03 | Geração 12/150 — melhor fitness: 230850493 | sem melhora há 0 geração(ões)
2026-09-04 02:37:09 | Geração 13/150 — melhor fitness: 226205018 | sem melhora há 0 geração(ões)
2026-09-04 02:37:16 | Geração 14/150 — melhor fitness: 226205018 | sem melhora há 1 geração(ões)
2026-09-04 02:37:22 | Geração 15/150 — melhor fitness: 223619903 | sem melhora há 0 geração(ões)
2026-09-04 02:37:29 | Geração 16/150 — melhor fitness: 223619903 | sem melhora há 1 geração(ões)
2026-09-04 02:37:35 | Geração 17/150 — melhor fitness: 223619903 | sem melhora há 2 geração(ões)
2026-09-04 02:37:42 | Geração 18/150 — melhor fitness: 223619903 | sem melhora há 3 geração(ões)
2026-09-04 02:37:49 | Geração 19/150 — melhor fitness: 222880814 | sem melhora há 0 geração(ões)
2026-09-04 02:37:55 | Geração 20/150 — melhor fitness: 222510195 | sem melhora há 0 geração(ões)
2026-09-04 02:38:02 | Geração 21/150 — melhor fitness: 222510195 | sem melhora há 1 geração(ões)
2026-09-04 02:38:09 | Geração 22/150 — melhor fitness: 222510195 | sem melhora há 2 geração(ões)
2026-09-04 02:38:16 | Geração 23/150 — melhor fitness: 221095793 | sem melhora há 0 geração(ões)
2026-09-04 02:38:22 | Geração 24/150 — melhor fitness: 221095793 | sem melhora há 1 geração(ões)
2026-09-04 02:38:29 | Geração 25/150 — melhor fitness: 221095793 | sem melhora há 2 geração(ões)
2026-09-04 02:38:36 | Geração 26/150 — melhor fitness: 220353041 | sem melhora há 0 geração(ões)
2026-09-04 02:38:42 | Geração 27/150 — melhor fitness: 219034034 | sem melhora há 0 geração(ões)
2026-09-04 02:38:49 | Geração 28/150 — melhor fitness: 218125321 | sem melhora há 0 geração(ões)
2026-09-04 02:38:56 | Geração 29/150 — melhor fitness: 218125321 | sem melhora há 1 geração(ões)
2026-09-04 02:39:02 | Geração 30/150 — melhor fitness: 218125321 | sem melhora há 2 geração(ões)
2026-09-04 02:39:09 | Geração 31/150 — melhor fitness: 218125321 | sem melhora há 3 geração(ões)
2026-09-04 02:39:16 | Geração 32/150 — melhor fitness: 217092096 | sem melhora há 0 geração(ões)
2026-09-04 02:39:22 | Geração 33/150 — melhor fitness: 217092096 | sem melhora há 1 geração(ões)
2026-09-04 02:39:29 | Geração 34/150 — melhor fitness: 216818337 | sem melhora há 0 geração(ões)
2026-09-04 02:39:35 | Geração 35/150 — melhor fitness: 216818337 | sem melhora há 1 geração(ões)
2026-09-04 02:39:42 | Geração 36/150 — melhor fitness: 216818337 | sem melhora há 2 geração(ões)
2026-09-04 02:39:48 | Geração 37/150 — melhor fitness: 216132575 | sem melhora há 0 geração(ões)
2026-09-04 02:39:55 | Geração 38/150 — melhor fitness: 215242748 | sem melhora há 0 geração(ões)
2026-09-04 02:40:01 | Geração 39/150 — melhor fitness: 215242748 | sem melhora há 1 geração(ões)
2026-09-04 02:40:08 | Geração 40/150 — melhor fitness: 215242748 | sem melhora há 2 geração(ões)
