2026-09-04 06:09:57 | ======================================================================
2026-09-04 06:09:57 | Iniciando tarefa — servidor0_tarefa119 | k=27 | seed=42
2026-09-04 06:09:57 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.12, 'population_size': 300, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 350}
2026-09-04 06:10:00 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-04 06:10:30 | Geração 1/350 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-04 06:10:59 | Geração 2/350 — melhor fitness: 255548699 | sem melhora há 2 geração(ões)
2026-09-04 06:11:26 | Geração 3/350 — melhor fitness: 251802093 | sem melhora há 0 geração(ões)
2026-09-04 06:11:54 | Geração 4/350 — melhor fitness: 249502497 | sem melhora há 0 geração(ões)
2026-09-04 06:12:22 | Geração 5/350 — melhor fitness: 246601525 | sem melhora há 0 geração(ões)
2026-09-04 06:12:51 | Geração 6/350 — melhor fitness: 244420432 | sem melhora há 0 geração(ões)
2026-09-04 06:13:18 | Geração 7/350 — melhor fitness: 244420432 | sem melhora há 1 geração(ões)
2026-09-04 06:13:46 | Geração 8/350 — melhor fitness: 242534187 | sem melhora há 0 geração(ões)
2026-09-04 06:14:14 | Geração 9/350 — melhor fitness: 242534187 | sem melhora há 1 geração(ões)
2026-09-04 06:14:40 | Geração 10/350 — melhor fitness: 238302943 | sem melhora há 0 geração(ões)
2026-09-04 06:15:07 | Geração 11/350 — melhor fitness: 238302943 | sem melhora há 1 geração(ões)
2026-09-04 06:15:35 | Geração 12/350 — melhor fitness: 238302943 | sem melhora há 2 geração(ões)
2026-09-04 06:16:02 | Geração 13/350 — melhor fitness: 238302943 | sem melhora há 3 geração(ões)
2026-09-04 06:16:30 | Geração 14/350 — melhor fitness: 238302943 | sem melhora há 4 geração(ões)
2026-09-04 06:16:58 | Geração 15/350 — melhor fitness: 238302943 | sem melhora há 5 geração(ões)
2026-09-04 06:17:27 | Geração 16/350 — melhor fitness: 238302943 | sem melhora há 6 geração(ões)
2026-09-04 06:17:54 | Geração 17/350 — melhor fitness: 238302943 | sem melhora há 7 geração(ões)
2026-09-04 06:18:22 | Geração 18/350 — melhor fitness: 238302943 | sem melhora há 8 geração(ões)
2026-09-04 06:18:49 | Geração 19/350 — melhor fitness: 238302943 | sem melhora há 9 geração(ões)
2026-09-04 06:19:17 | Geração 20/350 — melhor fitness: 235833109 | sem melhora há 0 geração(ões)
2026-09-04 06:19:45 | Geração 21/350 — melhor fitness: 235833109 | sem melhora há 1 geração(ões)
2026-09-04 06:20:12 | Geração 22/350 — melhor fitness: 235833109 | sem melhora há 2 geração(ões)
2026-09-04 06:20:39 | Geração 23/350 — melhor fitness: 235833109 | sem melhora há 3 geração(ões)
2026-09-04 06:21:07 | Geração 24/350 — melhor fitness: 234658106 | sem melhora há 0 geração(ões)
2026-09-04 06:21:34 | Geração 25/350 — melhor fitness: 234658106 | sem melhora há 1 geração(ões)
2026-09-04 06:22:02 | Geração 26/350 — melhor fitness: 234658106 | sem melhora há 2 geração(ões)
2026-09-04 06:22:31 | Geração 27/350 — melhor fitness: 234658106 | sem melhora há 3 geração(ões)
2026-09-04 06:22:58 | Geração 28/350 — melhor fitness: 234658106 | sem melhora há 4 geração(ões)
2026-09-04 06:23:26 | Geração 29/350 — melhor fitness: 234658106 | sem melhora há 5 geração(ões)
2026-09-04 06:23:54 | Geração 30/350 — melhor fitness: 234658106 | sem melhora há 6 geração(ões)
2026-09-04 06:24:21 | Geração 31/350 — melhor fitness: 234658106 | sem melhora há 7 geração(ões)
2026-09-04 06:24:47 | Geração 32/350 — melhor fitness: 233692722 | sem melhora há 0 geração(ões)
2026-09-04 06:25:15 | Geração 33/350 — melhor fitness: 233692722 | sem melhora há 1 geração(ões)
2026-09-04 06:25:42 | Geração 34/350 — melhor fitness: 231954794 | sem melhora há 0 geração(ões)
2026-09-04 06:26:11 | Geração 35/350 — melhor fitness: 231954794 | sem melhora há 1 geração(ões)
2026-09-04 06:26:39 | Geração 36/350 — melhor fitness: 231954794 | sem melhora há 2 geração(ões)
2026-09-04 06:27:06 | Geração 37/350 — melhor fitness: 231954794 | sem melhora há 3 geração(ões)
2026-09-04 06:27:32 | Geração 38/350 — melhor fitness: 231954794 | sem melhora há 4 geração(ões)
2026-09-04 06:28:00 | Geração 39/350 — melhor fitness: 229695717 | sem melhora há 0 geração(ões)
2026-09-04 06:28:27 | Geração 40/350 — melhor fitness: 229695717 | sem melhora há 1 geração(ões)
2026-09-04 06:28:55 | Geração 41/350 — melhor fitness: 229695717 | sem melhora há 2 geração(ões)
2026-09-04 06:29:23 | Geração 42/350 — melhor fitness: 228979353 | sem melhora há 0 geração(ões)
