2026-08-30 01:25:29 | ======================================================================
2026-08-30 01:25:29 | Iniciando tarefa — servidor3_tarefa319 | k=27 | seed=42
2026-08-30 01:25:29 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.08, 'population_size': 500, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 250}
2026-08-30 01:25:34 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-30 01:25:50 | Geração 1/250 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-30 01:26:07 | Geração 2/250 — melhor fitness: 247955400 | sem melhora há 0 geração(ões)
2026-08-30 01:26:25 | Geração 3/250 — melhor fitness: 247955400 | sem melhora há 1 geração(ões)
2026-08-30 01:26:42 | Geração 4/250 — melhor fitness: 243903076 | sem melhora há 0 geração(ões)
2026-08-30 01:26:59 | Geração 5/250 — melhor fitness: 234852272 | sem melhora há 0 geração(ões)
2026-08-30 01:27:15 | Geração 6/250 — melhor fitness: 234852272 | sem melhora há 1 geração(ões)
2026-08-30 01:27:32 | Geração 7/250 — melhor fitness: 234852272 | sem melhora há 2 geração(ões)
2026-08-30 01:27:49 | Geração 8/250 — melhor fitness: 233003258 | sem melhora há 0 geração(ões)
2026-08-30 01:28:07 | Geração 9/250 — melhor fitness: 231552489 | sem melhora há 0 geração(ões)
2026-08-30 01:28:24 | Geração 10/250 — melhor fitness: 231552489 | sem melhora há 1 geração(ões)
2026-08-30 01:28:41 | Geração 11/250 — melhor fitness: 231552489 | sem melhora há 2 geração(ões)
2026-08-30 01:28:58 | Geração 12/250 — melhor fitness: 231552489 | sem melhora há 3 geração(ões)
2026-08-30 01:29:14 | Geração 13/250 — melhor fitness: 230164142 | sem melhora há 0 geração(ões)
2026-08-30 01:29:31 | Geração 14/250 — melhor fitness: 230164142 | sem melhora há 1 geração(ões)
2026-08-30 01:29:48 | Geração 15/250 — melhor fitness: 230164142 | sem melhora há 2 geração(ões)
2026-08-30 01:30:05 | Geração 16/250 — melhor fitness: 227242766 | sem melhora há 0 geração(ões)
2026-08-30 01:30:22 | Geração 17/250 — melhor fitness: 227094514 | sem melhora há 0 geração(ões)
2026-08-30 01:30:40 | Geração 18/250 — melhor fitness: 225671774 | sem melhora há 0 geração(ões)
2026-08-30 01:30:56 | Geração 19/250 — melhor fitness: 225671774 | sem melhora há 1 geração(ões)
2026-08-30 01:31:12 | Geração 20/250 — melhor fitness: 225671774 | sem melhora há 2 geração(ões)
2026-08-30 01:31:29 | Geração 21/250 — melhor fitness: 225671774 | sem melhora há 3 geração(ões)
2026-08-30 01:31:47 | Geração 22/250 — melhor fitness: 225478717 | sem melhora há 0 geração(ões)
2026-08-30 01:32:04 | Geração 23/250 — melhor fitness: 225478717 | sem melhora há 1 geração(ões)
2026-08-30 01:32:21 | Geração 24/250 — melhor fitness: 225478717 | sem melhora há 2 geração(ões)
2026-08-30 01:32:39 | Geração 25/250 — melhor fitness: 224834711 | sem melhora há 0 geração(ões)
2026-08-30 01:32:56 | Geração 26/250 — melhor fitness: 224834711 | sem melhora há 1 geração(ões)
2026-08-30 01:33:12 | Geração 27/250 — melhor fitness: 222742855 | sem melhora há 0 geração(ões)
2026-08-30 01:33:29 | Geração 28/250 — melhor fitness: 222742855 | sem melhora há 1 geração(ões)
2026-08-30 01:33:46 | Geração 29/250 — melhor fitness: 222742855 | sem melhora há 2 geração(ões)
2026-08-30 01:34:03 | Geração 30/250 — melhor fitness: 222742855 | sem melhora há 3 geração(ões)
2026-08-30 01:34:19 | Geração 31/250 — melhor fitness: 222742855 | sem melhora há 4 geração(ões)
2026-08-30 01:34:37 | Geração 32/250 — melhor fitness: 222742855 | sem melhora há 5 geração(ões)
2026-08-30 01:34:53 | Geração 33/250 — melhor fitness: 221291001 | sem melhora há 0 geração(ões)
