2026-08-31 12:27:02 | ======================================================================
2026-08-31 12:27:02 | Iniciando tarefa — servidor2_tarefa720 | k=27 | seed=42
2026-08-31 12:27:02 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.18, 'population_size': 500, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 150}
2026-08-31 12:27:07 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-31 12:27:40 | Geração 1/150 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-31 12:28:11 | Geração 2/150 — melhor fitness: 252289728 | sem melhora há 0 geração(ões)
2026-08-31 12:28:42 | Geração 3/150 — melhor fitness: 252289728 | sem melhora há 1 geração(ões)
2026-08-31 12:29:14 | Geração 4/150 — melhor fitness: 252289728 | sem melhora há 2 geração(ões)
2026-08-31 12:29:48 | Geração 5/150 — melhor fitness: 252289728 | sem melhora há 3 geração(ões)
2026-08-31 12:30:20 | Geração 6/150 — melhor fitness: 251902908 | sem melhora há 0 geração(ões)
2026-08-31 12:30:51 | Geração 7/150 — melhor fitness: 251902908 | sem melhora há 1 geração(ões)
2026-08-31 12:31:24 | Geração 8/150 — melhor fitness: 251902908 | sem melhora há 2 geração(ões)
2026-08-31 12:31:55 | Geração 9/150 — melhor fitness: 246309087 | sem melhora há 0 geração(ões)
2026-08-31 12:32:28 | Geração 10/150 — melhor fitness: 244304834 | sem melhora há 0 geração(ões)
2026-08-31 12:32:59 | Geração 11/150 — melhor fitness: 244304834 | sem melhora há 1 geração(ões)
2026-08-31 12:33:32 | Geração 12/150 — melhor fitness: 244304834 | sem melhora há 2 geração(ões)
2026-08-31 12:34:06 | Geração 13/150 — melhor fitness: 244304834 | sem melhora há 3 geração(ões)
2026-08-31 12:34:37 | Geração 14/150 — melhor fitness: 244304834 | sem melhora há 4 geração(ões)
2026-08-31 12:35:10 | Geração 15/150 — melhor fitness: 244304834 | sem melhora há 5 geração(ões)
2026-08-31 12:35:42 | Geração 16/150 — melhor fitness: 244304834 | sem melhora há 6 geração(ões)
2026-08-31 12:36:15 | Geração 17/150 — melhor fitness: 244304834 | sem melhora há 7 geração(ões)
2026-08-31 12:36:47 | Geração 18/150 — melhor fitness: 244304834 | sem melhora há 8 geração(ões)
2026-08-31 12:37:20 | Geração 19/150 — melhor fitness: 244304834 | sem melhora há 9 geração(ões)
2026-08-31 12:37:51 | Geração 20/150 — melhor fitness: 244304834 | sem melhora há 10 geração(ões)
2026-08-31 12:38:23 | Geração 21/150 — melhor fitness: 244304834 | sem melhora há 11 geração(ões)
2026-08-31 12:38:56 | Geração 22/150 — melhor fitness: 244304834 | sem melhora há 12 geração(ões)
2026-08-31 12:39:28 | Geração 23/150 — melhor fitness: 244304834 | sem melhora há 13 geração(ões)
2026-08-31 12:40:01 | Geração 24/150 — melhor fitness: 243987849 | sem melhora há 0 geração(ões)
2026-08-31 12:40:33 | Geração 25/150 — melhor fitness: 242855048 | sem melhora há 0 geração(ões)
2026-08-31 12:41:07 | Geração 26/150 — melhor fitness: 242855048 | sem melhora há 1 geração(ões)
2026-08-31 12:41:39 | Geração 27/150 — melhor fitness: 242855048 | sem melhora há 2 geração(ões)
2026-08-31 12:42:11 | Geração 28/150 — melhor fitness: 242855048 | sem melhora há 3 geração(ões)
2026-08-31 12:42:42 | Geração 29/150 — melhor fitness: 242855048 | sem melhora há 4 geração(ões)
2026-08-31 12:43:17 | Geração 30/150 — melhor fitness: 242855048 | sem melhora há 5 geração(ões)
2026-08-31 12:43:48 | Geração 31/150 — melhor fitness: 242855048 | sem melhora há 6 geração(ões)
2026-08-31 12:44:23 | Geração 32/150 — melhor fitness: 242855048 | sem melhora há 7 geração(ões)
2026-08-31 12:44:56 | Geração 33/150 — melhor fitness: 240316562 | sem melhora há 0 geração(ões)
2026-08-31 12:45:28 | Geração 34/150 — melhor fitness: 240316562 | sem melhora há 1 geração(ões)
2026-08-31 12:46:01 | Geração 35/150 — melhor fitness: 240316562 | sem melhora há 2 geração(ões)
2026-08-31 12:46:33 | Geração 36/150 — melhor fitness: 239200591 | sem melhora há 0 geração(ões)
2026-08-31 12:47:06 | Geração 37/150 — melhor fitness: 239200591 | sem melhora há 1 geração(ões)
2026-08-31 12:47:39 | Geração 38/150 — melhor fitness: 239200591 | sem melhora há 2 geração(ões)
2026-08-31 12:48:12 | Geração 39/150 — melhor fitness: 239166840 | sem melhora há 0 geração(ões)
2026-08-31 12:48:44 | Geração 40/150 — melhor fitness: 239166840 | sem melhora há 1 geração(ões)
2026-08-31 12:49:17 | Geração 41/150 — melhor fitness: 239166840 | sem melhora há 2 geração(ões)
2026-08-31 12:49:49 | Geração 42/150 — melhor fitness: 239166840 | sem melhora há 3 geração(ões)
2026-08-31 12:50:20 | Geração 43/150 — melhor fitness: 234852400 | sem melhora há 0 geração(ões)
2026-08-31 12:50:54 | Geração 44/150 — melhor fitness: 234852400 | sem melhora há 1 geração(ões)
2026-08-31 12:51:24 | Geração 45/150 — melhor fitness: 234852400 | sem melhora há 2 geração(ões)
2026-08-31 12:51:56 | Geração 46/150 — melhor fitness: 234852400 | sem melhora há 3 geração(ões)
2026-08-31 12:52:30 | Geração 47/150 — melhor fitness: 234852400 | sem melhora há 4 geração(ões)
2026-08-31 12:53:03 | Geração 48/150 — melhor fitness: 234852400 | sem melhora há 5 geração(ões)
2026-08-31 12:53:36 | Geração 49/150 — melhor fitness: 234852400 | sem melhora há 6 geração(ões)
2026-08-31 12:54:08 | Geração 50/150 — melhor fitness: 234852400 | sem melhora há 7 geração(ões)
2026-08-31 12:54:40 | Geração 51/150 — melhor fitness: 234852400 | sem melhora há 8 geração(ões)
2026-08-31 12:55:13 | Geração 52/150 — melhor fitness: 234852400 | sem melhora há 9 geração(ões)
2026-08-31 12:55:46 | Geração 53/150 — melhor fitness: 234852400 | sem melhora há 10 geração(ões)
2026-08-31 12:56:18 | Geração 54/150 — melhor fitness: 234852400 | sem melhora há 11 geração(ões)
