2026-09-03 04:42:29 | ======================================================================
2026-09-03 04:42:29 | Iniciando tarefa — servidor3_tarefa184 | k=27 | seed=42
2026-09-03 04:42:29 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.18, 'population_size': 200, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 250}
2026-09-03 04:42:30 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-03 04:42:43 | Geração 1/250 — melhor fitness: 257048475 | sem melhora há 0 geração(ões)
2026-09-03 04:42:56 | Geração 2/250 — melhor fitness: 249114419 | sem melhora há 0 geração(ões)
2026-09-03 04:43:08 | Geração 3/250 — melhor fitness: 249114419 | sem melhora há 1 geração(ões)
2026-09-03 04:43:20 | Geração 4/250 — melhor fitness: 249114419 | sem melhora há 2 geração(ões)
2026-09-03 04:43:33 | Geração 5/250 — melhor fitness: 249114419 | sem melhora há 3 geração(ões)
2026-09-03 04:43:46 | Geração 6/250 — melhor fitness: 248044328 | sem melhora há 0 geração(ões)
2026-09-03 04:43:59 | Geração 7/250 — melhor fitness: 244020949 | sem melhora há 0 geração(ões)
2026-09-03 04:44:11 | Geração 8/250 — melhor fitness: 244020949 | sem melhora há 1 geração(ões)
2026-09-03 04:44:24 | Geração 9/250 — melhor fitness: 244020949 | sem melhora há 2 geração(ões)
2026-09-03 04:44:36 | Geração 10/250 — melhor fitness: 244020949 | sem melhora há 3 geração(ões)
2026-09-03 04:44:49 | Geração 11/250 — melhor fitness: 244020949 | sem melhora há 4 geração(ões)
2026-09-03 04:45:01 | Geração 12/250 — melhor fitness: 241385536 | sem melhora há 0 geração(ões)
2026-09-03 04:45:14 | Geração 13/250 — melhor fitness: 241385536 | sem melhora há 1 geração(ões)
2026-09-03 04:45:26 | Geração 14/250 — melhor fitness: 241385536 | sem melhora há 2 geração(ões)
2026-09-03 04:45:38 | Geração 15/250 — melhor fitness: 241385536 | sem melhora há 3 geração(ões)
2026-09-03 04:45:51 | Geração 16/250 — melhor fitness: 241079062 | sem melhora há 0 geração(ões)
2026-09-03 04:46:03 | Geração 17/250 — melhor fitness: 235909529 | sem melhora há 0 geração(ões)
2026-09-03 04:46:16 | Geração 18/250 — melhor fitness: 235909529 | sem melhora há 1 geração(ões)
2026-09-03 04:46:28 | Geração 19/250 — melhor fitness: 235909529 | sem melhora há 2 geração(ões)
2026-09-03 04:46:40 | Geração 20/250 — melhor fitness: 235909529 | sem melhora há 3 geração(ões)
2026-09-03 04:46:51 | Geração 21/250 — melhor fitness: 235909529 | sem melhora há 4 geração(ões)
2026-09-03 04:47:04 | Geração 22/250 — melhor fitness: 235909529 | sem melhora há 5 geração(ões)
2026-09-03 04:47:15 | Geração 23/250 — melhor fitness: 233378186 | sem melhora há 0 geração(ões)
2026-09-03 04:47:28 | Geração 24/250 — melhor fitness: 233378186 | sem melhora há 1 geração(ões)
