2026-09-04 04:38:59 | ======================================================================
2026-09-04 04:38:59 | Iniciando tarefa — servidor3_tarefa495 | k=27 | seed=42
2026-09-04 04:38:59 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.08, 'population_size': 200, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 150}
2026-09-04 04:39:01 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-04 04:39:07 | Geração 1/150 — melhor fitness: 256745097 | sem melhora há 0 geração(ões)
2026-09-04 04:39:14 | Geração 2/150 — melhor fitness: 256745097 | sem melhora há 1 geração(ões)
2026-09-04 04:39:21 | Geração 3/150 — melhor fitness: 255525027 | sem melhora há 0 geração(ões)
2026-09-04 04:39:27 | Geração 4/150 — melhor fitness: 249730021 | sem melhora há 0 geração(ões)
2026-09-04 04:39:34 | Geração 5/150 — melhor fitness: 249730021 | sem melhora há 1 geração(ões)
2026-09-04 04:39:41 | Geração 6/150 — melhor fitness: 249730021 | sem melhora há 2 geração(ões)
2026-09-04 04:39:48 | Geração 7/150 — melhor fitness: 243551534 | sem melhora há 0 geração(ões)
2026-09-04 04:39:55 | Geração 8/150 — melhor fitness: 243551534 | sem melhora há 1 geração(ões)
2026-09-04 04:40:01 | Geração 9/150 — melhor fitness: 243551534 | sem melhora há 2 geração(ões)
2026-09-04 04:40:08 | Geração 10/150 — melhor fitness: 238149810 | sem melhora há 0 geração(ões)
2026-09-04 04:40:14 | Geração 11/150 — melhor fitness: 238149810 | sem melhora há 1 geração(ões)
2026-09-04 04:40:21 | Geração 12/150 — melhor fitness: 238149810 | sem melhora há 2 geração(ões)
2026-09-04 04:40:27 | Geração 13/150 — melhor fitness: 235420820 | sem melhora há 0 geração(ões)
2026-09-04 04:40:34 | Geração 14/150 — melhor fitness: 235420820 | sem melhora há 1 geração(ões)
2026-09-04 04:40:41 | Geração 15/150 — melhor fitness: 235420820 | sem melhora há 2 geração(ões)
2026-09-04 04:40:47 | Geração 16/150 — melhor fitness: 232375769 | sem melhora há 0 geração(ões)
2026-09-04 04:40:53 | Geração 17/150 — melhor fitness: 232375769 | sem melhora há 1 geração(ões)
2026-09-04 04:41:00 | Geração 18/150 — melhor fitness: 232375769 | sem melhora há 2 geração(ões)
2026-09-04 04:41:06 | Geração 19/150 — melhor fitness: 232375769 | sem melhora há 3 geração(ões)
2026-09-04 04:41:14 | Geração 20/150 — melhor fitness: 232375769 | sem melhora há 4 geração(ões)
2026-09-04 04:41:20 | Geração 21/150 — melhor fitness: 226715719 | sem melhora há 0 geração(ões)
2026-09-04 04:41:26 | Geração 22/150 — melhor fitness: 226715719 | sem melhora há 1 geração(ões)
2026-09-04 04:41:33 | Geração 23/150 — melhor fitness: 226715719 | sem melhora há 2 geração(ões)
2026-09-04 04:41:40 | Geração 24/150 — melhor fitness: 226715719 | sem melhora há 3 geração(ões)
2026-09-04 04:41:47 | Geração 25/150 — melhor fitness: 225567817 | sem melhora há 0 geração(ões)
2026-09-04 04:41:53 | Geração 26/150 — melhor fitness: 225567817 | sem melhora há 1 geração(ões)
2026-09-04 04:42:00 | Geração 27/150 — melhor fitness: 225567817 | sem melhora há 2 geração(ões)
2026-09-04 04:42:07 | Geração 28/150 — melhor fitness: 225567817 | sem melhora há 3 geração(ões)
2026-09-04 04:42:13 | Geração 29/150 — melhor fitness: 225567817 | sem melhora há 4 geração(ões)
2026-09-04 04:42:20 | Geração 30/150 — melhor fitness: 223627108 | sem melhora há 0 geração(ões)
2026-09-04 04:42:26 | Geração 31/150 — melhor fitness: 223627108 | sem melhora há 1 geração(ões)
2026-09-04 04:42:33 | Geração 32/150 — melhor fitness: 223627108 | sem melhora há 2 geração(ões)
2026-09-04 04:42:40 | Geração 33/150 — melhor fitness: 221994842 | sem melhora há 0 geração(ões)
2026-09-04 04:42:47 | Geração 34/150 — melhor fitness: 221994842 | sem melhora há 1 geração(ões)
2026-09-04 04:42:53 | Geração 35/150 — melhor fitness: 221994842 | sem melhora há 2 geração(ões)
2026-09-04 04:43:00 | Geração 36/150 — melhor fitness: 221994842 | sem melhora há 3 geração(ões)
2026-09-04 04:43:07 | Geração 37/150 — melhor fitness: 220283684 | sem melhora há 0 geração(ões)
2026-09-04 04:43:14 | Geração 38/150 — melhor fitness: 220283684 | sem melhora há 1 geração(ões)
2026-09-04 04:43:20 | Geração 39/150 — melhor fitness: 220283684 | sem melhora há 2 geração(ões)
2026-09-04 04:43:27 | Geração 40/150 — melhor fitness: 220283684 | sem melhora há 3 geração(ões)
2026-09-04 04:43:33 | Geração 41/150 — melhor fitness: 220283684 | sem melhora há 4 geração(ões)
2026-09-04 04:43:39 | Geração 42/150 — melhor fitness: 220283684 | sem melhora há 5 geração(ões)
2026-09-04 04:43:46 | Geração 43/150 — melhor fitness: 220283684 | sem melhora há 6 geração(ões)
2026-09-04 04:43:53 | Geração 44/150 — melhor fitness: 220283684 | sem melhora há 7 geração(ões)
2026-09-04 04:43:59 | Geração 45/150 — melhor fitness: 220283684 | sem melhora há 8 geração(ões)
2026-09-04 04:44:06 | Geração 46/150 — melhor fitness: 220283684 | sem melhora há 9 geração(ões)
2026-09-04 04:44:13 | Geração 47/150 — melhor fitness: 218807562 | sem melhora há 0 geração(ões)
2026-09-04 04:44:19 | Geração 48/150 — melhor fitness: 218807562 | sem melhora há 1 geração(ões)
2026-09-04 04:44:25 | Geração 49/150 — melhor fitness: 217316262 | sem melhora há 0 geração(ões)
2026-09-04 04:44:32 | Geração 50/150 — melhor fitness: 217316262 | sem melhora há 1 geração(ões)
2026-09-04 04:44:39 | Geração 51/150 — melhor fitness: 217316262 | sem melhora há 2 geração(ões)
2026-09-04 04:44:45 | Geração 52/150 — melhor fitness: 217316262 | sem melhora há 3 geração(ões)
2026-09-04 04:44:52 | Geração 53/150 — melhor fitness: 217316262 | sem melhora há 4 geração(ões)
2026-09-04 04:44:59 | Geração 54/150 — melhor fitness: 217316262 | sem melhora há 5 geração(ões)
2026-09-04 04:45:05 | Geração 55/150 — melhor fitness: 217316262 | sem melhora há 6 geração(ões)
2026-09-04 04:45:12 | Geração 56/150 — melhor fitness: 216611569 | sem melhora há 0 geração(ões)
2026-09-04 04:45:19 | Geração 57/150 — melhor fitness: 216611569 | sem melhora há 1 geração(ões)
2026-09-04 04:45:26 | Geração 58/150 — melhor fitness: 215195143 | sem melhora há 0 geração(ões)
2026-09-04 04:45:32 | Geração 59/150 — melhor fitness: 215195143 | sem melhora há 1 geração(ões)
2026-09-04 04:45:39 | Geração 60/150 — melhor fitness: 215195143 | sem melhora há 2 geração(ões)
2026-09-04 04:45:45 | Geração 61/150 — melhor fitness: 215195143 | sem melhora há 3 geração(ões)
2026-09-04 04:45:52 | Geração 62/150 — melhor fitness: 215195143 | sem melhora há 4 geração(ões)
2026-09-04 04:45:59 | Geração 63/150 — melhor fitness: 215195143 | sem melhora há 5 geração(ões)
2026-09-04 04:46:06 | Geração 64/150 — melhor fitness: 215195143 | sem melhora há 6 geração(ões)
2026-09-04 04:46:12 | Geração 65/150 — melhor fitness: 215090592 | sem melhora há 0 geração(ões)
2026-09-04 04:46:19 | Geração 66/150 — melhor fitness: 214427399 | sem melhora há 0 geração(ões)
2026-09-04 04:46:26 | Geração 67/150 — melhor fitness: 214427399 | sem melhora há 1 geração(ões)
2026-09-04 04:46:32 | Geração 68/150 — melhor fitness: 214427399 | sem melhora há 2 geração(ões)
2026-09-04 04:46:39 | Geração 69/150 — melhor fitness: 214427399 | sem melhora há 3 geração(ões)
2026-09-04 04:46:46 | Geração 70/150 — melhor fitness: 214427399 | sem melhora há 4 geração(ões)
2026-09-04 04:46:52 | Geração 71/150 — melhor fitness: 214384166 | sem melhora há 0 geração(ões)
2026-09-04 04:46:58 | Geração 72/150 — melhor fitness: 213921122 | sem melhora há 0 geração(ões)
2026-09-04 04:47:05 | Geração 73/150 — melhor fitness: 213921122 | sem melhora há 1 geração(ões)
2026-09-04 04:47:11 | Geração 74/150 — melhor fitness: 213921122 | sem melhora há 2 geração(ões)
2026-09-04 04:47:18 | Geração 75/150 — melhor fitness: 213921122 | sem melhora há 3 geração(ões)
2026-09-04 04:47:24 | Geração 76/150 — melhor fitness: 213921122 | sem melhora há 4 geração(ões)
2026-09-04 04:47:31 | Geração 77/150 — melhor fitness: 213921122 | sem melhora há 5 geração(ões)
2026-09-04 04:47:38 | Geração 78/150 — melhor fitness: 213921122 | sem melhora há 6 geração(ões)
2026-09-04 04:47:44 | Geração 79/150 — melhor fitness: 213887183 | sem melhora há 0 geração(ões)
2026-09-04 04:47:51 | Geração 80/150 — melhor fitness: 213887183 | sem melhora há 1 geração(ões)
2026-09-04 04:47:57 | Geração 81/150 — melhor fitness: 213887183 | sem melhora há 2 geração(ões)
2026-09-04 04:48:04 | Geração 82/150 — melhor fitness: 213092969 | sem melhora há 0 geração(ões)
2026-09-04 04:48:11 | Geração 83/150 — melhor fitness: 213092969 | sem melhora há 1 geração(ões)
2026-09-04 04:48:18 | Geração 84/150 — melhor fitness: 213092969 | sem melhora há 2 geração(ões)
2026-09-04 04:48:24 | Geração 85/150 — melhor fitness: 213092969 | sem melhora há 3 geração(ões)
2026-09-04 04:48:31 | Geração 86/150 — melhor fitness: 213092969 | sem melhora há 4 geração(ões)
2026-09-04 04:48:38 | Geração 87/150 — melhor fitness: 213092969 | sem melhora há 5 geração(ões)
2026-09-04 04:48:44 | Geração 88/150 — melhor fitness: 213092969 | sem melhora há 6 geração(ões)
2026-09-04 04:48:51 | Geração 89/150 — melhor fitness: 213092969 | sem melhora há 7 geração(ões)
2026-09-04 04:48:58 | Geração 90/150 — melhor fitness: 213092969 | sem melhora há 8 geração(ões)
2026-09-04 04:49:04 | Geração 91/150 — melhor fitness: 213092969 | sem melhora há 9 geração(ões)
2026-09-04 04:49:11 | Geração 92/150 — melhor fitness: 213092969 | sem melhora há 10 geração(ões)
2026-09-04 04:49:17 | Geração 93/150 — melhor fitness: 213092969 | sem melhora há 11 geração(ões)
2026-09-04 04:49:24 | Geração 94/150 — melhor fitness: 213092969 | sem melhora há 12 geração(ões)
2026-09-04 04:49:31 | Geração 95/150 — melhor fitness: 213092969 | sem melhora há 13 geração(ões)
2026-09-04 04:49:37 | Geração 96/150 — melhor fitness: 213092969 | sem melhora há 14 geração(ões)
2026-09-04 04:49:44 | Geração 97/150 — melhor fitness: 213092969 | sem melhora há 15 geração(ões)
2026-09-04 04:49:50 | Geração 98/150 — melhor fitness: 213092969 | sem melhora há 16 geração(ões)
2026-09-04 04:49:57 | Geração 99/150 — melhor fitness: 213092969 | sem melhora há 17 geração(ões)
2026-09-04 04:50:04 | Geração 100/150 — melhor fitness: 213092969 | sem melhora há 18 geração(ões)
2026-09-04 04:50:11 | Geração 101/150 — melhor fitness: 213092969 | sem melhora há 19 geração(ões)
2026-09-04 04:50:17 | Geração 102/150 — melhor fitness: 213092969 | sem melhora há 20 geração(ões)
2026-09-04 04:50:24 | Geração 103/150 — melhor fitness: 213092969 | sem melhora há 21 geração(ões)
2026-09-04 04:50:30 | Geração 104/150 — melhor fitness: 213092969 | sem melhora há 22 geração(ões)
2026-09-04 04:50:37 | Geração 105/150 — melhor fitness: 213092969 | sem melhora há 23 geração(ões)
2026-09-04 04:50:44 | Geração 106/150 — melhor fitness: 212705327 | sem melhora há 0 geração(ões)
2026-09-04 04:50:50 | Geração 107/150 — melhor fitness: 212705327 | sem melhora há 1 geração(ões)
2026-09-04 04:50:57 | Geração 108/150 — melhor fitness: 211433101 | sem melhora há 0 geração(ões)
2026-09-04 04:51:03 | Geração 109/150 — melhor fitness: 211433101 | sem melhora há 1 geração(ões)
2026-09-04 04:51:10 | Geração 110/150 — melhor fitness: 211433101 | sem melhora há 2 geração(ões)
2026-09-04 04:51:16 | Geração 111/150 — melhor fitness: 211433101 | sem melhora há 3 geração(ões)
2026-09-04 04:51:22 | Geração 112/150 — melhor fitness: 211433101 | sem melhora há 4 geração(ões)
2026-09-04 04:51:29 | Geração 113/150 — melhor fitness: 211433101 | sem melhora há 5 geração(ões)
2026-09-04 04:51:35 | Geração 114/150 — melhor fitness: 211433101 | sem melhora há 6 geração(ões)
2026-09-04 04:51:42 | Geração 115/150 — melhor fitness: 211433101 | sem melhora há 7 geração(ões)
2026-09-04 04:51:48 | Geração 116/150 — melhor fitness: 211433101 | sem melhora há 8 geração(ões)
2026-09-04 04:51:55 | Geração 117/150 — melhor fitness: 211433101 | sem melhora há 9 geração(ões)
2026-09-04 04:52:02 | Geração 118/150 — melhor fitness: 211433101 | sem melhora há 10 geração(ões)
2026-09-04 04:52:09 | Geração 119/150 — melhor fitness: 211433101 | sem melhora há 11 geração(ões)
2026-09-04 04:52:15 | Geração 120/150 — melhor fitness: 211433101 | sem melhora há 12 geração(ões)
2026-09-04 04:52:22 | Geração 121/150 — melhor fitness: 210755381 | sem melhora há 0 geração(ões)
2026-09-04 04:52:28 | Geração 122/150 — melhor fitness: 210755381 | sem melhora há 1 geração(ões)
2026-09-04 04:52:34 | Geração 123/150 — melhor fitness: 210755381 | sem melhora há 2 geração(ões)
2026-09-04 04:52:41 | Geração 124/150 — melhor fitness: 210755381 | sem melhora há 3 geração(ões)
2026-09-04 04:52:48 | Geração 125/150 — melhor fitness: 210755381 | sem melhora há 4 geração(ões)
2026-09-04 04:52:55 | Geração 126/150 — melhor fitness: 210755381 | sem melhora há 5 geração(ões)
2026-09-04 04:53:02 | Geração 127/150 — melhor fitness: 210755381 | sem melhora há 6 geração(ões)
2026-09-04 04:53:08 | Geração 128/150 — melhor fitness: 210755381 | sem melhora há 7 geração(ões)
2026-09-04 04:53:15 | Geração 129/150 — melhor fitness: 210755381 | sem melhora há 8 geração(ões)
2026-09-04 04:53:21 | Geração 130/150 — melhor fitness: 210755381 | sem melhora há 9 geração(ões)
2026-09-04 04:53:28 | Geração 131/150 — melhor fitness: 210755381 | sem melhora há 10 geração(ões)
2026-09-04 04:53:35 | Geração 132/150 — melhor fitness: 210755381 | sem melhora há 11 geração(ões)
2026-09-04 04:53:41 | Geração 133/150 — melhor fitness: 210755381 | sem melhora há 12 geração(ões)
2026-09-04 04:53:48 | Geração 134/150 — melhor fitness: 210755381 | sem melhora há 13 geração(ões)
2026-09-04 04:53:55 | Geração 135/150 — melhor fitness: 210755381 | sem melhora há 14 geração(ões)
2026-09-04 04:54:02 | Geração 136/150 — melhor fitness: 210755381 | sem melhora há 15 geração(ões)
2026-09-04 04:54:09 | Geração 137/150 — melhor fitness: 210755381 | sem melhora há 16 geração(ões)
2026-09-04 04:54:16 | Geração 138/150 — melhor fitness: 210755381 | sem melhora há 17 geração(ões)
2026-09-04 04:54:23 | Geração 139/150 — melhor fitness: 210755381 | sem melhora há 18 geração(ões)
2026-09-04 04:54:29 | Geração 140/150 — melhor fitness: 210755381 | sem melhora há 19 geração(ões)
2026-09-04 04:54:35 | Geração 141/150 — melhor fitness: 210755381 | sem melhora há 20 geração(ões)
2026-09-04 04:54:41 | Geração 142/150 — melhor fitness: 210755381 | sem melhora há 21 geração(ões)
2026-09-04 04:54:48 | Geração 143/150 — melhor fitness: 210755381 | sem melhora há 22 geração(ões)
2026-09-04 04:54:54 | Geração 144/150 — melhor fitness: 210755381 | sem melhora há 23 geração(ões)
2026-09-04 04:55:01 | Geração 145/150 — melhor fitness: 210755381 | sem melhora há 24 geração(ões)
2026-09-04 04:55:07 | Geração 146/150 — melhor fitness: 210557933 | sem melhora há 0 geração(ões)
2026-09-04 04:55:14 | Geração 147/150 — melhor fitness: 210557933 | sem melhora há 1 geração(ões)
2026-09-04 04:55:21 | Geração 148/150 — melhor fitness: 210557933 | sem melhora há 2 geração(ões)
2026-09-04 04:55:27 | Geração 149/150 — melhor fitness: 210557933 | sem melhora há 3 geração(ões)
2026-09-04 04:55:34 | Geração 150/150 — melhor fitness: 210557933 | sem melhora há 4 geração(ões)
2026-09-04 04:55:34 | AG concluído em 0h 16m 35s — melhor fitness: 210557933
2026-09-04 04:55:34 | Tempo total da tarefa: 0h 16m 35s
2026-09-04 04:55:34 | Fitness final: 210557933
2026-09-04 04:55:34 | ======================================================================
