2026-08-30 20:18:40 | ======================================================================
2026-08-30 20:18:40 | Iniciando tarefa — servidor3_tarefa38 | k=27 | seed=42
2026-08-30 20:18:40 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.08, 'population_size': 300, 'elitism_size': 8, 'tournament_size': 5, 'num_generations': 350}
2026-08-30 20:18:43 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-30 20:18:52 | Geração 1/350 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-30 20:19:03 | Geração 2/350 — melhor fitness: 253851998 | sem melhora há 0 geração(ões)
2026-08-30 20:19:12 | Geração 3/350 — melhor fitness: 243716294 | sem melhora há 0 geração(ões)
2026-08-30 20:19:23 | Geração 4/350 — melhor fitness: 243716294 | sem melhora há 1 geração(ões)
2026-08-30 20:19:33 | Geração 5/350 — melhor fitness: 242806501 | sem melhora há 0 geração(ões)
2026-08-30 20:19:43 | Geração 6/350 — melhor fitness: 242806501 | sem melhora há 1 geração(ões)
2026-08-30 20:19:53 | Geração 7/350 — melhor fitness: 240157192 | sem melhora há 0 geração(ões)
2026-08-30 20:20:03 | Geração 8/350 — melhor fitness: 239429545 | sem melhora há 0 geração(ões)
2026-08-30 20:20:13 | Geração 9/350 — melhor fitness: 236433038 | sem melhora há 0 geração(ões)
2026-08-30 20:20:23 | Geração 10/350 — melhor fitness: 236433038 | sem melhora há 1 geração(ões)
2026-08-30 20:20:32 | Geração 11/350 — melhor fitness: 236160102 | sem melhora há 0 geração(ões)
2026-08-30 20:20:43 | Geração 12/350 — melhor fitness: 236160102 | sem melhora há 1 geração(ões)
2026-08-30 20:20:53 | Geração 13/350 — melhor fitness: 236160102 | sem melhora há 2 geração(ões)
2026-08-30 20:21:03 | Geração 14/350 — melhor fitness: 231513982 | sem melhora há 0 geração(ões)
2026-08-30 20:21:13 | Geração 15/350 — melhor fitness: 231513982 | sem melhora há 1 geração(ões)
2026-08-30 20:21:23 | Geração 16/350 — melhor fitness: 231513982 | sem melhora há 2 geração(ões)
2026-08-30 20:21:33 | Geração 17/350 — melhor fitness: 231513982 | sem melhora há 3 geração(ões)
2026-08-30 20:21:43 | Geração 18/350 — melhor fitness: 231513982 | sem melhora há 4 geração(ões)
2026-08-30 20:21:53 | Geração 19/350 — melhor fitness: 231513982 | sem melhora há 5 geração(ões)
2026-08-30 20:22:03 | Geração 20/350 — melhor fitness: 231513982 | sem melhora há 6 geração(ões)
2026-08-30 20:22:13 | Geração 21/350 — melhor fitness: 231513982 | sem melhora há 7 geração(ões)
2026-08-30 20:22:23 | Geração 22/350 — melhor fitness: 231513982 | sem melhora há 8 geração(ões)
2026-08-30 20:22:34 | Geração 23/350 — melhor fitness: 231508000 | sem melhora há 0 geração(ões)
2026-08-30 20:22:44 | Geração 24/350 — melhor fitness: 231508000 | sem melhora há 1 geração(ões)
2026-08-30 20:22:54 | Geração 25/350 — melhor fitness: 231508000 | sem melhora há 2 geração(ões)
2026-08-30 20:23:04 | Geração 26/350 — melhor fitness: 231508000 | sem melhora há 3 geração(ões)
2026-08-30 20:23:14 | Geração 27/350 — melhor fitness: 231508000 | sem melhora há 4 geração(ões)
2026-08-30 20:23:25 | Geração 28/350 — melhor fitness: 231273595 | sem melhora há 0 geração(ões)
2026-08-30 20:23:35 | Geração 29/350 — melhor fitness: 231273595 | sem melhora há 1 geração(ões)
2026-08-30 20:23:45 | Geração 30/350 — melhor fitness: 231273595 | sem melhora há 2 geração(ões)
2026-08-30 20:23:55 | Geração 31/350 — melhor fitness: 231273595 | sem melhora há 3 geração(ões)
2026-08-30 20:24:05 | Geração 32/350 — melhor fitness: 229805331 | sem melhora há 0 geração(ões)
2026-08-30 20:24:15 | Geração 33/350 — melhor fitness: 229805331 | sem melhora há 1 geração(ões)
2026-08-30 20:24:26 | Geração 34/350 — melhor fitness: 229798660 | sem melhora há 0 geração(ões)
2026-08-30 20:24:35 | Geração 35/350 — melhor fitness: 229798660 | sem melhora há 1 geração(ões)
2026-08-30 20:24:46 | Geração 36/350 — melhor fitness: 228105052 | sem melhora há 0 geração(ões)
2026-08-30 20:24:56 | Geração 37/350 — melhor fitness: 228105052 | sem melhora há 1 geração(ões)
2026-08-30 20:25:06 | Geração 38/350 — melhor fitness: 227206694 | sem melhora há 0 geração(ões)
2026-08-30 20:25:16 | Geração 39/350 — melhor fitness: 227206694 | sem melhora há 1 geração(ões)
2026-08-30 20:25:26 | Geração 40/350 — melhor fitness: 227206694 | sem melhora há 2 geração(ões)
2026-08-30 20:25:36 | Geração 41/350 — melhor fitness: 226476334 | sem melhora há 0 geração(ões)
2026-08-30 20:25:46 | Geração 42/350 — melhor fitness: 226476334 | sem melhora há 1 geração(ões)
2026-08-30 20:25:55 | Geração 43/350 — melhor fitness: 225131367 | sem melhora há 0 geração(ões)
2026-08-30 20:26:05 | Geração 44/350 — melhor fitness: 222798051 | sem melhora há 0 geração(ões)
2026-08-30 20:26:15 | Geração 45/350 — melhor fitness: 222798051 | sem melhora há 1 geração(ões)
2026-08-30 20:26:25 | Geração 46/350 — melhor fitness: 222343197 | sem melhora há 0 geração(ões)
2026-08-30 20:26:35 | Geração 47/350 — melhor fitness: 222343197 | sem melhora há 1 geração(ões)
2026-08-30 20:26:45 | Geração 48/350 — melhor fitness: 221146182 | sem melhora há 0 geração(ões)
2026-08-30 20:26:55 | Geração 49/350 — melhor fitness: 221146182 | sem melhora há 1 geração(ões)
2026-08-30 20:27:05 | Geração 50/350 — melhor fitness: 218858973 | sem melhora há 0 geração(ões)
2026-08-30 20:27:15 | Geração 51/350 — melhor fitness: 218858973 | sem melhora há 1 geração(ões)
2026-08-30 20:27:25 | Geração 52/350 — melhor fitness: 218858973 | sem melhora há 2 geração(ões)
2026-08-30 20:27:36 | Geração 53/350 — melhor fitness: 218858973 | sem melhora há 3 geração(ões)
2026-08-30 20:27:46 | Geração 54/350 — melhor fitness: 218858973 | sem melhora há 4 geração(ões)
2026-08-30 20:27:56 | Geração 55/350 — melhor fitness: 218164942 | sem melhora há 0 geração(ões)
2026-08-30 20:28:06 | Geração 56/350 — melhor fitness: 218164942 | sem melhora há 1 geração(ões)
2026-08-30 20:28:17 | Geração 57/350 — melhor fitness: 218164942 | sem melhora há 2 geração(ões)
2026-08-30 20:28:27 | Geração 58/350 — melhor fitness: 218164942 | sem melhora há 3 geração(ões)
2026-08-30 20:28:36 | Geração 59/350 — melhor fitness: 218164942 | sem melhora há 4 geração(ões)
2026-08-30 20:28:47 | Geração 60/350 — melhor fitness: 218164942 | sem melhora há 5 geração(ões)
2026-08-30 20:28:57 | Geração 61/350 — melhor fitness: 218126922 | sem melhora há 0 geração(ões)
2026-08-30 20:29:06 | Geração 62/350 — melhor fitness: 218126922 | sem melhora há 1 geração(ões)
2026-08-30 20:29:16 | Geração 63/350 — melhor fitness: 218126922 | sem melhora há 2 geração(ões)
2026-08-30 20:29:27 | Geração 64/350 — melhor fitness: 217887258 | sem melhora há 0 geração(ões)
2026-08-30 20:29:36 | Geração 65/350 — melhor fitness: 217887258 | sem melhora há 1 geração(ões)
2026-08-30 20:29:47 | Geração 66/350 — melhor fitness: 217887258 | sem melhora há 2 geração(ões)
2026-08-30 20:29:57 | Geração 67/350 — melhor fitness: 216775728 | sem melhora há 0 geração(ões)
2026-08-30 20:30:07 | Geração 68/350 — melhor fitness: 216775728 | sem melhora há 1 geração(ões)
2026-08-30 20:30:17 | Geração 69/350 — melhor fitness: 216775728 | sem melhora há 2 geração(ões)
2026-08-30 20:30:26 | Geração 70/350 — melhor fitness: 216775728 | sem melhora há 3 geração(ões)
2026-08-30 20:30:36 | Geração 71/350 — melhor fitness: 216775728 | sem melhora há 4 geração(ões)
2026-08-30 20:30:47 | Geração 72/350 — melhor fitness: 216775728 | sem melhora há 5 geração(ões)
2026-08-30 20:30:57 | Geração 73/350 — melhor fitness: 216775728 | sem melhora há 6 geração(ões)
2026-08-30 20:31:08 | Geração 74/350 — melhor fitness: 216775728 | sem melhora há 7 geração(ões)
2026-08-30 20:31:18 | Geração 75/350 — melhor fitness: 216775728 | sem melhora há 8 geração(ões)
2026-08-30 20:31:28 | Geração 76/350 — melhor fitness: 216775728 | sem melhora há 9 geração(ões)
2026-08-30 20:31:38 | Geração 77/350 — melhor fitness: 216775728 | sem melhora há 10 geração(ões)
2026-08-30 20:31:48 | Geração 78/350 — melhor fitness: 216775728 | sem melhora há 11 geração(ões)
2026-08-30 20:31:58 | Geração 79/350 — melhor fitness: 216775728 | sem melhora há 12 geração(ões)
2026-08-30 20:32:07 | Geração 80/350 — melhor fitness: 216775728 | sem melhora há 13 geração(ões)
2026-08-30 20:32:17 | Geração 81/350 — melhor fitness: 216775728 | sem melhora há 14 geração(ões)
2026-08-30 20:32:27 | Geração 82/350 — melhor fitness: 216775728 | sem melhora há 15 geração(ões)
2026-08-30 20:32:37 | Geração 83/350 — melhor fitness: 215808991 | sem melhora há 0 geração(ões)
2026-08-30 20:32:48 | Geração 84/350 — melhor fitness: 215808991 | sem melhora há 1 geração(ões)
2026-08-30 20:32:58 | Geração 85/350 — melhor fitness: 215808991 | sem melhora há 2 geração(ões)
2026-08-30 20:33:08 | Geração 86/350 — melhor fitness: 215808991 | sem melhora há 3 geração(ões)
2026-08-30 20:33:18 | Geração 87/350 — melhor fitness: 215808991 | sem melhora há 4 geração(ões)
2026-08-30 20:33:28 | Geração 88/350 — melhor fitness: 215808991 | sem melhora há 5 geração(ões)
2026-08-30 20:33:38 | Geração 89/350 — melhor fitness: 215808991 | sem melhora há 6 geração(ões)
2026-08-30 20:33:48 | Geração 90/350 — melhor fitness: 215808991 | sem melhora há 7 geração(ões)
2026-08-30 20:33:57 | Geração 91/350 — melhor fitness: 215808991 | sem melhora há 8 geração(ões)
2026-08-30 20:34:08 | Geração 92/350 — melhor fitness: 215393701 | sem melhora há 0 geração(ões)
2026-08-30 20:34:18 | Geração 93/350 — melhor fitness: 215393701 | sem melhora há 1 geração(ões)
2026-08-30 20:34:28 | Geração 94/350 — melhor fitness: 215393701 | sem melhora há 2 geração(ões)
