2026-08-30 14:18:59 | ======================================================================
2026-08-30 14:18:59 | Iniciando tarefa — servidor2_tarefa289 | k=27 | seed=42
2026-08-30 14:18:59 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.08, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 250}
2026-08-30 14:19:02 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-30 14:19:11 | Geração 1/250 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-30 14:19:22 | Geração 2/250 — melhor fitness: 249810253 | sem melhora há 0 geração(ões)
2026-08-30 14:19:32 | Geração 3/250 — melhor fitness: 249810253 | sem melhora há 1 geração(ões)
2026-08-30 14:19:41 | Geração 4/250 — melhor fitness: 247283313 | sem melhora há 0 geração(ões)
2026-08-30 14:19:51 | Geração 5/250 — melhor fitness: 246033822 | sem melhora há 0 geração(ões)
2026-08-30 14:20:01 | Geração 6/250 — melhor fitness: 245330744 | sem melhora há 0 geração(ões)
2026-08-30 14:20:11 | Geração 7/250 — melhor fitness: 242619450 | sem melhora há 0 geração(ões)
2026-08-30 14:20:21 | Geração 8/250 — melhor fitness: 240333208 | sem melhora há 0 geração(ões)
2026-08-30 14:20:31 | Geração 9/250 — melhor fitness: 235456972 | sem melhora há 0 geração(ões)
2026-08-30 14:20:41 | Geração 10/250 — melhor fitness: 235456972 | sem melhora há 1 geração(ões)
2026-08-30 14:20:50 | Geração 11/250 — melhor fitness: 235456972 | sem melhora há 2 geração(ões)
2026-08-30 14:21:00 | Geração 12/250 — melhor fitness: 235456972 | sem melhora há 3 geração(ões)
2026-08-30 14:21:10 | Geração 13/250 — melhor fitness: 234721777 | sem melhora há 0 geração(ões)
2026-08-30 14:21:20 | Geração 14/250 — melhor fitness: 233763315 | sem melhora há 0 geração(ões)
2026-08-30 14:21:30 | Geração 15/250 — melhor fitness: 233534050 | sem melhora há 0 geração(ões)
2026-08-30 14:21:40 | Geração 16/250 — melhor fitness: 232737423 | sem melhora há 0 geração(ões)
2026-08-30 14:21:51 | Geração 17/250 — melhor fitness: 232737423 | sem melhora há 1 geração(ões)
2026-08-30 14:22:00 | Geração 18/250 — melhor fitness: 230379367 | sem melhora há 0 geração(ões)
2026-08-30 14:22:10 | Geração 19/250 — melhor fitness: 230379367 | sem melhora há 1 geração(ões)
2026-08-30 14:22:20 | Geração 20/250 — melhor fitness: 230048483 | sem melhora há 0 geração(ões)
2026-08-30 14:22:30 | Geração 21/250 — melhor fitness: 229380272 | sem melhora há 0 geração(ões)
2026-08-30 14:22:39 | Geração 22/250 — melhor fitness: 229380272 | sem melhora há 1 geração(ões)
2026-08-30 14:22:49 | Geração 23/250 — melhor fitness: 229024519 | sem melhora há 0 geração(ões)
2026-08-30 14:23:00 | Geração 24/250 — melhor fitness: 228153437 | sem melhora há 0 geração(ões)
2026-08-30 14:23:10 | Geração 25/250 — melhor fitness: 227341915 | sem melhora há 0 geração(ões)
2026-08-30 14:23:20 | Geração 26/250 — melhor fitness: 227341915 | sem melhora há 1 geração(ões)
2026-08-30 14:23:29 | Geração 27/250 — melhor fitness: 225679796 | sem melhora há 0 geração(ões)
2026-08-30 14:23:39 | Geração 28/250 — melhor fitness: 225276277 | sem melhora há 0 geração(ões)
2026-08-30 14:23:50 | Geração 29/250 — melhor fitness: 225276277 | sem melhora há 1 geração(ões)
2026-08-30 14:24:00 | Geração 30/250 — melhor fitness: 225276277 | sem melhora há 2 geração(ões)
2026-08-30 14:24:09 | Geração 31/250 — melhor fitness: 225276277 | sem melhora há 3 geração(ões)
2026-08-30 14:24:19 | Geração 32/250 — melhor fitness: 224344918 | sem melhora há 0 geração(ões)
2026-08-30 14:24:29 | Geração 33/250 — melhor fitness: 224344918 | sem melhora há 1 geração(ões)
2026-08-30 14:24:39 | Geração 34/250 — melhor fitness: 224241167 | sem melhora há 0 geração(ões)
2026-08-30 14:24:49 | Geração 35/250 — melhor fitness: 222975721 | sem melhora há 0 geração(ões)
2026-08-30 14:24:59 | Geração 36/250 — melhor fitness: 222975721 | sem melhora há 1 geração(ões)
2026-08-30 14:25:09 | Geração 37/250 — melhor fitness: 222975721 | sem melhora há 2 geração(ões)
2026-08-30 14:25:19 | Geração 38/250 — melhor fitness: 220574383 | sem melhora há 0 geração(ões)
2026-08-30 14:25:28 | Geração 39/250 — melhor fitness: 220574383 | sem melhora há 1 geração(ões)
2026-08-30 14:25:39 | Geração 40/250 — melhor fitness: 220574383 | sem melhora há 2 geração(ões)
2026-08-30 14:25:49 | Geração 41/250 — melhor fitness: 220574383 | sem melhora há 3 geração(ões)
2026-08-30 14:25:59 | Geração 42/250 — melhor fitness: 219671278 | sem melhora há 0 geração(ões)
2026-08-30 14:26:08 | Geração 43/250 — melhor fitness: 219671278 | sem melhora há 1 geração(ões)
2026-08-30 14:26:18 | Geração 44/250 — melhor fitness: 219671278 | sem melhora há 2 geração(ões)
2026-08-30 14:26:28 | Geração 45/250 — melhor fitness: 219671278 | sem melhora há 3 geração(ões)
2026-08-30 14:26:38 | Geração 46/250 — melhor fitness: 219671278 | sem melhora há 4 geração(ões)
2026-08-30 14:26:47 | Geração 47/250 — melhor fitness: 218002500 | sem melhora há 0 geração(ões)
2026-08-30 14:26:57 | Geração 48/250 — melhor fitness: 217364335 | sem melhora há 0 geração(ões)
2026-08-30 14:27:06 | Geração 49/250 — melhor fitness: 217364335 | sem melhora há 1 geração(ões)
2026-08-30 14:27:16 | Geração 50/250 — melhor fitness: 217071082 | sem melhora há 0 geração(ões)
2026-08-30 14:27:26 | Geração 51/250 — melhor fitness: 217013137 | sem melhora há 0 geração(ões)
2026-08-30 14:27:36 | Geração 52/250 — melhor fitness: 217013137 | sem melhora há 1 geração(ões)
2026-08-30 14:27:45 | Geração 53/250 — melhor fitness: 216414851 | sem melhora há 0 geração(ões)
2026-08-30 14:27:56 | Geração 54/250 — melhor fitness: 216414851 | sem melhora há 1 geração(ões)
