2026-08-27 19:04:04 | ======================================================================
2026-08-27 19:04:04 | Iniciando tarefa — servidor2_tarefa73 | k=27 | seed=42
2026-08-27 19:04:04 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.08, 'population_size': 500, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 250}
2026-08-27 19:04:08 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-27 19:04:27 | Geração 1/250 — melhor fitness: 251553270 | sem melhora há 0 geração(ões)
2026-08-27 19:04:44 | Geração 2/250 — melhor fitness: 251553270 | sem melhora há 1 geração(ões)
2026-08-27 19:05:01 | Geração 3/250 — melhor fitness: 251553270 | sem melhora há 2 geração(ões)
2026-08-27 19:05:17 | Geração 4/250 — melhor fitness: 251553270 | sem melhora há 3 geração(ões)
2026-08-27 19:05:34 | Geração 5/250 — melhor fitness: 244949910 | sem melhora há 0 geração(ões)
2026-08-27 19:05:51 | Geração 6/250 — melhor fitness: 242008895 | sem melhora há 0 geração(ões)
2026-08-27 19:06:07 | Geração 7/250 — melhor fitness: 242008895 | sem melhora há 1 geração(ões)
2026-08-27 19:06:24 | Geração 8/250 — melhor fitness: 242008895 | sem melhora há 2 geração(ões)
2026-08-27 19:06:41 | Geração 9/250 — melhor fitness: 242008895 | sem melhora há 3 geração(ões)
2026-08-27 19:06:58 | Geração 10/250 — melhor fitness: 242008895 | sem melhora há 4 geração(ões)
2026-08-27 19:07:15 | Geração 11/250 — melhor fitness: 239092293 | sem melhora há 0 geração(ões)
2026-08-27 19:07:33 | Geração 12/250 — melhor fitness: 239092293 | sem melhora há 1 geração(ões)
2026-08-27 19:07:50 | Geração 13/250 — melhor fitness: 238403995 | sem melhora há 0 geração(ões)
2026-08-27 19:08:07 | Geração 14/250 — melhor fitness: 238403995 | sem melhora há 1 geração(ões)
2026-08-27 19:08:25 | Geração 15/250 — melhor fitness: 235333155 | sem melhora há 0 geração(ões)
2026-08-27 19:08:41 | Geração 16/250 — melhor fitness: 235333155 | sem melhora há 1 geração(ões)
2026-08-27 19:08:58 | Geração 17/250 — melhor fitness: 233051602 | sem melhora há 0 geração(ões)
2026-08-27 19:09:15 | Geração 18/250 — melhor fitness: 232435359 | sem melhora há 0 geração(ões)
2026-08-27 19:09:33 | Geração 19/250 — melhor fitness: 232000263 | sem melhora há 0 geração(ões)
2026-08-27 19:09:50 | Geração 20/250 — melhor fitness: 232000263 | sem melhora há 1 geração(ões)
2026-08-27 19:10:06 | Geração 21/250 — melhor fitness: 231916285 | sem melhora há 0 geração(ões)
2026-08-27 19:10:23 | Geração 22/250 — melhor fitness: 231260453 | sem melhora há 0 geração(ões)
2026-08-27 19:10:40 | Geração 23/250 — melhor fitness: 228667732 | sem melhora há 0 geração(ões)
2026-08-27 19:10:57 | Geração 24/250 — melhor fitness: 228667732 | sem melhora há 1 geração(ões)
2026-08-27 19:11:13 | Geração 25/250 — melhor fitness: 228667732 | sem melhora há 2 geração(ões)
2026-08-27 19:11:31 | Geração 26/250 — melhor fitness: 228667732 | sem melhora há 3 geração(ões)
2026-08-27 19:11:48 | Geração 27/250 — melhor fitness: 227665700 | sem melhora há 0 geração(ões)
2026-08-27 19:12:04 | Geração 28/250 — melhor fitness: 227665700 | sem melhora há 1 geração(ões)
2026-08-27 19:12:20 | Geração 29/250 — melhor fitness: 227242020 | sem melhora há 0 geração(ões)
2026-08-27 19:12:36 | Geração 30/250 — melhor fitness: 227166055 | sem melhora há 0 geração(ões)
2026-08-27 19:12:53 | Geração 31/250 — melhor fitness: 227166055 | sem melhora há 1 geração(ões)
2026-08-27 19:13:09 | Geração 32/250 — melhor fitness: 226672608 | sem melhora há 0 geração(ões)
2026-08-27 19:13:26 | Geração 33/250 — melhor fitness: 226672608 | sem melhora há 1 geração(ões)
2026-08-27 19:13:43 | Geração 34/250 — melhor fitness: 226345866 | sem melhora há 0 geração(ões)
2026-08-27 19:14:00 | Geração 35/250 — melhor fitness: 226345866 | sem melhora há 1 geração(ões)
2026-08-27 19:14:17 | Geração 36/250 — melhor fitness: 226345866 | sem melhora há 2 geração(ões)
2026-08-27 19:14:34 | Geração 37/250 — melhor fitness: 225157514 | sem melhora há 0 geração(ões)
2026-08-27 19:14:51 | Geração 38/250 — melhor fitness: 225157514 | sem melhora há 1 geração(ões)
2026-08-27 19:15:07 | Geração 39/250 — melhor fitness: 225157514 | sem melhora há 2 geração(ões)
2026-08-27 19:15:25 | Geração 40/250 — melhor fitness: 225157514 | sem melhora há 3 geração(ões)
2026-08-27 19:15:41 | Geração 41/250 — melhor fitness: 225157514 | sem melhora há 4 geração(ões)
2026-08-27 19:15:57 | Geração 42/250 — melhor fitness: 224284422 | sem melhora há 0 geração(ões)
2026-08-27 19:16:14 | Geração 43/250 — melhor fitness: 224254407 | sem melhora há 0 geração(ões)
2026-08-27 19:16:31 | Geração 44/250 — melhor fitness: 223114426 | sem melhora há 0 geração(ões)
2026-08-27 19:16:48 | Geração 45/250 — melhor fitness: 223114426 | sem melhora há 1 geração(ões)
2026-08-27 19:17:05 | Geração 46/250 — melhor fitness: 223114426 | sem melhora há 2 geração(ões)
2026-08-27 19:17:22 | Geração 47/250 — melhor fitness: 222403901 | sem melhora há 0 geração(ões)
