2026-08-29 06:47:20 | ======================================================================
2026-08-29 06:47:20 | Iniciando tarefa — servidor2_tarefa209 | k=27 | seed=42
2026-08-29 06:47:20 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.18, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 350}
2026-08-29 06:47:23 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-29 06:47:42 | Geração 1/350 — melhor fitness: 254530881 | sem melhora há 0 geração(ões)
2026-08-29 06:48:01 | Geração 2/350 — melhor fitness: 254530881 | sem melhora há 1 geração(ões)
2026-08-29 06:48:20 | Geração 3/350 — melhor fitness: 251908285 | sem melhora há 0 geração(ões)
2026-08-29 06:48:39 | Geração 4/350 — melhor fitness: 251718886 | sem melhora há 0 geração(ões)
2026-08-29 06:48:59 | Geração 5/350 — melhor fitness: 249824277 | sem melhora há 0 geração(ões)
2026-08-29 06:49:18 | Geração 6/350 — melhor fitness: 249001129 | sem melhora há 0 geração(ões)
2026-08-29 06:49:37 | Geração 7/350 — melhor fitness: 249001129 | sem melhora há 1 geração(ões)
2026-08-29 06:49:56 | Geração 8/350 — melhor fitness: 248708736 | sem melhora há 0 geração(ões)
2026-08-29 06:50:14 | Geração 9/350 — melhor fitness: 243990396 | sem melhora há 0 geração(ões)
2026-08-29 06:50:33 | Geração 10/350 — melhor fitness: 243990396 | sem melhora há 1 geração(ões)
2026-08-29 06:50:52 | Geração 11/350 — melhor fitness: 242871738 | sem melhora há 0 geração(ões)
2026-08-29 06:51:12 | Geração 12/350 — melhor fitness: 242871738 | sem melhora há 1 geração(ões)
2026-08-29 06:51:30 | Geração 13/350 — melhor fitness: 242871738 | sem melhora há 2 geração(ões)
2026-08-29 06:51:49 | Geração 14/350 — melhor fitness: 242871738 | sem melhora há 3 geração(ões)
2026-08-29 06:52:07 | Geração 15/350 — melhor fitness: 241787833 | sem melhora há 0 geração(ões)
2026-08-29 06:52:26 | Geração 16/350 — melhor fitness: 241787833 | sem melhora há 1 geração(ões)
2026-08-29 06:52:45 | Geração 17/350 — melhor fitness: 241787833 | sem melhora há 2 geração(ões)
2026-08-29 06:53:03 | Geração 18/350 — melhor fitness: 239744396 | sem melhora há 0 geração(ões)
2026-08-29 06:53:23 | Geração 19/350 — melhor fitness: 239075965 | sem melhora há 0 geração(ões)
