2026-08-31 03:07:24 | ======================================================================
2026-08-31 03:07:24 | Iniciando tarefa — servidor2_tarefa543 | k=27 | seed=42
2026-08-31 03:07:24 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.08, 'population_size': 500, 'elitism_size': 4, 'tournament_size': 7, 'num_generations': 150}
2026-08-31 03:07:29 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-31 03:07:46 | Geração 1/150 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-08-31 03:08:03 | Geração 2/150 — melhor fitness: 252715284 | sem melhora há 0 geração(ões)
2026-08-31 03:08:21 | Geração 3/150 — melhor fitness: 250544788 | sem melhora há 0 geração(ões)
2026-08-31 03:08:38 | Geração 4/150 — melhor fitness: 246523579 | sem melhora há 0 geração(ões)
2026-08-31 03:08:55 | Geração 5/150 — melhor fitness: 244155884 | sem melhora há 0 geração(ões)
2026-08-31 03:09:12 | Geração 6/150 — melhor fitness: 244155884 | sem melhora há 1 geração(ões)
2026-08-31 03:09:29 | Geração 7/150 — melhor fitness: 241831550 | sem melhora há 0 geração(ões)
2026-08-31 03:09:46 | Geração 8/150 — melhor fitness: 235294009 | sem melhora há 0 geração(ões)
2026-08-31 03:10:03 | Geração 9/150 — melhor fitness: 235294009 | sem melhora há 1 geração(ões)
2026-08-31 03:10:21 | Geração 10/150 — melhor fitness: 233525704 | sem melhora há 0 geração(ões)
2026-08-31 03:10:38 | Geração 11/150 — melhor fitness: 233525704 | sem melhora há 1 geração(ões)
2026-08-31 03:10:55 | Geração 12/150 — melhor fitness: 230613387 | sem melhora há 0 geração(ões)
2026-08-31 03:11:13 | Geração 13/150 — melhor fitness: 230411171 | sem melhora há 0 geração(ões)
2026-08-31 03:11:30 | Geração 14/150 — melhor fitness: 230411171 | sem melhora há 1 geração(ões)
2026-08-31 03:11:47 | Geração 15/150 — melhor fitness: 225804127 | sem melhora há 0 geração(ões)
2026-08-31 03:12:04 | Geração 16/150 — melhor fitness: 225804127 | sem melhora há 1 geração(ões)
2026-08-31 03:12:22 | Geração 17/150 — melhor fitness: 225804127 | sem melhora há 2 geração(ões)
2026-08-31 03:12:40 | Geração 18/150 — melhor fitness: 221988330 | sem melhora há 0 geração(ões)
2026-08-31 03:12:59 | Geração 19/150 — melhor fitness: 221988330 | sem melhora há 1 geração(ões)
2026-08-31 03:13:16 | Geração 20/150 — melhor fitness: 219818640 | sem melhora há 0 geração(ões)
2026-08-31 03:13:35 | Geração 21/150 — melhor fitness: 219818640 | sem melhora há 1 geração(ões)
2026-08-31 03:13:52 | Geração 22/150 — melhor fitness: 219818640 | sem melhora há 2 geração(ões)
2026-08-31 03:14:09 | Geração 23/150 — melhor fitness: 219818640 | sem melhora há 3 geração(ões)
2026-08-31 03:14:26 | Geração 24/150 — melhor fitness: 219818640 | sem melhora há 4 geração(ões)
2026-08-31 03:14:45 | Geração 25/150 — melhor fitness: 219818640 | sem melhora há 5 geração(ões)
2026-08-31 03:15:01 | Geração 26/150 — melhor fitness: 219818640 | sem melhora há 6 geração(ões)
2026-08-31 03:15:18 | Geração 27/150 — melhor fitness: 219087673 | sem melhora há 0 geração(ões)
2026-08-31 03:15:35 | Geração 28/150 — melhor fitness: 219087673 | sem melhora há 1 geração(ões)
2026-08-31 03:15:53 | Geração 29/150 — melhor fitness: 219087673 | sem melhora há 2 geração(ões)
2026-08-31 03:16:10 | Geração 30/150 — melhor fitness: 219087673 | sem melhora há 3 geração(ões)
