2026-09-01 23:26:30 | ======================================================================
2026-09-01 23:26:30 | Iniciando tarefa — servidor3_tarefa561 | k=27 | seed=42
2026-09-01 23:26:30 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.08, 'population_size': 500, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 150}
2026-09-01 23:26:34 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-01 23:26:52 | Geração 1/150 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-01 23:27:09 | Geração 2/150 — melhor fitness: 252987959 | sem melhora há 0 geração(ões)
2026-09-01 23:27:26 | Geração 3/150 — melhor fitness: 252987959 | sem melhora há 1 geração(ões)
2026-09-01 23:27:44 | Geração 4/150 — melhor fitness: 247337976 | sem melhora há 0 geração(ões)
2026-09-01 23:28:00 | Geração 5/150 — melhor fitness: 245689484 | sem melhora há 0 geração(ões)
2026-09-01 23:28:16 | Geração 6/150 — melhor fitness: 245689484 | sem melhora há 1 geração(ões)
2026-09-01 23:28:33 | Geração 7/150 — melhor fitness: 245001811 | sem melhora há 0 geração(ões)
2026-09-01 23:28:50 | Geração 8/150 — melhor fitness: 242461808 | sem melhora há 0 geração(ões)
2026-09-01 23:29:07 | Geração 9/150 — melhor fitness: 234593096 | sem melhora há 0 geração(ões)
2026-09-01 23:29:24 | Geração 10/150 — melhor fitness: 234593096 | sem melhora há 1 geração(ões)
2026-09-01 23:29:40 | Geração 11/150 — melhor fitness: 234593096 | sem melhora há 2 geração(ões)
2026-09-01 23:29:57 | Geração 12/150 — melhor fitness: 234593096 | sem melhora há 3 geração(ões)
2026-09-01 23:30:14 | Geração 13/150 — melhor fitness: 234593096 | sem melhora há 4 geração(ões)
2026-09-01 23:30:31 | Geração 14/150 — melhor fitness: 234593096 | sem melhora há 5 geração(ões)
2026-09-01 23:30:48 | Geração 15/150 — melhor fitness: 233178334 | sem melhora há 0 geração(ões)
2026-09-01 23:31:04 | Geração 16/150 — melhor fitness: 233178334 | sem melhora há 1 geração(ões)
2026-09-01 23:31:21 | Geração 17/150 — melhor fitness: 233178334 | sem melhora há 2 geração(ões)
2026-09-01 23:31:39 | Geração 18/150 — melhor fitness: 230154327 | sem melhora há 0 geração(ões)
2026-09-01 23:31:55 | Geração 19/150 — melhor fitness: 227565768 | sem melhora há 0 geração(ões)
2026-09-01 23:32:12 | Geração 20/150 — melhor fitness: 227048824 | sem melhora há 0 geração(ões)
2026-09-01 23:32:29 | Geração 21/150 — melhor fitness: 224612402 | sem melhora há 0 geração(ões)
2026-09-01 23:32:46 | Geração 22/150 — melhor fitness: 224612402 | sem melhora há 1 geração(ões)
2026-09-01 23:33:03 | Geração 23/150 — melhor fitness: 224612402 | sem melhora há 2 geração(ões)
2026-09-01 23:33:20 | Geração 24/150 — melhor fitness: 222499459 | sem melhora há 0 geração(ões)
2026-09-01 23:33:38 | Geração 25/150 — melhor fitness: 222499459 | sem melhora há 1 geração(ões)
2026-09-01 23:33:54 | Geração 26/150 — melhor fitness: 222499459 | sem melhora há 2 geração(ões)
2026-09-01 23:34:11 | Geração 27/150 — melhor fitness: 222499459 | sem melhora há 3 geração(ões)
2026-09-01 23:34:27 | Geração 28/150 — melhor fitness: 222499459 | sem melhora há 4 geração(ões)
2026-09-01 23:34:44 | Geração 29/150 — melhor fitness: 222341762 | sem melhora há 0 geração(ões)
2026-09-01 23:35:01 | Geração 30/150 — melhor fitness: 221994000 | sem melhora há 0 geração(ões)
2026-09-01 23:35:17 | Geração 31/150 — melhor fitness: 221960651 | sem melhora há 0 geração(ões)
2026-09-01 23:35:34 | Geração 32/150 — melhor fitness: 221900381 | sem melhora há 0 geração(ões)
2026-09-01 23:35:51 | Geração 33/150 — melhor fitness: 219647639 | sem melhora há 0 geração(ões)
2026-09-01 23:36:08 | Geração 34/150 — melhor fitness: 219647639 | sem melhora há 1 geração(ões)
2026-09-01 23:36:25 | Geração 35/150 — melhor fitness: 219647639 | sem melhora há 2 geração(ões)
2026-09-01 23:36:42 | Geração 36/150 — melhor fitness: 219647639 | sem melhora há 3 geração(ões)
2026-09-01 23:36:58 | Geração 37/150 — melhor fitness: 218645543 | sem melhora há 0 geração(ões)
2026-09-01 23:37:15 | Geração 38/150 — melhor fitness: 218561494 | sem melhora há 0 geração(ões)
2026-09-01 23:37:32 | Geração 39/150 — melhor fitness: 218561494 | sem melhora há 1 geração(ões)
2026-09-01 23:37:50 | Geração 40/150 — melhor fitness: 217818391 | sem melhora há 0 geração(ões)
2026-09-01 23:38:07 | Geração 41/150 — melhor fitness: 217818391 | sem melhora há 1 geração(ões)
2026-09-01 23:38:24 | Geração 42/150 — melhor fitness: 217643513 | sem melhora há 0 geração(ões)
2026-09-01 23:38:41 | Geração 43/150 — melhor fitness: 216448078 | sem melhora há 0 geração(ões)
2026-09-01 23:38:58 | Geração 44/150 — melhor fitness: 216448078 | sem melhora há 1 geração(ões)
2026-09-01 23:39:15 | Geração 45/150 — melhor fitness: 216448078 | sem melhora há 2 geração(ões)
2026-09-01 23:39:33 | Geração 46/150 — melhor fitness: 216448078 | sem melhora há 3 geração(ões)
2026-09-01 23:39:49 | Geração 47/150 — melhor fitness: 216448078 | sem melhora há 4 geração(ões)
2026-09-01 23:40:07 | Geração 48/150 — melhor fitness: 216448078 | sem melhora há 5 geração(ões)
2026-09-01 23:40:23 | Geração 49/150 — melhor fitness: 214954519 | sem melhora há 0 geração(ões)
2026-09-01 23:40:40 | Geração 50/150 — melhor fitness: 214954519 | sem melhora há 1 geração(ões)
2026-09-01 23:40:57 | Geração 51/150 — melhor fitness: 214954519 | sem melhora há 2 geração(ões)
2026-09-01 23:41:15 | Geração 52/150 — melhor fitness: 214954519 | sem melhora há 3 geração(ões)
2026-09-01 23:41:32 | Geração 53/150 — melhor fitness: 214954519 | sem melhora há 4 geração(ões)
2026-09-01 23:41:48 | Geração 54/150 — melhor fitness: 214954519 | sem melhora há 5 geração(ões)
2026-09-01 23:42:04 | Geração 55/150 — melhor fitness: 214954519 | sem melhora há 6 geração(ões)
2026-09-01 23:42:21 | Geração 56/150 — melhor fitness: 214954519 | sem melhora há 7 geração(ões)
2026-09-01 23:42:39 | Geração 57/150 — melhor fitness: 214799127 | sem melhora há 0 geração(ões)
2026-09-01 23:42:56 | Geração 58/150 — melhor fitness: 214087779 | sem melhora há 0 geração(ões)
2026-09-01 23:43:13 | Geração 59/150 — melhor fitness: 214087779 | sem melhora há 1 geração(ões)
2026-09-01 23:43:31 | Geração 60/150 — melhor fitness: 214087779 | sem melhora há 2 geração(ões)
2026-09-01 23:43:47 | Geração 61/150 — melhor fitness: 214087779 | sem melhora há 3 geração(ões)
2026-09-01 23:44:04 | Geração 62/150 — melhor fitness: 214087779 | sem melhora há 4 geração(ões)
2026-09-01 23:44:22 | Geração 63/150 — melhor fitness: 213815789 | sem melhora há 0 geração(ões)
2026-09-01 23:44:39 | Geração 64/150 — melhor fitness: 213815789 | sem melhora há 1 geração(ões)
2026-09-01 23:44:56 | Geração 65/150 — melhor fitness: 213341956 | sem melhora há 0 geração(ões)
2026-09-01 23:45:14 | Geração 66/150 — melhor fitness: 213341956 | sem melhora há 1 geração(ões)
2026-09-01 23:45:30 | Geração 67/150 — melhor fitness: 213341956 | sem melhora há 2 geração(ões)
2026-09-01 23:45:47 | Geração 68/150 — melhor fitness: 213341956 | sem melhora há 3 geração(ões)
2026-09-01 23:46:04 | Geração 69/150 — melhor fitness: 213341956 | sem melhora há 4 geração(ões)
