2026-08-28 18:06:49 | ======================================================================
2026-08-28 18:06:49 | Iniciando tarefa — servidor2_tarefa640 | k=27 | seed=42
2026-08-28 18:06:49 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.12, 'population_size': 500, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 250}
2026-08-28 18:06:54 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-28 18:07:16 | Geração 1/250 — melhor fitness: 255424674 | sem melhora há 0 geração(ões)
2026-08-28 18:07:40 | Geração 2/250 — melhor fitness: 245120921 | sem melhora há 0 geração(ões)
2026-08-28 18:08:03 | Geração 3/250 — melhor fitness: 245120921 | sem melhora há 1 geração(ões)
2026-08-28 18:08:25 | Geração 4/250 — melhor fitness: 242542541 | sem melhora há 0 geração(ões)
2026-08-28 18:08:49 | Geração 5/250 — melhor fitness: 242542541 | sem melhora há 1 geração(ões)
2026-08-28 18:09:11 | Geração 6/250 — melhor fitness: 242542541 | sem melhora há 2 geração(ões)
2026-08-28 18:09:35 | Geração 7/250 — melhor fitness: 240874758 | sem melhora há 0 geração(ões)
2026-08-28 18:09:58 | Geração 8/250 — melhor fitness: 240874758 | sem melhora há 1 geração(ões)
2026-08-28 18:10:21 | Geração 9/250 — melhor fitness: 240874758 | sem melhora há 2 geração(ões)
2026-08-28 18:10:44 | Geração 10/250 — melhor fitness: 237749907 | sem melhora há 0 geração(ões)
2026-08-28 18:11:07 | Geração 11/250 — melhor fitness: 237749907 | sem melhora há 1 geração(ões)
2026-08-28 18:11:31 | Geração 12/250 — melhor fitness: 237749907 | sem melhora há 2 geração(ões)
2026-08-28 18:11:55 | Geração 13/250 — melhor fitness: 237749907 | sem melhora há 3 geração(ões)
2026-08-28 18:12:18 | Geração 14/250 — melhor fitness: 236532091 | sem melhora há 0 geração(ões)
2026-08-28 18:12:41 | Geração 15/250 — melhor fitness: 233211097 | sem melhora há 0 geração(ões)
2026-08-28 18:13:03 | Geração 16/250 — melhor fitness: 233211097 | sem melhora há 1 geração(ões)
2026-08-28 18:13:26 | Geração 17/250 — melhor fitness: 233211097 | sem melhora há 2 geração(ões)
2026-08-28 18:13:50 | Geração 18/250 — melhor fitness: 233211097 | sem melhora há 3 geração(ões)
2026-08-28 18:14:14 | Geração 19/250 — melhor fitness: 233211097 | sem melhora há 4 geração(ões)
2026-08-28 18:14:38 | Geração 20/250 — melhor fitness: 233211097 | sem melhora há 5 geração(ões)
2026-08-28 18:15:01 | Geração 21/250 — melhor fitness: 233211097 | sem melhora há 6 geração(ões)
2026-08-28 18:15:24 | Geração 22/250 — melhor fitness: 233211097 | sem melhora há 7 geração(ões)
2026-08-28 18:15:47 | Geração 23/250 — melhor fitness: 233211097 | sem melhora há 8 geração(ões)
2026-08-28 18:16:10 | Geração 24/250 — melhor fitness: 229846897 | sem melhora há 0 geração(ões)
2026-08-28 18:16:33 | Geração 25/250 — melhor fitness: 229846897 | sem melhora há 1 geração(ões)
2026-08-28 18:16:56 | Geração 26/250 — melhor fitness: 229846897 | sem melhora há 2 geração(ões)
2026-08-28 18:17:19 | Geração 27/250 — melhor fitness: 229846897 | sem melhora há 3 geração(ões)
2026-08-28 18:17:42 | Geração 28/250 — melhor fitness: 229846897 | sem melhora há 4 geração(ões)
2026-08-28 18:18:05 | Geração 29/250 — melhor fitness: 229846897 | sem melhora há 5 geração(ões)
