2026-08-31 06:29:25 | ======================================================================
2026-08-31 06:29:25 | Iniciando tarefa — servidor2_tarefa624 | k=27 | seed=42
2026-08-31 06:29:25 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.12, 'population_size': 500, 'elitism_size': 4, 'tournament_size': 7, 'num_generations': 150}
2026-08-31 06:29:29 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-31 06:29:53 | Geração 1/150 — melhor fitness: 248517668 | sem melhora há 0 geração(ões)
2026-08-31 06:30:16 | Geração 2/150 — melhor fitness: 248517668 | sem melhora há 1 geração(ões)
2026-08-31 06:30:39 | Geração 3/150 — melhor fitness: 248517668 | sem melhora há 2 geração(ões)
2026-08-31 06:31:03 | Geração 4/150 — melhor fitness: 244865724 | sem melhora há 0 geração(ões)
2026-08-31 06:31:28 | Geração 5/150 — melhor fitness: 244398851 | sem melhora há 0 geração(ões)
2026-08-31 06:31:51 | Geração 6/150 — melhor fitness: 239442863 | sem melhora há 0 geração(ões)
2026-08-31 06:32:14 | Geração 7/150 — melhor fitness: 238300939 | sem melhora há 0 geração(ões)
2026-08-31 06:32:37 | Geração 8/150 — melhor fitness: 238300939 | sem melhora há 1 geração(ões)
2026-08-31 06:33:00 | Geração 9/150 — melhor fitness: 237456526 | sem melhora há 0 geração(ões)
2026-08-31 06:33:23 | Geração 10/150 — melhor fitness: 237456526 | sem melhora há 1 geração(ões)
2026-08-31 06:33:47 | Geração 11/150 — melhor fitness: 234036327 | sem melhora há 0 geração(ões)
2026-08-31 06:34:12 | Geração 12/150 — melhor fitness: 234036327 | sem melhora há 1 geração(ões)
2026-08-31 06:34:35 | Geração 13/150 — melhor fitness: 234036327 | sem melhora há 2 geração(ões)
2026-08-31 06:34:59 | Geração 14/150 — melhor fitness: 232717607 | sem melhora há 0 geração(ões)
2026-08-31 06:35:22 | Geração 15/150 — melhor fitness: 232404594 | sem melhora há 0 geração(ões)
2026-08-31 06:35:47 | Geração 16/150 — melhor fitness: 228884056 | sem melhora há 0 geração(ões)
2026-08-31 06:36:11 | Geração 17/150 — melhor fitness: 227764151 | sem melhora há 0 geração(ões)
2026-08-31 06:36:35 | Geração 18/150 — melhor fitness: 227764151 | sem melhora há 1 geração(ões)
2026-08-31 06:36:57 | Geração 19/150 — melhor fitness: 227764151 | sem melhora há 2 geração(ões)
2026-08-31 06:37:21 | Geração 20/150 — melhor fitness: 227396861 | sem melhora há 0 geração(ões)
2026-08-31 06:37:44 | Geração 21/150 — melhor fitness: 227396861 | sem melhora há 1 geração(ões)
2026-08-31 06:38:07 | Geração 22/150 — melhor fitness: 224966949 | sem melhora há 0 geração(ões)
