2026-09-03 16:05:03 | ======================================================================
2026-09-03 16:05:03 | Iniciando tarefa — servidor3_tarefa210 | k=27 | seed=42
2026-09-03 16:05:03 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.18, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 150}
2026-09-03 16:05:06 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-03 16:05:26 | Geração 1/150 — melhor fitness: 255548699 | sem melhora há 1 geração(ões)
2026-09-03 16:05:45 | Geração 2/150 — melhor fitness: 255548699 | sem melhora há 2 geração(ões)
2026-09-03 16:06:04 | Geração 3/150 — melhor fitness: 255548699 | sem melhora há 3 geração(ões)
2026-09-03 16:06:23 | Geração 4/150 — melhor fitness: 248202251 | sem melhora há 0 geração(ões)
2026-09-03 16:06:44 | Geração 5/150 — melhor fitness: 248202251 | sem melhora há 1 geração(ões)
2026-09-03 16:07:01 | Geração 6/150 — melhor fitness: 248202251 | sem melhora há 2 geração(ões)
2026-09-03 16:07:20 | Geração 7/150 — melhor fitness: 248114132 | sem melhora há 0 geração(ões)
2026-09-03 16:07:39 | Geração 8/150 — melhor fitness: 248114132 | sem melhora há 1 geração(ões)
2026-09-03 16:08:00 | Geração 9/150 — melhor fitness: 243032715 | sem melhora há 0 geração(ões)
2026-09-03 16:08:19 | Geração 10/150 — melhor fitness: 243032715 | sem melhora há 1 geração(ões)
2026-09-03 16:08:38 | Geração 11/150 — melhor fitness: 243032715 | sem melhora há 2 geração(ões)
2026-09-03 16:08:57 | Geração 12/150 — melhor fitness: 243032715 | sem melhora há 3 geração(ões)
2026-09-03 16:09:15 | Geração 13/150 — melhor fitness: 243032715 | sem melhora há 4 geração(ões)
2026-09-03 16:09:34 | Geração 14/150 — melhor fitness: 240053227 | sem melhora há 0 geração(ões)
2026-09-03 16:09:54 | Geração 15/150 — melhor fitness: 240053227 | sem melhora há 1 geração(ões)
2026-09-03 16:10:13 | Geração 16/150 — melhor fitness: 240053227 | sem melhora há 2 geração(ões)
2026-09-03 16:10:32 | Geração 17/150 — melhor fitness: 240053227 | sem melhora há 3 geração(ões)
2026-09-03 16:10:52 | Geração 18/150 — melhor fitness: 240053227 | sem melhora há 4 geração(ões)
2026-09-03 16:11:10 | Geração 19/150 — melhor fitness: 238769353 | sem melhora há 0 geração(ões)
2026-09-03 16:11:29 | Geração 20/150 — melhor fitness: 238769353 | sem melhora há 1 geração(ões)
2026-09-03 16:11:48 | Geração 21/150 — melhor fitness: 238769353 | sem melhora há 2 geração(ões)
2026-09-03 16:12:07 | Geração 22/150 — melhor fitness: 238769353 | sem melhora há 3 geração(ões)
2026-09-03 16:12:26 | Geração 23/150 — melhor fitness: 238769353 | sem melhora há 4 geração(ões)
2026-09-03 16:12:46 | Geração 24/150 — melhor fitness: 238769353 | sem melhora há 5 geração(ões)
2026-09-03 16:13:06 | Geração 25/150 — melhor fitness: 238769353 | sem melhora há 6 geração(ões)
2026-09-03 16:13:25 | Geração 26/150 — melhor fitness: 238769353 | sem melhora há 7 geração(ões)
2026-09-03 16:13:43 | Geração 27/150 — melhor fitness: 238769353 | sem melhora há 8 geração(ões)
2026-09-03 16:14:02 | Geração 28/150 — melhor fitness: 237153762 | sem melhora há 0 geração(ões)
2026-09-03 16:14:20 | Geração 29/150 — melhor fitness: 237153762 | sem melhora há 1 geração(ões)
2026-09-03 16:14:40 | Geração 30/150 — melhor fitness: 237153762 | sem melhora há 2 geração(ões)
2026-09-03 16:14:58 | Geração 31/150 — melhor fitness: 236396344 | sem melhora há 0 geração(ões)
2026-09-03 16:15:18 | Geração 32/150 — melhor fitness: 236396344 | sem melhora há 1 geração(ões)
2026-09-03 16:15:37 | Geração 33/150 — melhor fitness: 236396344 | sem melhora há 2 geração(ões)
2026-09-03 16:15:56 | Geração 34/150 — melhor fitness: 236396344 | sem melhora há 3 geração(ões)
2026-09-03 16:16:16 | Geração 35/150 — melhor fitness: 236396344 | sem melhora há 4 geração(ões)
2026-09-03 16:16:35 | Geração 36/150 — melhor fitness: 236396344 | sem melhora há 5 geração(ões)
2026-09-03 16:16:54 | Geração 37/150 — melhor fitness: 236396344 | sem melhora há 6 geração(ões)
2026-09-03 16:17:13 | Geração 38/150 — melhor fitness: 236396344 | sem melhora há 7 geração(ões)
2026-09-03 16:17:31 | Geração 39/150 — melhor fitness: 236396344 | sem melhora há 8 geração(ões)
2026-09-03 16:17:50 | Geração 40/150 — melhor fitness: 236396344 | sem melhora há 9 geração(ões)
2026-09-03 16:18:08 | Geração 41/150 — melhor fitness: 236396344 | sem melhora há 10 geração(ões)
2026-09-03 16:18:26 | Geração 42/150 — melhor fitness: 236091390 | sem melhora há 0 geração(ões)
2026-09-03 16:18:46 | Geração 43/150 — melhor fitness: 234888543 | sem melhora há 0 geração(ões)
2026-09-03 16:19:04 | Geração 44/150 — melhor fitness: 234888543 | sem melhora há 1 geração(ões)
2026-09-03 16:19:24 | Geração 45/150 — melhor fitness: 234888543 | sem melhora há 2 geração(ões)
2026-09-03 16:19:43 | Geração 46/150 — melhor fitness: 234888543 | sem melhora há 3 geração(ões)
2026-09-03 16:20:02 | Geração 47/150 — melhor fitness: 234888543 | sem melhora há 4 geração(ões)
2026-09-03 16:20:22 | Geração 48/150 — melhor fitness: 234888543 | sem melhora há 5 geração(ões)
2026-09-03 16:20:39 | Geração 49/150 — melhor fitness: 234888543 | sem melhora há 6 geração(ões)
