2026-08-31 16:00:37 | ======================================================================
2026-08-31 16:00:37 | Iniciando tarefa — servidor2_tarefa101 | k=27 | seed=42
2026-08-31 16:00:37 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.12, 'population_size': 200, 'elitism_size': 12, 'tournament_size': 5, 'num_generations': 350}
2026-08-31 16:00:39 | Geração 0 (inicial) — melhor fitness: 266064494
2026-08-31 16:00:47 | Geração 1/350 — melhor fitness: 255255744 | sem melhora há 0 geração(ões)
2026-08-31 16:00:57 | Geração 2/350 — melhor fitness: 251580201 | sem melhora há 0 geração(ões)
2026-08-31 16:01:06 | Geração 3/350 — melhor fitness: 251580201 | sem melhora há 1 geração(ões)
2026-08-31 16:01:15 | Geração 4/350 — melhor fitness: 247362380 | sem melhora há 0 geração(ões)
2026-08-31 16:01:23 | Geração 5/350 — melhor fitness: 246306942 | sem melhora há 0 geração(ões)
2026-08-31 16:01:32 | Geração 6/350 — melhor fitness: 246306942 | sem melhora há 1 geração(ões)
2026-08-31 16:01:41 | Geração 7/350 — melhor fitness: 246306942 | sem melhora há 2 geração(ões)
2026-08-31 16:01:51 | Geração 8/350 — melhor fitness: 239410130 | sem melhora há 0 geração(ões)
2026-08-31 16:02:00 | Geração 9/350 — melhor fitness: 239410130 | sem melhora há 1 geração(ões)
2026-08-31 16:02:10 | Geração 10/350 — melhor fitness: 236809822 | sem melhora há 0 geração(ões)
2026-08-31 16:02:18 | Geração 11/350 — melhor fitness: 236798722 | sem melhora há 0 geração(ões)
2026-08-31 16:02:27 | Geração 12/350 — melhor fitness: 236798722 | sem melhora há 1 geração(ões)
2026-08-31 16:02:36 | Geração 13/350 — melhor fitness: 232920493 | sem melhora há 0 geração(ões)
2026-08-31 16:02:46 | Geração 14/350 — melhor fitness: 232920493 | sem melhora há 1 geração(ões)
2026-08-31 16:02:54 | Geração 15/350 — melhor fitness: 232920493 | sem melhora há 2 geração(ões)
2026-08-31 16:03:03 | Geração 16/350 — melhor fitness: 232920493 | sem melhora há 3 geração(ões)
2026-08-31 16:03:11 | Geração 17/350 — melhor fitness: 232920493 | sem melhora há 4 geração(ões)
2026-08-31 16:03:20 | Geração 18/350 — melhor fitness: 232920493 | sem melhora há 5 geração(ões)
2026-08-31 16:03:29 | Geração 19/350 — melhor fitness: 232775091 | sem melhora há 0 geração(ões)
2026-08-31 16:03:39 | Geração 20/350 — melhor fitness: 230229278 | sem melhora há 0 geração(ões)
2026-08-31 16:03:48 | Geração 21/350 — melhor fitness: 230229278 | sem melhora há 1 geração(ões)
2026-08-31 16:03:57 | Geração 22/350 — melhor fitness: 228589340 | sem melhora há 0 geração(ões)
2026-08-31 16:04:06 | Geração 23/350 — melhor fitness: 224140861 | sem melhora há 0 geração(ões)
2026-08-31 16:04:14 | Geração 24/350 — melhor fitness: 224140861 | sem melhora há 1 geração(ões)
2026-08-31 16:04:23 | Geração 25/350 — melhor fitness: 224140861 | sem melhora há 2 geração(ões)
2026-08-31 16:04:32 | Geração 26/350 — melhor fitness: 223128639 | sem melhora há 0 geração(ões)
2026-08-31 16:04:42 | Geração 27/350 — melhor fitness: 222609390 | sem melhora há 0 geração(ões)
2026-08-31 16:04:50 | Geração 28/350 — melhor fitness: 222609390 | sem melhora há 1 geração(ões)
2026-08-31 16:05:00 | Geração 29/350 — melhor fitness: 222609390 | sem melhora há 2 geração(ões)
2026-08-31 16:05:09 | Geração 30/350 — melhor fitness: 221891088 | sem melhora há 0 geração(ões)
2026-08-31 16:05:17 | Geração 31/350 — melhor fitness: 221891088 | sem melhora há 1 geração(ões)
2026-08-31 16:05:27 | Geração 32/350 — melhor fitness: 221891088 | sem melhora há 2 geração(ões)
2026-08-31 16:05:36 | Geração 33/350 — melhor fitness: 221891088 | sem melhora há 3 geração(ões)
2026-08-31 16:05:45 | Geração 34/350 — melhor fitness: 221891088 | sem melhora há 4 geração(ões)
2026-08-31 16:05:54 | Geração 35/350 — melhor fitness: 221891088 | sem melhora há 5 geração(ões)
2026-08-31 16:06:03 | Geração 36/350 — melhor fitness: 221891088 | sem melhora há 6 geração(ões)
2026-08-31 16:06:12 | Geração 37/350 — melhor fitness: 221891088 | sem melhora há 7 geração(ões)
2026-08-31 16:06:21 | Geração 38/350 — melhor fitness: 221891088 | sem melhora há 8 geração(ões)
2026-08-31 16:06:29 | Geração 39/350 — melhor fitness: 221891088 | sem melhora há 9 geração(ões)
2026-08-31 16:06:38 | Geração 40/350 — melhor fitness: 221891088 | sem melhora há 10 geração(ões)
2026-08-31 16:06:47 | Geração 41/350 — melhor fitness: 221891088 | sem melhora há 11 geração(ões)
2026-08-31 16:06:56 | Geração 42/350 — melhor fitness: 221891088 | sem melhora há 12 geração(ões)
2026-08-31 16:07:05 | Geração 43/350 — melhor fitness: 221891088 | sem melhora há 13 geração(ões)
