2026-09-02 10:23:16 | ======================================================================
2026-09-02 10:23:16 | Iniciando tarefa — servidor2_tarefa573 | k=27 | seed=42
2026-09-02 10:23:16 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.12, 'population_size': 200, 'elitism_size': 4, 'tournament_size': 10, 'num_generations': 150}
2026-09-02 10:23:18 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-02 10:23:27 | Geração 1/150 — melhor fitness: 255958299 | sem melhora há 0 geração(ões)
2026-09-02 10:23:36 | Geração 2/150 — melhor fitness: 252313031 | sem melhora há 0 geração(ões)
2026-09-02 10:23:46 | Geração 3/150 — melhor fitness: 252132358 | sem melhora há 0 geração(ões)
2026-09-02 10:23:55 | Geração 4/150 — melhor fitness: 236805903 | sem melhora há 0 geração(ões)
2026-09-02 10:24:04 | Geração 5/150 — melhor fitness: 236805903 | sem melhora há 1 geração(ões)
2026-09-02 10:24:14 | Geração 6/150 — melhor fitness: 236805903 | sem melhora há 2 geração(ões)
2026-09-02 10:24:23 | Geração 7/150 — melhor fitness: 236805903 | sem melhora há 3 geração(ões)
2026-09-02 10:24:34 | Geração 8/150 — melhor fitness: 232345092 | sem melhora há 0 geração(ões)
2026-09-02 10:24:43 | Geração 9/150 — melhor fitness: 232345092 | sem melhora há 1 geração(ões)
2026-09-02 10:24:53 | Geração 10/150 — melhor fitness: 232345092 | sem melhora há 2 geração(ões)
2026-09-02 10:25:02 | Geração 11/150 — melhor fitness: 232345092 | sem melhora há 3 geração(ões)
2026-09-02 10:25:11 | Geração 12/150 — melhor fitness: 232107083 | sem melhora há 0 geração(ões)
2026-09-02 10:25:21 | Geração 13/150 — melhor fitness: 230486668 | sem melhora há 0 geração(ões)
2026-09-02 10:25:30 | Geração 14/150 — melhor fitness: 226818667 | sem melhora há 0 geração(ões)
2026-09-02 10:25:40 | Geração 15/150 — melhor fitness: 220618887 | sem melhora há 0 geração(ões)
2026-09-02 10:25:49 | Geração 16/150 — melhor fitness: 220618887 | sem melhora há 1 geração(ões)
2026-09-02 10:25:58 | Geração 17/150 — melhor fitness: 220618887 | sem melhora há 2 geração(ões)
2026-09-02 10:26:08 | Geração 18/150 — melhor fitness: 220393357 | sem melhora há 0 geração(ões)
2026-09-02 10:26:17 | Geração 19/150 — melhor fitness: 220393357 | sem melhora há 1 geração(ões)
2026-09-02 10:26:27 | Geração 20/150 — melhor fitness: 220393357 | sem melhora há 2 geração(ões)
2026-09-02 10:26:35 | Geração 21/150 — melhor fitness: 220393357 | sem melhora há 3 geração(ões)
2026-09-02 10:26:45 | Geração 22/150 — melhor fitness: 220262622 | sem melhora há 0 geração(ões)
2026-09-02 10:26:55 | Geração 23/150 — melhor fitness: 220262622 | sem melhora há 1 geração(ões)
2026-09-02 10:27:05 | Geração 24/150 — melhor fitness: 220262622 | sem melhora há 2 geração(ões)
2026-09-02 10:27:15 | Geração 25/150 — melhor fitness: 220262622 | sem melhora há 3 geração(ões)
2026-09-02 10:27:24 | Geração 26/150 — melhor fitness: 220262622 | sem melhora há 4 geração(ões)
2026-09-02 10:27:34 | Geração 27/150 — melhor fitness: 220262622 | sem melhora há 5 geração(ões)
2026-09-02 10:27:43 | Geração 28/150 — melhor fitness: 220262622 | sem melhora há 6 geração(ões)
2026-09-02 10:27:53 | Geração 29/150 — melhor fitness: 220262622 | sem melhora há 7 geração(ões)
2026-09-02 10:28:02 | Geração 30/150 — melhor fitness: 220262622 | sem melhora há 8 geração(ões)
2026-09-02 10:28:12 | Geração 31/150 — melhor fitness: 219443290 | sem melhora há 0 geração(ões)
2026-09-02 10:28:21 | Geração 32/150 — melhor fitness: 219443290 | sem melhora há 1 geração(ões)
2026-09-02 10:28:31 | Geração 33/150 — melhor fitness: 219443290 | sem melhora há 2 geração(ões)
2026-09-02 10:28:40 | Geração 34/150 — melhor fitness: 219443290 | sem melhora há 3 geração(ões)
2026-09-02 10:28:49 | Geração 35/150 — melhor fitness: 219443290 | sem melhora há 4 geração(ões)
2026-09-02 10:28:59 | Geração 36/150 — melhor fitness: 219443290 | sem melhora há 5 geração(ões)
2026-09-02 10:29:10 | Geração 37/150 — melhor fitness: 219443290 | sem melhora há 6 geração(ões)
2026-09-02 10:29:19 | Geração 38/150 — melhor fitness: 219443290 | sem melhora há 7 geração(ões)
2026-09-02 10:29:29 | Geração 39/150 — melhor fitness: 219443290 | sem melhora há 8 geração(ões)
2026-09-02 10:29:39 | Geração 40/150 — melhor fitness: 219443290 | sem melhora há 9 geração(ões)
2026-09-02 10:29:48 | Geração 41/150 — melhor fitness: 219443290 | sem melhora há 10 geração(ões)
2026-09-02 10:29:57 | Geração 42/150 — melhor fitness: 219443290 | sem melhora há 11 geração(ões)
2026-09-02 10:30:06 | Geração 43/150 — melhor fitness: 219443290 | sem melhora há 12 geração(ões)
2026-09-02 10:30:16 | Geração 44/150 — melhor fitness: 219443290 | sem melhora há 13 geração(ões)
2026-09-02 10:30:25 | Geração 45/150 — melhor fitness: 219443290 | sem melhora há 14 geração(ões)
2026-09-02 10:30:35 | Geração 46/150 — melhor fitness: 219443290 | sem melhora há 15 geração(ões)
2026-09-02 10:30:46 | Geração 47/150 — melhor fitness: 219443290 | sem melhora há 16 geração(ões)
2026-09-02 10:30:55 | Geração 48/150 — melhor fitness: 219443290 | sem melhora há 17 geração(ões)
2026-09-02 10:31:05 | Geração 49/150 — melhor fitness: 219443290 | sem melhora há 18 geração(ões)
2026-09-02 10:31:14 | Geração 50/150 — melhor fitness: 219443290 | sem melhora há 19 geração(ões)
2026-09-02 10:31:23 | Geração 51/150 — melhor fitness: 219443290 | sem melhora há 20 geração(ões)
2026-09-02 10:31:32 | Geração 52/150 — melhor fitness: 219443290 | sem melhora há 21 geração(ões)
2026-09-02 10:31:42 | Geração 53/150 — melhor fitness: 219443290 | sem melhora há 22 geração(ões)
2026-09-02 10:31:52 | Geração 54/150 — melhor fitness: 219443290 | sem melhora há 23 geração(ões)
2026-09-02 10:32:01 | Geração 55/150 — melhor fitness: 219443290 | sem melhora há 24 geração(ões)
2026-09-02 10:32:11 | Geração 56/150 — melhor fitness: 219443290 | sem melhora há 25 geração(ões)
2026-09-02 10:32:21 | Geração 57/150 — melhor fitness: 219443290 | sem melhora há 26 geração(ões)
2026-09-02 10:32:30 | Geração 58/150 — melhor fitness: 219443290 | sem melhora há 27 geração(ões)
2026-09-02 10:32:40 | Geração 59/150 — melhor fitness: 219443290 | sem melhora há 28 geração(ões)
2026-09-02 10:32:49 | Geração 60/150 — melhor fitness: 219443290 | sem melhora há 29 geração(ões)
2026-09-02 10:32:58 | Geração 61/150 — melhor fitness: 219443290 | sem melhora há 30 geração(ões)
2026-09-02 10:33:07 | Geração 62/150 — melhor fitness: 219443290 | sem melhora há 31 geração(ões)
2026-09-02 10:33:17 | Geração 63/150 — melhor fitness: 219443290 | sem melhora há 32 geração(ões)
2026-09-02 10:33:26 | Geração 64/150 — melhor fitness: 219443290 | sem melhora há 33 geração(ões)
2026-09-02 10:33:36 | Geração 65/150 — melhor fitness: 219443290 | sem melhora há 34 geração(ões)
2026-09-02 10:33:45 | Geração 66/150 — melhor fitness: 219443290 | sem melhora há 35 geração(ões)
2026-09-02 10:33:55 | Geração 67/150 — melhor fitness: 219443290 | sem melhora há 36 geração(ões)
2026-09-02 10:34:05 | Geração 68/150 — melhor fitness: 219443290 | sem melhora há 37 geração(ões)
2026-09-02 10:34:14 | Geração 69/150 — melhor fitness: 219060854 | sem melhora há 0 geração(ões)
2026-09-02 10:34:24 | Geração 70/150 — melhor fitness: 219060854 | sem melhora há 1 geração(ões)
2026-09-02 10:34:33 | Geração 71/150 — melhor fitness: 219060854 | sem melhora há 2 geração(ões)
2026-09-02 10:34:43 | Geração 72/150 — melhor fitness: 219060854 | sem melhora há 3 geração(ões)
2026-09-02 10:34:52 | Geração 73/150 — melhor fitness: 219060854 | sem melhora há 4 geração(ões)
2026-09-02 10:35:01 | Geração 74/150 — melhor fitness: 219060854 | sem melhora há 5 geração(ões)
2026-09-02 10:35:10 | Geração 75/150 — melhor fitness: 218370756 | sem melhora há 0 geração(ões)
2026-09-02 10:35:20 | Geração 76/150 — melhor fitness: 218370756 | sem melhora há 1 geração(ões)
2026-09-02 10:35:29 | Geração 77/150 — melhor fitness: 218370756 | sem melhora há 2 geração(ões)
2026-09-02 10:35:38 | Geração 78/150 — melhor fitness: 218370756 | sem melhora há 3 geração(ões)
2026-09-02 10:35:48 | Geração 79/150 — melhor fitness: 218370756 | sem melhora há 4 geração(ões)
2026-09-02 10:35:58 | Geração 80/150 — melhor fitness: 218370756 | sem melhora há 5 geração(ões)
2026-09-02 10:36:07 | Geração 81/150 — melhor fitness: 218370756 | sem melhora há 6 geração(ões)
2026-09-02 10:36:16 | Geração 82/150 — melhor fitness: 218370756 | sem melhora há 7 geração(ões)
2026-09-02 10:36:25 | Geração 83/150 — melhor fitness: 218370756 | sem melhora há 8 geração(ões)
2026-09-02 10:36:35 | Geração 84/150 — melhor fitness: 218370756 | sem melhora há 9 geração(ões)
2026-09-02 10:36:45 | Geração 85/150 — melhor fitness: 218370756 | sem melhora há 10 geração(ões)
2026-09-02 10:36:55 | Geração 86/150 — melhor fitness: 218370756 | sem melhora há 11 geração(ões)
2026-09-02 10:37:05 | Geração 87/150 — melhor fitness: 218370756 | sem melhora há 12 geração(ões)
2026-09-02 10:37:15 | Geração 88/150 — melhor fitness: 218370756 | sem melhora há 13 geração(ões)
2026-09-02 10:37:25 | Geração 89/150 — melhor fitness: 218246216 | sem melhora há 0 geração(ões)
2026-09-02 10:37:36 | Geração 90/150 — melhor fitness: 218246216 | sem melhora há 1 geração(ões)
2026-09-02 10:37:45 | Geração 91/150 — melhor fitness: 218246216 | sem melhora há 2 geração(ões)
2026-09-02 10:37:55 | Geração 92/150 — melhor fitness: 218246216 | sem melhora há 3 geração(ões)
2026-09-02 10:38:04 | Geração 93/150 — melhor fitness: 218246216 | sem melhora há 4 geração(ões)
2026-09-02 10:38:15 | Geração 94/150 — melhor fitness: 218246216 | sem melhora há 5 geração(ões)
2026-09-02 10:38:24 | Geração 95/150 — melhor fitness: 218246216 | sem melhora há 6 geração(ões)
2026-09-02 10:38:34 | Geração 96/150 — melhor fitness: 218246216 | sem melhora há 7 geração(ões)
