2026-08-30 01:37:27 | ======================================================================
2026-08-30 01:37:27 | Iniciando tarefa — servidor0_tarefa635 | k=27 | seed=42
2026-08-30 01:37:27 | Hiperparâmetros: {'crossover_rate': 0.9, 'mutation_rate': 0.12, 'population_size': 500, 'elitism_size': 8, 'tournament_size': 7, 'num_generations': 350}
2026-08-30 01:37:32 | Geração 0 (inicial) — melhor fitness: 255548699
2026-08-30 01:38:19 | Geração 1/350 — melhor fitness: 248517668 | sem melhora há 0 geração(ões)
2026-08-30 01:39:04 | Geração 2/350 — melhor fitness: 248517668 | sem melhora há 1 geração(ões)
2026-08-30 01:39:52 | Geração 3/350 — melhor fitness: 248517668 | sem melhora há 2 geração(ões)
2026-08-30 01:40:39 | Geração 4/350 — melhor fitness: 246007168 | sem melhora há 0 geração(ões)
2026-08-30 01:41:28 | Geração 5/350 — melhor fitness: 246007168 | sem melhora há 1 geração(ões)
2026-08-30 01:42:12 | Geração 6/350 — melhor fitness: 245955102 | sem melhora há 0 geração(ões)
2026-08-30 01:42:57 | Geração 7/350 — melhor fitness: 245121756 | sem melhora há 0 geração(ões)
2026-08-30 01:43:43 | Geração 8/350 — melhor fitness: 242372376 | sem melhora há 0 geração(ões)
2026-08-30 01:44:28 | Geração 9/350 — melhor fitness: 233316838 | sem melhora há 0 geração(ões)
2026-08-30 01:45:14 | Geração 10/350 — melhor fitness: 233316838 | sem melhora há 1 geração(ões)
2026-08-30 01:46:01 | Geração 11/350 — melhor fitness: 233316838 | sem melhora há 2 geração(ões)
2026-08-30 01:46:48 | Geração 12/350 — melhor fitness: 232559338 | sem melhora há 0 geração(ões)
2026-08-30 01:47:34 | Geração 13/350 — melhor fitness: 232559338 | sem melhora há 1 geração(ões)
2026-08-30 01:48:20 | Geração 14/350 — melhor fitness: 232559338 | sem melhora há 2 geração(ões)
2026-08-30 01:49:06 | Geração 15/350 — melhor fitness: 232559338 | sem melhora há 3 geração(ões)
2026-08-30 01:49:54 | Geração 16/350 — melhor fitness: 232559338 | sem melhora há 4 geração(ões)
2026-08-30 01:50:40 | Geração 17/350 — melhor fitness: 232559338 | sem melhora há 5 geração(ões)
2026-08-30 01:51:27 | Geração 18/350 — melhor fitness: 232559338 | sem melhora há 6 geração(ões)
2026-08-30 01:52:13 | Geração 19/350 — melhor fitness: 232559338 | sem melhora há 7 geração(ões)
2026-08-30 01:53:00 | Geração 20/350 — melhor fitness: 232559338 | sem melhora há 8 geração(ões)
2026-08-30 01:53:47 | Geração 21/350 — melhor fitness: 232480769 | sem melhora há 0 geração(ões)
2026-08-30 01:54:34 | Geração 22/350 — melhor fitness: 232480769 | sem melhora há 1 geração(ões)
2026-08-30 01:55:18 | Geração 23/350 — melhor fitness: 232480769 | sem melhora há 2 geração(ões)
2026-08-30 01:56:05 | Geração 24/350 — melhor fitness: 231740453 | sem melhora há 0 geração(ões)
2026-08-30 01:56:53 | Geração 25/350 — melhor fitness: 229898762 | sem melhora há 0 geração(ões)
2026-08-30 01:57:40 | Geração 26/350 — melhor fitness: 229898762 | sem melhora há 1 geração(ões)
2026-08-30 01:58:24 | Geração 27/350 — melhor fitness: 229898762 | sem melhora há 2 geração(ões)
2026-08-30 01:59:10 | Geração 28/350 — melhor fitness: 229898762 | sem melhora há 3 geração(ões)
2026-08-30 01:59:56 | Geração 29/350 — melhor fitness: 228844208 | sem melhora há 0 geração(ões)
2026-08-30 02:00:42 | Geração 30/350 — melhor fitness: 228844208 | sem melhora há 1 geração(ões)
2026-08-30 02:01:28 | Geração 31/350 — melhor fitness: 228844208 | sem melhora há 2 geração(ões)
2026-08-30 02:02:13 | Geração 32/350 — melhor fitness: 226279683 | sem melhora há 0 geração(ões)
2026-08-30 02:02:59 | Geração 33/350 — melhor fitness: 226279683 | sem melhora há 1 geração(ões)
2026-08-30 02:03:44 | Geração 34/350 — melhor fitness: 226279683 | sem melhora há 2 geração(ões)
2026-08-30 02:04:31 | Geração 35/350 — melhor fitness: 225203265 | sem melhora há 0 geração(ões)
2026-08-30 02:05:17 | Geração 36/350 — melhor fitness: 225203265 | sem melhora há 1 geração(ões)
2026-08-30 02:06:03 | Geração 37/350 — melhor fitness: 225203265 | sem melhora há 2 geração(ões)
2026-08-30 02:06:48 | Geração 38/350 — melhor fitness: 225203265 | sem melhora há 3 geração(ões)
2026-08-30 02:07:35 | Geração 39/350 — melhor fitness: 225203265 | sem melhora há 4 geração(ões)
2026-08-30 02:08:23 | Geração 40/350 — melhor fitness: 225203265 | sem melhora há 5 geração(ões)
2026-08-30 02:09:09 | Geração 41/350 — melhor fitness: 225203265 | sem melhora há 6 geração(ões)
2026-08-30 02:09:54 | Geração 42/350 — melhor fitness: 224136843 | sem melhora há 0 geração(ões)
2026-08-30 02:10:42 | Geração 43/350 — melhor fitness: 224136843 | sem melhora há 1 geração(ões)
2026-08-30 02:11:27 | Geração 44/350 — melhor fitness: 224136843 | sem melhora há 2 geração(ões)
2026-08-30 02:12:14 | Geração 45/350 — melhor fitness: 224136843 | sem melhora há 3 geração(ões)
2026-08-30 02:12:59 | Geração 46/350 — melhor fitness: 224136843 | sem melhora há 4 geração(ões)
2026-08-30 02:13:45 | Geração 47/350 — melhor fitness: 224136843 | sem melhora há 5 geração(ões)
2026-08-30 02:14:30 | Geração 48/350 — melhor fitness: 224136843 | sem melhora há 6 geração(ões)
2026-08-30 02:15:17 | Geração 49/350 — melhor fitness: 224136843 | sem melhora há 7 geração(ões)
2026-08-30 02:16:04 | Geração 50/350 — melhor fitness: 223247761 | sem melhora há 0 geração(ões)
2026-08-30 02:16:50 | Geração 51/350 — melhor fitness: 223247761 | sem melhora há 1 geração(ões)
2026-08-30 02:17:36 | Geração 52/350 — melhor fitness: 223247761 | sem melhora há 2 geração(ões)
2026-08-30 02:18:20 | Geração 53/350 — melhor fitness: 223247761 | sem melhora há 3 geração(ões)
2026-08-30 02:19:06 | Geração 54/350 — melhor fitness: 223247761 | sem melhora há 4 geração(ões)
2026-08-30 02:19:51 | Geração 55/350 — melhor fitness: 223247761 | sem melhora há 5 geração(ões)
2026-08-30 02:20:38 | Geração 56/350 — melhor fitness: 223247761 | sem melhora há 6 geração(ões)
2026-08-30 02:21:24 | Geração 57/350 — melhor fitness: 223247761 | sem melhora há 7 geração(ões)
2026-08-30 02:22:11 | Geração 58/350 — melhor fitness: 223247761 | sem melhora há 8 geração(ões)
2026-08-30 02:22:58 | Geração 59/350 — melhor fitness: 223247761 | sem melhora há 9 geração(ões)
2026-08-30 02:23:44 | Geração 60/350 — melhor fitness: 223247761 | sem melhora há 10 geração(ões)
2026-08-30 02:24:31 | Geração 61/350 — melhor fitness: 223247761 | sem melhora há 11 geração(ões)
2026-08-30 02:25:18 | Geração 62/350 — melhor fitness: 223247761 | sem melhora há 12 geração(ões)
2026-08-30 02:26:03 | Geração 63/350 — melhor fitness: 222448295 | sem melhora há 0 geração(ões)
2026-08-30 02:26:49 | Geração 64/350 — melhor fitness: 222448295 | sem melhora há 1 geração(ões)
2026-08-30 02:27:35 | Geração 65/350 — melhor fitness: 222448295 | sem melhora há 2 geração(ões)
2026-08-30 02:28:20 | Geração 66/350 — melhor fitness: 222448295 | sem melhora há 3 geração(ões)
2026-08-30 02:29:05 | Geração 67/350 — melhor fitness: 222448295 | sem melhora há 4 geração(ões)
2026-08-30 02:29:51 | Geração 68/350 — melhor fitness: 222448295 | sem melhora há 5 geração(ões)
2026-08-30 02:30:39 | Geração 69/350 — melhor fitness: 222448295 | sem melhora há 6 geração(ões)
2026-08-30 02:31:26 | Geração 70/350 — melhor fitness: 222448295 | sem melhora há 7 geração(ões)
2026-08-30 02:32:12 | Geração 71/350 — melhor fitness: 222448295 | sem melhora há 8 geração(ões)
