2026-08-31 13:48:04 | ======================================================================
2026-08-31 13:48:04 | Iniciando tarefa — servidor2_tarefa5 | k=27 | seed=42
2026-08-31 13:48:04 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.08, 'population_size': 200, 'elitism_size': 4, 'tournament_size': 7, 'num_generations': 350}
2026-08-31 13:48:06 | Geração 0 (inicial) — melhor fitness: 266064494
2026-08-31 13:48:13 | Geração 1/350 — melhor fitness: 259011660 | sem melhora há 0 geração(ões)
2026-08-31 13:48:19 | Geração 2/350 — melhor fitness: 251709962 | sem melhora há 0 geração(ões)
2026-08-31 13:48:26 | Geração 3/350 — melhor fitness: 251709962 | sem melhora há 1 geração(ões)
2026-08-31 13:48:33 | Geração 4/350 — melhor fitness: 248245526 | sem melhora há 0 geração(ões)
2026-08-31 13:48:40 | Geração 5/350 — melhor fitness: 245385857 | sem melhora há 0 geração(ões)
2026-08-31 13:48:47 | Geração 6/350 — melhor fitness: 245191332 | sem melhora há 0 geração(ões)
2026-08-31 13:48:53 | Geração 7/350 — melhor fitness: 240222416 | sem melhora há 0 geração(ões)
2026-08-31 13:49:00 | Geração 8/350 — melhor fitness: 236990177 | sem melhora há 0 geração(ões)
2026-08-31 13:49:08 | Geração 9/350 — melhor fitness: 236519293 | sem melhora há 0 geração(ões)
2026-08-31 13:49:14 | Geração 10/350 — melhor fitness: 236519293 | sem melhora há 1 geração(ões)
2026-08-31 13:49:20 | Geração 11/350 — melhor fitness: 233731258 | sem melhora há 0 geração(ões)
2026-08-31 13:49:27 | Geração 12/350 — melhor fitness: 232539418 | sem melhora há 0 geração(ões)
2026-08-31 13:49:34 | Geração 13/350 — melhor fitness: 232539418 | sem melhora há 1 geração(ões)
2026-08-31 13:49:40 | Geração 14/350 — melhor fitness: 231230856 | sem melhora há 0 geração(ões)
2026-08-31 13:49:47 | Geração 15/350 — melhor fitness: 231230856 | sem melhora há 1 geração(ões)
2026-08-31 13:49:54 | Geração 16/350 — melhor fitness: 230764691 | sem melhora há 0 geração(ões)
2026-08-31 13:50:00 | Geração 17/350 — melhor fitness: 230554460 | sem melhora há 0 geração(ões)
2026-08-31 13:50:07 | Geração 18/350 — melhor fitness: 230529346 | sem melhora há 0 geração(ões)
2026-08-31 13:50:14 | Geração 19/350 — melhor fitness: 230529346 | sem melhora há 1 geração(ões)
2026-08-31 13:50:21 | Geração 20/350 — melhor fitness: 229121464 | sem melhora há 0 geração(ões)
2026-08-31 13:50:28 | Geração 21/350 — melhor fitness: 228462053 | sem melhora há 0 geração(ões)
2026-08-31 13:50:35 | Geração 22/350 — melhor fitness: 228462053 | sem melhora há 1 geração(ões)
2026-08-31 13:50:41 | Geração 23/350 — melhor fitness: 227122534 | sem melhora há 0 geração(ões)
2026-08-31 13:50:48 | Geração 24/350 — melhor fitness: 227122534 | sem melhora há 1 geração(ões)
2026-08-31 13:50:55 | Geração 25/350 — melhor fitness: 225116026 | sem melhora há 0 geração(ões)
2026-08-31 13:51:02 | Geração 26/350 — melhor fitness: 225116026 | sem melhora há 1 geração(ões)
2026-08-31 13:51:08 | Geração 27/350 — melhor fitness: 225116026 | sem melhora há 2 geração(ões)
2026-08-31 13:51:15 | Geração 28/350 — melhor fitness: 225116026 | sem melhora há 3 geração(ões)
2026-08-31 13:51:22 | Geração 29/350 — melhor fitness: 225116026 | sem melhora há 4 geração(ões)
2026-08-31 13:51:29 | Geração 30/350 — melhor fitness: 225116026 | sem melhora há 5 geração(ões)
2026-08-31 13:51:35 | Geração 31/350 — melhor fitness: 225116026 | sem melhora há 6 geração(ões)
2026-08-31 13:51:42 | Geração 32/350 — melhor fitness: 224898876 | sem melhora há 0 geração(ões)
2026-08-31 13:51:49 | Geração 33/350 — melhor fitness: 224898876 | sem melhora há 1 geração(ões)
2026-08-31 13:51:55 | Geração 34/350 — melhor fitness: 224898876 | sem melhora há 2 geração(ões)
2026-08-31 13:52:02 | Geração 35/350 — melhor fitness: 224898876 | sem melhora há 3 geração(ões)
2026-08-31 13:52:09 | Geração 36/350 — melhor fitness: 224898876 | sem melhora há 4 geração(ões)
2026-08-31 13:52:16 | Geração 37/350 — melhor fitness: 224443890 | sem melhora há 0 geração(ões)
2026-08-31 13:52:23 | Geração 38/350 — melhor fitness: 224443890 | sem melhora há 1 geração(ões)
