2026-09-04 01:48:21 | ======================================================================
2026-09-04 01:48:21 | Iniciando tarefa — servidor3_tarefa183 | k=27 | seed=42
2026-09-04 01:48:21 | Hiperparâmetros: {'crossover_rate': 0.7, 'mutation_rate': 0.18, 'population_size': 200, 'elitism_size': 12, 'tournament_size': 7, 'num_generations': 150}
2026-09-04 01:48:23 | Geração 0 (inicial) — melhor fitness: 266064494
2026-09-04 01:48:36 | Geração 1/150 — melhor fitness: 257048475 | sem melhora há 0 geração(ões)
2026-09-04 01:48:48 | Geração 2/150 — melhor fitness: 249114419 | sem melhora há 0 geração(ões)
2026-09-04 01:49:01 | Geração 3/150 — melhor fitness: 249114419 | sem melhora há 1 geração(ões)
2026-09-04 01:49:13 | Geração 4/150 — melhor fitness: 249114419 | sem melhora há 2 geração(ões)
2026-09-04 01:49:25 | Geração 5/150 — melhor fitness: 249114419 | sem melhora há 3 geração(ões)
2026-09-04 01:49:38 | Geração 6/150 — melhor fitness: 248044328 | sem melhora há 0 geração(ões)
2026-09-04 01:49:50 | Geração 7/150 — melhor fitness: 244020949 | sem melhora há 0 geração(ões)
2026-09-04 01:50:03 | Geração 8/150 — melhor fitness: 244020949 | sem melhora há 1 geração(ões)
2026-09-04 01:50:16 | Geração 9/150 — melhor fitness: 244020949 | sem melhora há 2 geração(ões)
2026-09-04 01:50:28 | Geração 10/150 — melhor fitness: 244020949 | sem melhora há 3 geração(ões)
2026-09-04 01:50:40 | Geração 11/150 — melhor fitness: 244020949 | sem melhora há 4 geração(ões)
2026-09-04 01:50:53 | Geração 12/150 — melhor fitness: 241385536 | sem melhora há 0 geração(ões)
2026-09-04 01:51:05 | Geração 13/150 — melhor fitness: 241385536 | sem melhora há 1 geração(ões)
2026-09-04 01:51:17 | Geração 14/150 — melhor fitness: 241385536 | sem melhora há 2 geração(ões)
2026-09-04 01:51:29 | Geração 15/150 — melhor fitness: 241385536 | sem melhora há 3 geração(ões)
2026-09-04 01:51:41 | Geração 16/150 — melhor fitness: 241079062 | sem melhora há 0 geração(ões)
2026-09-04 01:51:54 | Geração 17/150 — melhor fitness: 235909529 | sem melhora há 0 geração(ões)
2026-09-04 01:52:06 | Geração 18/150 — melhor fitness: 235909529 | sem melhora há 1 geração(ões)
2026-09-04 01:52:19 | Geração 19/150 — melhor fitness: 235909529 | sem melhora há 2 geração(ões)
2026-09-04 01:52:30 | Geração 20/150 — melhor fitness: 235909529 | sem melhora há 3 geração(ões)
2026-09-04 01:52:42 | Geração 21/150 — melhor fitness: 235909529 | sem melhora há 4 geração(ões)
2026-09-04 01:52:55 | Geração 22/150 — melhor fitness: 235909529 | sem melhora há 5 geração(ões)
2026-09-04 01:53:06 | Geração 23/150 — melhor fitness: 233378186 | sem melhora há 0 geração(ões)
2026-09-04 01:53:19 | Geração 24/150 — melhor fitness: 233378186 | sem melhora há 1 geração(ões)
2026-09-04 01:53:31 | Geração 25/150 — melhor fitness: 233378186 | sem melhora há 2 geração(ões)
2026-09-04 01:53:43 | Geração 26/150 — melhor fitness: 233378186 | sem melhora há 3 geração(ões)
2026-09-04 01:53:56 | Geração 27/150 — melhor fitness: 233378186 | sem melhora há 4 geração(ões)
2026-09-04 01:54:09 | Geração 28/150 — melhor fitness: 233378186 | sem melhora há 5 geração(ões)
2026-09-04 01:54:21 | Geração 29/150 — melhor fitness: 233378186 | sem melhora há 6 geração(ões)
2026-09-04 01:54:34 | Geração 30/150 — melhor fitness: 233378186 | sem melhora há 7 geração(ões)
2026-09-04 01:54:46 | Geração 31/150 — melhor fitness: 232658370 | sem melhora há 0 geração(ões)
2026-09-04 01:54:57 | Geração 32/150 — melhor fitness: 232658370 | sem melhora há 1 geração(ões)
2026-09-04 01:55:09 | Geração 33/150 — melhor fitness: 232292736 | sem melhora há 0 geração(ões)
2026-09-04 01:55:21 | Geração 34/150 — melhor fitness: 227964953 | sem melhora há 0 geração(ões)
2026-09-04 01:55:33 | Geração 35/150 — melhor fitness: 227964953 | sem melhora há 1 geração(ões)
2026-09-04 01:55:45 | Geração 36/150 — melhor fitness: 227964953 | sem melhora há 2 geração(ões)
2026-09-04 01:55:56 | Geração 37/150 — melhor fitness: 227964953 | sem melhora há 3 geração(ões)
2026-09-04 01:56:09 | Geração 38/150 — melhor fitness: 227964953 | sem melhora há 4 geração(ões)
2026-09-04 01:56:22 | Geração 39/150 — melhor fitness: 227964953 | sem melhora há 5 geração(ões)
2026-09-04 01:56:34 | Geração 40/150 — melhor fitness: 227964953 | sem melhora há 6 geração(ões)
2026-09-04 01:56:46 | Geração 41/150 — melhor fitness: 227964953 | sem melhora há 7 geração(ões)
2026-09-04 01:56:58 | Geração 42/150 — melhor fitness: 224918180 | sem melhora há 0 geração(ões)
2026-09-04 01:57:10 | Geração 43/150 — melhor fitness: 224918180 | sem melhora há 1 geração(ões)
2026-09-04 01:57:23 | Geração 44/150 — melhor fitness: 224918180 | sem melhora há 2 geração(ões)
2026-09-04 01:57:35 | Geração 45/150 — melhor fitness: 224918180 | sem melhora há 3 geração(ões)
2026-09-04 01:57:47 | Geração 46/150 — melhor fitness: 224918180 | sem melhora há 4 geração(ões)
2026-09-04 01:57:59 | Geração 47/150 — melhor fitness: 224918180 | sem melhora há 5 geração(ões)
2026-09-04 01:58:11 | Geração 48/150 — melhor fitness: 224918180 | sem melhora há 6 geração(ões)
2026-09-04 01:58:23 | Geração 49/150 — melhor fitness: 224918180 | sem melhora há 7 geração(ões)
2026-09-04 01:58:35 | Geração 50/150 — melhor fitness: 224918180 | sem melhora há 8 geração(ões)
2026-09-04 01:58:47 | Geração 51/150 — melhor fitness: 224918180 | sem melhora há 9 geração(ões)
2026-09-04 01:58:59 | Geração 52/150 — melhor fitness: 224918180 | sem melhora há 10 geração(ões)
2026-09-04 01:59:11 | Geração 53/150 — melhor fitness: 224918180 | sem melhora há 11 geração(ões)
2026-09-04 01:59:23 | Geração 54/150 — melhor fitness: 224918180 | sem melhora há 12 geração(ões)
2026-09-04 01:59:35 | Geração 55/150 — melhor fitness: 224918180 | sem melhora há 13 geração(ões)
2026-09-04 01:59:48 | Geração 56/150 — melhor fitness: 224918180 | sem melhora há 14 geração(ões)
2026-09-04 02:00:00 | Geração 57/150 — melhor fitness: 224918180 | sem melhora há 15 geração(ões)
2026-09-04 02:00:13 | Geração 58/150 — melhor fitness: 224918180 | sem melhora há 16 geração(ões)
2026-09-04 02:00:24 | Geração 59/150 — melhor fitness: 224918180 | sem melhora há 17 geração(ões)
2026-09-04 02:00:36 | Geração 60/150 — melhor fitness: 224840628 | sem melhora há 0 geração(ões)
2026-09-04 02:00:48 | Geração 61/150 — melhor fitness: 224840628 | sem melhora há 1 geração(ões)
2026-09-04 02:01:00 | Geração 62/150 — melhor fitness: 224840628 | sem melhora há 2 geração(ões)
2026-09-04 02:01:13 | Geração 63/150 — melhor fitness: 224840628 | sem melhora há 3 geração(ões)
2026-09-04 02:01:24 | Geração 64/150 — melhor fitness: 224840628 | sem melhora há 4 geração(ões)
2026-09-04 02:01:36 | Geração 65/150 — melhor fitness: 224840628 | sem melhora há 5 geração(ões)
2026-09-04 02:01:49 | Geração 66/150 — melhor fitness: 224840628 | sem melhora há 6 geração(ões)
2026-09-04 02:02:01 | Geração 67/150 — melhor fitness: 224840628 | sem melhora há 7 geração(ões)
2026-09-04 02:02:13 | Geração 68/150 — melhor fitness: 224840628 | sem melhora há 8 geração(ões)
2026-09-04 02:02:26 | Geração 69/150 — melhor fitness: 224840628 | sem melhora há 9 geração(ões)
2026-09-04 02:02:38 | Geração 70/150 — melhor fitness: 224840628 | sem melhora há 10 geração(ões)
2026-09-04 02:02:50 | Geração 71/150 — melhor fitness: 224840628 | sem melhora há 11 geração(ões)
2026-09-04 02:03:03 | Geração 72/150 — melhor fitness: 223422391 | sem melhora há 0 geração(ões)
2026-09-04 02:03:15 | Geração 73/150 — melhor fitness: 223422391 | sem melhora há 1 geração(ões)
2026-09-04 02:03:28 | Geração 74/150 — melhor fitness: 223422391 | sem melhora há 2 geração(ões)
2026-09-04 02:03:39 | Geração 75/150 — melhor fitness: 222486441 | sem melhora há 0 geração(ões)
2026-09-04 02:03:52 | Geração 76/150 — melhor fitness: 222486441 | sem melhora há 1 geração(ões)
2026-09-04 02:04:04 | Geração 77/150 — melhor fitness: 222486441 | sem melhora há 2 geração(ões)
2026-09-04 02:04:17 | Geração 78/150 — melhor fitness: 222486441 | sem melhora há 3 geração(ões)
2026-09-04 02:04:28 | Geração 79/150 — melhor fitness: 222486441 | sem melhora há 4 geração(ões)
2026-09-04 02:04:40 | Geração 80/150 — melhor fitness: 222486441 | sem melhora há 5 geração(ões)
2026-09-04 02:04:53 | Geração 81/150 — melhor fitness: 222486441 | sem melhora há 6 geração(ões)
2026-09-04 02:05:05 | Geração 82/150 — melhor fitness: 222486441 | sem melhora há 7 geração(ões)
2026-09-04 02:05:18 | Geração 83/150 — melhor fitness: 222486441 | sem melhora há 8 geração(ões)
2026-09-04 02:05:30 | Geração 84/150 — melhor fitness: 222486441 | sem melhora há 9 geração(ões)
2026-09-04 02:05:42 | Geração 85/150 — melhor fitness: 222486441 | sem melhora há 10 geração(ões)
2026-09-04 02:05:55 | Geração 86/150 — melhor fitness: 222486441 | sem melhora há 11 geração(ões)
2026-09-04 02:06:07 | Geração 87/150 — melhor fitness: 222486441 | sem melhora há 12 geração(ões)
2026-09-04 02:06:20 | Geração 88/150 — melhor fitness: 222486441 | sem melhora há 13 geração(ões)
2026-09-04 02:06:32 | Geração 89/150 — melhor fitness: 222486441 | sem melhora há 14 geração(ões)
2026-09-04 02:06:44 | Geração 90/150 — melhor fitness: 222486441 | sem melhora há 15 geração(ões)
2026-09-04 02:06:55 | Geração 91/150 — melhor fitness: 222486441 | sem melhora há 16 geração(ões)
2026-09-04 02:07:08 | Geração 92/150 — melhor fitness: 222486441 | sem melhora há 17 geração(ões)
2026-09-04 02:07:21 | Geração 93/150 — melhor fitness: 222486441 | sem melhora há 18 geração(ões)
2026-09-04 02:07:34 | Geração 94/150 — melhor fitness: 222486441 | sem melhora há 19 geração(ões)
2026-09-04 02:07:47 | Geração 95/150 — melhor fitness: 222486441 | sem melhora há 20 geração(ões)
2026-09-04 02:07:59 | Geração 96/150 — melhor fitness: 222486441 | sem melhora há 21 geração(ões)
2026-09-04 02:08:13 | Geração 97/150 — melhor fitness: 222486441 | sem melhora há 22 geração(ões)
2026-09-04 02:08:25 | Geração 98/150 — melhor fitness: 222486441 | sem melhora há 23 geração(ões)
2026-09-04 02:08:38 | Geração 99/150 — melhor fitness: 222486441 | sem melhora há 24 geração(ões)
2026-09-04 02:08:49 | Geração 100/150 — melhor fitness: 222486441 | sem melhora há 25 geração(ões)
2026-09-04 02:09:01 | Geração 101/150 — melhor fitness: 222486441 | sem melhora há 26 geração(ões)
2026-09-04 02:09:13 | Geração 102/150 — melhor fitness: 222486441 | sem melhora há 27 geração(ões)
2026-09-04 02:09:26 | Geração 103/150 — melhor fitness: 222486441 | sem melhora há 28 geração(ões)
2026-09-04 02:09:39 | Geração 104/150 — melhor fitness: 222486441 | sem melhora há 29 geração(ões)
2026-09-04 02:09:51 | Geração 105/150 — melhor fitness: 222486441 | sem melhora há 30 geração(ões)
2026-09-04 02:10:04 | Geração 106/150 — melhor fitness: 222486441 | sem melhora há 31 geração(ões)
2026-09-04 02:10:16 | Geração 107/150 — melhor fitness: 222486441 | sem melhora há 32 geração(ões)
2026-09-04 02:10:29 | Geração 108/150 — melhor fitness: 222486441 | sem melhora há 33 geração(ões)
2026-09-04 02:10:41 | Geração 109/150 — melhor fitness: 222486441 | sem melhora há 34 geração(ões)
2026-09-04 02:10:53 | Geração 110/150 — melhor fitness: 222486441 | sem melhora há 35 geração(ões)
2026-09-04 02:11:04 | Geração 111/150 — melhor fitness: 222138139 | sem melhora há 0 geração(ões)
2026-09-04 02:11:16 | Geração 112/150 — melhor fitness: 222138139 | sem melhora há 1 geração(ões)
2026-09-04 02:11:29 | Geração 113/150 — melhor fitness: 222138139 | sem melhora há 2 geração(ões)
