2026-09-05 12:41:31 | ======================================================================
2026-09-05 12:41:31 | Iniciando tarefa — servidor0_tarefa377 | k=27 | seed=42
2026-09-05 12:41:31 | Hiperparâmetros: {'crossover_rate': 0.8, 'mutation_rate': 0.12, 'population_size': 300, 'elitism_size': 12, 'tournament_size': 10, 'num_generations': 350}
2026-09-05 12:41:34 | Geração 0 (inicial) — melhor fitness: 255548699
2026-09-05 12:42:00 | Geração 1/350 — melhor fitness: 253218914 | sem melhora há 0 geração(ões)
2026-09-05 12:42:26 | Geração 2/350 — melhor fitness: 253218914 | sem melhora há 1 geração(ões)
2026-09-05 12:42:53 | Geração 3/350 — melhor fitness: 253218914 | sem melhora há 2 geração(ões)
2026-09-05 12:43:21 | Geração 4/350 — melhor fitness: 246932043 | sem melhora há 0 geração(ões)
2026-09-05 12:43:49 | Geração 5/350 — melhor fitness: 246932043 | sem melhora há 1 geração(ões)
2026-09-05 12:44:15 | Geração 6/350 — melhor fitness: 246932043 | sem melhora há 2 geração(ões)
2026-09-05 12:44:43 | Geração 7/350 — melhor fitness: 243052200 | sem melhora há 0 geração(ões)
2026-09-05 12:45:09 | Geração 8/350 — melhor fitness: 240687621 | sem melhora há 0 geração(ões)
2026-09-05 12:45:35 | Geração 9/350 — melhor fitness: 240160067 | sem melhora há 0 geração(ões)
2026-09-05 12:46:03 | Geração 10/350 — melhor fitness: 239728341 | sem melhora há 0 geração(ões)
2026-09-05 12:46:30 | Geração 11/350 — melhor fitness: 237584881 | sem melhora há 0 geração(ões)
2026-09-05 12:46:57 | Geração 12/350 — melhor fitness: 236750544 | sem melhora há 0 geração(ões)
2026-09-05 12:47:23 | Geração 13/350 — melhor fitness: 236247929 | sem melhora há 0 geração(ões)
2026-09-05 12:47:52 | Geração 14/350 — melhor fitness: 236247929 | sem melhora há 1 geração(ões)
2026-09-05 12:48:18 | Geração 15/350 — melhor fitness: 236247929 | sem melhora há 2 geração(ões)
2026-09-05 12:48:45 | Geração 16/350 — melhor fitness: 236247929 | sem melhora há 3 geração(ões)
2026-09-05 12:49:14 | Geração 17/350 — melhor fitness: 233329590 | sem melhora há 0 geração(ões)
2026-09-05 12:49:41 | Geração 18/350 — melhor fitness: 231654603 | sem melhora há 0 geração(ões)
2026-09-05 12:50:07 | Geração 19/350 — melhor fitness: 231654603 | sem melhora há 1 geração(ões)
2026-09-05 12:50:35 | Geração 20/350 — melhor fitness: 229827157 | sem melhora há 0 geração(ões)
2026-09-05 12:51:02 | Geração 21/350 — melhor fitness: 224768347 | sem melhora há 0 geração(ões)
2026-09-05 12:51:31 | Geração 22/350 — melhor fitness: 224768347 | sem melhora há 1 geração(ões)
2026-09-05 12:51:58 | Geração 23/350 — melhor fitness: 224768347 | sem melhora há 2 geração(ões)
2026-09-05 12:52:25 | Geração 24/350 — melhor fitness: 224768347 | sem melhora há 3 geração(ões)
2026-09-05 12:52:52 | Geração 25/350 — melhor fitness: 224768347 | sem melhora há 4 geração(ões)
2026-09-05 12:53:19 | Geração 26/350 — melhor fitness: 223482397 | sem melhora há 0 geração(ões)
2026-09-05 12:53:46 | Geração 27/350 — melhor fitness: 223482397 | sem melhora há 1 geração(ões)
2026-09-05 12:54:14 | Geração 28/350 — melhor fitness: 221805663 | sem melhora há 0 geração(ões)
2026-09-05 12:54:41 | Geração 29/350 — melhor fitness: 221805663 | sem melhora há 1 geração(ões)
2026-09-05 12:55:09 | Geração 30/350 — melhor fitness: 221805663 | sem melhora há 2 geração(ões)
2026-09-05 12:55:36 | Geração 31/350 — melhor fitness: 221805663 | sem melhora há 3 geração(ões)
2026-09-05 12:56:04 | Geração 32/350 — melhor fitness: 220873056 | sem melhora há 0 geração(ões)
2026-09-05 12:56:32 | Geração 33/350 — melhor fitness: 220873056 | sem melhora há 1 geração(ões)
2026-09-05 12:57:01 | Geração 34/350 — melhor fitness: 220873056 | sem melhora há 2 geração(ões)
2026-09-05 12:57:27 | Geração 35/350 — melhor fitness: 220873056 | sem melhora há 3 geração(ões)
2026-09-05 12:57:54 | Geração 36/350 — melhor fitness: 220873056 | sem melhora há 4 geração(ões)
2026-09-05 12:58:22 | Geração 37/350 — melhor fitness: 220873056 | sem melhora há 5 geração(ões)
2026-09-05 12:58:49 | Geração 38/350 — melhor fitness: 220873056 | sem melhora há 6 geração(ões)
2026-09-05 12:59:17 | Geração 39/350 — melhor fitness: 220873056 | sem melhora há 7 geração(ões)
2026-09-05 12:59:46 | Geração 40/350 — melhor fitness: 220873056 | sem melhora há 8 geração(ões)
2026-09-05 13:00:15 | Geração 41/350 — melhor fitness: 220155371 | sem melhora há 0 geração(ões)
2026-09-05 13:00:43 | Geração 42/350 — melhor fitness: 220155371 | sem melhora há 1 geração(ões)
2026-09-05 13:01:09 | Geração 43/350 — melhor fitness: 219113224 | sem melhora há 0 geração(ões)
2026-09-05 13:01:36 | Geração 44/350 — melhor fitness: 218471345 | sem melhora há 0 geração(ões)
2026-09-05 13:02:03 | Geração 45/350 — melhor fitness: 218471345 | sem melhora há 1 geração(ões)
2026-09-05 13:02:31 | Geração 46/350 — melhor fitness: 218471345 | sem melhora há 2 geração(ões)
2026-09-05 13:02:58 | Geração 47/350 — melhor fitness: 218471345 | sem melhora há 3 geração(ões)
2026-09-05 13:03:26 | Geração 48/350 — melhor fitness: 218471345 | sem melhora há 4 geração(ões)
2026-09-05 13:03:53 | Geração 49/350 — melhor fitness: 218471345 | sem melhora há 5 geração(ões)
2026-09-05 13:04:21 | Geração 50/350 — melhor fitness: 217388325 | sem melhora há 0 geração(ões)
2026-09-05 13:04:47 | Geração 51/350 — melhor fitness: 217388325 | sem melhora há 1 geração(ões)
2026-09-05 13:05:16 | Geração 52/350 — melhor fitness: 217388325 | sem melhora há 2 geração(ões)
2026-09-05 13:05:43 | Geração 53/350 — melhor fitness: 217388325 | sem melhora há 3 geração(ões)
2026-09-05 13:06:12 | Geração 54/350 — melhor fitness: 217388325 | sem melhora há 4 geração(ões)
2026-09-05 13:06:41 | Geração 55/350 — melhor fitness: 217388325 | sem melhora há 5 geração(ões)
2026-09-05 13:07:08 | Geração 56/350 — melhor fitness: 217388325 | sem melhora há 6 geração(ões)
2026-09-05 13:07:37 | Geração 57/350 — melhor fitness: 217388325 | sem melhora há 7 geração(ões)
2026-09-05 13:08:04 | Geração 58/350 — melhor fitness: 217388325 | sem melhora há 8 geração(ões)
2026-09-05 13:08:32 | Geração 59/350 — melhor fitness: 217388325 | sem melhora há 9 geração(ões)
2026-09-05 13:09:00 | Geração 60/350 — melhor fitness: 217388325 | sem melhora há 10 geração(ões)
2026-09-05 13:09:28 | Geração 61/350 — melhor fitness: 217388325 | sem melhora há 11 geração(ões)
2026-09-05 13:09:54 | Geração 62/350 — melhor fitness: 217157292 | sem melhora há 0 geração(ões)
2026-09-05 13:10:22 | Geração 63/350 — melhor fitness: 217157292 | sem melhora há 1 geração(ões)
2026-09-05 13:10:50 | Geração 64/350 — melhor fitness: 217157292 | sem melhora há 2 geração(ões)
2026-09-05 13:11:17 | Geração 65/350 — melhor fitness: 217157292 | sem melhora há 3 geração(ões)
2026-09-05 13:11:44 | Geração 66/350 — melhor fitness: 217157292 | sem melhora há 4 geração(ões)
2026-09-05 13:12:12 | Geração 67/350 — melhor fitness: 217157292 | sem melhora há 5 geração(ões)
2026-09-05 13:12:41 | Geração 68/350 — melhor fitness: 216758449 | sem melhora há 0 geração(ões)
2026-09-05 13:13:08 | Geração 69/350 — melhor fitness: 216758449 | sem melhora há 1 geração(ões)
2026-09-05 13:13:34 | Geração 70/350 — melhor fitness: 216527416 | sem melhora há 0 geração(ões)
2026-09-05 13:14:01 | Geração 71/350 — melhor fitness: 216064172 | sem melhora há 0 geração(ões)
2026-09-05 13:14:28 | Geração 72/350 — melhor fitness: 216064172 | sem melhora há 1 geração(ões)
2026-09-05 13:14:55 | Geração 73/350 — melhor fitness: 216064172 | sem melhora há 2 geração(ões)
2026-09-05 13:15:23 | Geração 74/350 — melhor fitness: 216064172 | sem melhora há 3 geração(ões)
2026-09-05 13:15:51 | Geração 75/350 — melhor fitness: 215995620 | sem melhora há 0 geração(ões)
2026-09-05 13:16:18 | Geração 76/350 — melhor fitness: 215995620 | sem melhora há 1 geração(ões)
2026-09-05 13:16:46 | Geração 77/350 — melhor fitness: 215995620 | sem melhora há 2 geração(ões)
2026-09-05 13:17:14 | Geração 78/350 — melhor fitness: 215995620 | sem melhora há 3 geração(ões)
2026-09-05 13:17:41 | Geração 79/350 — melhor fitness: 215995620 | sem melhora há 4 geração(ões)
2026-09-05 13:18:09 | Geração 80/350 — melhor fitness: 215995620 | sem melhora há 5 geração(ões)
2026-09-05 13:18:37 | Geração 81/350 — melhor fitness: 215995620 | sem melhora há 6 geração(ões)
2026-09-05 13:19:03 | Geração 82/350 — melhor fitness: 215949068 | sem melhora há 0 geração(ões)
2026-09-05 13:19:31 | Geração 83/350 — melhor fitness: 215949068 | sem melhora há 1 geração(ões)
2026-09-05 13:19:59 | Geração 84/350 — melhor fitness: 215949068 | sem melhora há 2 geração(ões)
2026-09-05 13:20:25 | Geração 85/350 — melhor fitness: 215949068 | sem melhora há 3 geração(ões)
2026-09-05 13:20:52 | Geração 86/350 — melhor fitness: 215949068 | sem melhora há 4 geração(ões)
2026-09-05 13:21:18 | Geração 87/350 — melhor fitness: 215949068 | sem melhora há 5 geração(ões)
