approach,minutes,cs_amount,percentage,repetition,stat_route_length,stat_duration,stat_waiting_time,stat_time_loss,stat_depart_delay,sim_ended_time,reason,perf_duration_s,real_time_factor,ups,vehicles_inserted,vehicles_running,vehicles_waiting,teleports_total,teleports_collisions,teleports_jam,teleports_yield,teleports_wrong_lane,emergency_stops
greedyvoronoi,40,16,15,5,10045.02,1874.65,948.88,1124.21,5.71,57294.0,TraCI requested termination.,4492.204,7.94577,3338.913816,8001,0,0,1998,15,618,215,1150,625
greedyvoronoi,40,25,15,1,9936.68,1768.66,841.91,1013.69,8.83,44461.0,TraCI requested termination.,7495.74,3.04987,1887.874313,8001,0,0,1804,10,603,303,888,621
greedyvoronoi,40,25,15,2,9774.68,1558.05,661.83,828.55,11.45,38686.0,TraCI requested termination.,6008.086,2.84383,2074.863276,8001,0,0,1895,13,434,391,1057,625
greedyvoronoi,40,25,15,3,9671.37,1720.72,823.9,996.61,14.18,42708.0,TraCI requested termination.,6191.291,3.40931,2223.682427,8001,0,0,1858,3,642,262,951,625
greedyvoronoi,40,25,15,4,9846.32,2049.13,1125.16,1301.94,10.71,50703.0,TraCI requested termination.,5852.461,4.97278,2801.406622,8001,0,0,1914,5,553,159,1197,607
greedyvoronoi,40,25,15,5,10189.03,1649.9,729.42,899.22,6.79,49547.0,TraCI requested termination.,7099.688,3.93637,1859.357341,8001,0,0,1735,11,517,188,1019,645
greedyvoronoi,40,36,15,1,9971.44,1754.17,833.24,1006.07,6.82,49724.0,TraCI requested termination.,9648.066,2.91499,1454.70854,8001,0,0,1919,9,472,249,1189,625
greedyvoronoi,40,36,15,2,9816.22,1770.16,842.65,1011.64,8.76,49789.0,TraCI requested termination.,9003.56,3.13087,1573.04966,8001,0,0,1750,4,411,250,1085,675
greedyvoronoi,40,36,15,3,9637.25,1527.56,619.54,785.43,11.02,39087.0,TraCI requested termination.,9015.072,1.93975,1355.728939,8001,0,0,1657,13,385,343,916,604
greedyvoronoi,40,36,15,4,9777.28,1532.63,633.88,799.0,8.44,40012.0,TraCI requested termination.,10982.641,1.67646,1116.544372,8001,0,0,1847,5,434,342,1066,614
greedyvoronoi,40,36,15,5,9650.95,1457.63,538.6,706.91,8.04,35048.0,TraCI requested termination.,10528.931,1.27724,1107.658603,8001,0,0,1652,9,411,341,891,597
greedyvoronoi,40,49,15,1,9632.69,1541.54,629.64,796.48,9.32,44125.0,TraCI requested termination.,12962.028,1.73777,951.537676,8001,0,0,1639,8,437,224,970,618
greedyvoronoi,40,49,15,2,10313.1,1694.6,764.28,931.32,10.61,53262.0,TraCI requested termination.,9267.821,3.41634,1462.963516,8001,0,0,1784,11,558,200,1015,614
