2026-08-14 13:51:35 | ======================================================================
2026-08-14 13:51:35 | Iniciando execução — k25_seed555
2026-08-14 13:51:35 | Seed utilizada: 555
2026-08-14 13:51:35 | Arquivo existe? True
2026-08-14 13:51:46 | Número de nós no grafo completo: 71368
2026-08-14 13:51:46 | Número de estações desejadas: 25
2026-08-14 13:51:46 | Componente gigante: 71073 de 71368 nós (295 nós de fora, em 257 componentes menores).
2026-08-14 13:51:51 | Geração 0 (inicial) — melhor fitness: 264822013
2026-08-14 13:52:04 | Geração 1/250 — melhor fitness: 264822013 | sem melhora há 1 geração(ões)
2026-08-14 13:52:16 | Geração 2/250 — melhor fitness: 260041755 | sem melhora há 0 geração(ões)
2026-08-14 13:52:29 | Geração 3/250 — melhor fitness: 258840100 | sem melhora há 0 geração(ões)
2026-08-14 13:52:42 | Geração 4/250 — melhor fitness: 253381217 | sem melhora há 0 geração(ões)
2026-08-14 13:52:54 | Geração 5/250 — melhor fitness: 253381217 | sem melhora há 1 geração(ões)
2026-08-14 13:53:07 | Geração 6/250 — melhor fitness: 251383769 | sem melhora há 0 geração(ões)
2026-08-14 13:53:19 | Geração 7/250 — melhor fitness: 248871475 | sem melhora há 0 geração(ões)
2026-08-14 13:53:32 | Geração 8/250 — melhor fitness: 248871475 | sem melhora há 1 geração(ões)
2026-08-14 13:53:45 | Geração 9/250 — melhor fitness: 242319002 | sem melhora há 0 geração(ões)
2026-08-14 13:53:58 | Geração 10/250 — melhor fitness: 242319002 | sem melhora há 1 geração(ões)
2026-08-14 13:54:11 | Geração 11/250 — melhor fitness: 242319002 | sem melhora há 2 geração(ões)
2026-08-14 13:54:23 | Geração 12/250 — melhor fitness: 242319002 | sem melhora há 3 geração(ões)
2026-08-14 13:54:36 | Geração 13/250 — melhor fitness: 242319002 | sem melhora há 4 geração(ões)
2026-08-14 13:54:49 | Geração 14/250 — melhor fitness: 242319002 | sem melhora há 5 geração(ões)
2026-08-14 13:55:02 | Geração 15/250 — melhor fitness: 242319002 | sem melhora há 6 geração(ões)
2026-08-14 13:55:15 | Geração 16/250 — melhor fitness: 240374993 | sem melhora há 0 geração(ões)
2026-08-14 13:55:28 | Geração 17/250 — melhor fitness: 239689960 | sem melhora há 0 geração(ões)
2026-08-14 13:55:41 | Geração 18/250 — melhor fitness: 239573368 | sem melhora há 0 geração(ões)
2026-08-14 13:55:54 | Geração 19/250 — melhor fitness: 239573368 | sem melhora há 1 geração(ões)
2026-08-14 13:56:08 | Geração 20/250 — melhor fitness: 237771618 | sem melhora há 0 geração(ões)
2026-08-14 13:56:20 | Geração 21/250 — melhor fitness: 237771618 | sem melhora há 1 geração(ões)
2026-08-14 13:56:33 | Geração 22/250 — melhor fitness: 237771618 | sem melhora há 2 geração(ões)
2026-08-14 13:56:46 | Geração 23/250 — melhor fitness: 237771618 | sem melhora há 3 geração(ões)
2026-08-14 13:56:59 | Geração 24/250 — melhor fitness: 237661478 | sem melhora há 0 geração(ões)
2026-08-14 13:57:13 | Geração 25/250 — melhor fitness: 237062192 | sem melhora há 0 geração(ões)
2026-08-14 13:57:26 | Geração 26/250 — melhor fitness: 237062192 | sem melhora há 1 geração(ões)
2026-08-14 13:57:39 | Geração 27/250 — melhor fitness: 236313246 | sem melhora há 0 geração(ões)
2026-08-14 13:57:52 | Geração 28/250 — melhor fitness: 236313246 | sem melhora há 1 geração(ões)
2026-08-14 13:58:05 | Geração 29/250 — melhor fitness: 236313246 | sem melhora há 2 geração(ões)
2026-08-14 13:58:18 | Geração 30/250 — melhor fitness: 236313246 | sem melhora há 3 geração(ões)
2026-08-14 13:58:31 | Geração 31/250 — melhor fitness: 236304875 | sem melhora há 0 geração(ões)
2026-08-14 13:58:44 | Geração 32/250 — melhor fitness: 236304875 | sem melhora há 1 geração(ões)
2026-08-14 13:58:58 | Geração 33/250 — melhor fitness: 236304875 | sem melhora há 2 geração(ões)
2026-08-14 13:59:10 | Geração 34/250 — melhor fitness: 236304875 | sem melhora há 3 geração(ões)
2026-08-14 13:59:22 | Geração 35/250 — melhor fitness: 236304875 | sem melhora há 4 geração(ões)
2026-08-14 13:59:36 | Geração 36/250 — melhor fitness: 236304875 | sem melhora há 5 geração(ões)
2026-08-14 13:59:49 | Geração 37/250 — melhor fitness: 236304875 | sem melhora há 6 geração(ões)
2026-08-14 14:00:02 | Geração 38/250 — melhor fitness: 236304875 | sem melhora há 7 geração(ões)
2026-08-14 14:00:15 | Geração 39/250 — melhor fitness: 232361083 | sem melhora há 0 geração(ões)
2026-08-14 14:00:28 | Geração 40/250 — melhor fitness: 232361083 | sem melhora há 1 geração(ões)
2026-08-14 14:00:41 | Geração 41/250 — melhor fitness: 232361083 | sem melhora há 2 geração(ões)
2026-08-14 14:00:56 | Geração 42/250 — melhor fitness: 232361083 | sem melhora há 3 geração(ões)
2026-08-14 14:01:09 | Geração 43/250 — melhor fitness: 232361083 | sem melhora há 4 geração(ões)
2026-08-14 14:01:22 | Geração 44/250 — melhor fitness: 232361083 | sem melhora há 5 geração(ões)
2026-08-14 14:01:35 | Geração 45/250 — melhor fitness: 232361083 | sem melhora há 6 geração(ões)
2026-08-14 14:01:48 | Geração 46/250 — melhor fitness: 232361083 | sem melhora há 7 geração(ões)
2026-08-14 14:02:01 | Geração 47/250 — melhor fitness: 232361083 | sem melhora há 8 geração(ões)
2026-08-14 14:02:14 | Geração 48/250 — melhor fitness: 232361083 | sem melhora há 9 geração(ões)
2026-08-14 14:02:28 | Geração 49/250 — melhor fitness: 230530443 | sem melhora há 0 geração(ões)
2026-08-14 14:02:41 | Geração 50/250 — melhor fitness: 230530443 | sem melhora há 1 geração(ões)
2026-08-14 14:02:54 | Geração 51/250 — melhor fitness: 230530443 | sem melhora há 2 geração(ões)
2026-08-14 14:03:07 | Geração 52/250 — melhor fitness: 230530443 | sem melhora há 3 geração(ões)
2026-08-14 14:03:19 | Geração 53/250 — melhor fitness: 230530443 | sem melhora há 4 geração(ões)
2026-08-14 14:03:32 | Geração 54/250 — melhor fitness: 230530443 | sem melhora há 5 geração(ões)
2026-08-14 14:03:46 | Geração 55/250 — melhor fitness: 230530443 | sem melhora há 6 geração(ões)
2026-08-14 14:03:59 | Geração 56/250 — melhor fitness: 230530443 | sem melhora há 7 geração(ões)
2026-08-14 14:04:11 | Geração 57/250 — melhor fitness: 229702198 | sem melhora há 0 geração(ões)
2026-08-14 14:04:24 | Geração 58/250 — melhor fitness: 229702198 | sem melhora há 1 geração(ões)
2026-08-14 14:04:37 | Geração 59/250 — melhor fitness: 226760236 | sem melhora há 0 geração(ões)
2026-08-14 14:04:50 | Geração 60/250 — melhor fitness: 226760236 | sem melhora há 1 geração(ões)
2026-08-14 14:05:02 | Geração 61/250 — melhor fitness: 226760236 | sem melhora há 2 geração(ões)
2026-08-14 14:05:15 | Geração 62/250 — melhor fitness: 226760236 | sem melhora há 3 geração(ões)
2026-08-14 14:05:28 | Geração 63/250 — melhor fitness: 226648421 | sem melhora há 0 geração(ões)
2026-08-14 14:05:41 | Geração 64/250 — melhor fitness: 226648421 | sem melhora há 1 geração(ões)
2026-08-14 14:05:54 | Geração 65/250 — melhor fitness: 226648421 | sem melhora há 2 geração(ões)
2026-08-14 14:06:06 | Geração 66/250 — melhor fitness: 226648421 | sem melhora há 3 geração(ões)
2026-08-14 14:06:20 | Geração 67/250 — melhor fitness: 226648421 | sem melhora há 4 geração(ões)
2026-08-14 14:06:32 | Geração 68/250 — melhor fitness: 226648421 | sem melhora há 5 geração(ões)
2026-08-14 14:06:45 | Geração 69/250 — melhor fitness: 226648421 | sem melhora há 6 geração(ões)
2026-08-14 14:06:58 | Geração 70/250 — melhor fitness: 226648421 | sem melhora há 7 geração(ões)
2026-08-14 14:07:12 | Geração 71/250 — melhor fitness: 226648421 | sem melhora há 8 geração(ões)
2026-08-14 14:07:24 | Geração 72/250 — melhor fitness: 226648421 | sem melhora há 9 geração(ões)
2026-08-14 14:07:37 | Geração 73/250 — melhor fitness: 226648421 | sem melhora há 10 geração(ões)
2026-08-14 14:07:50 | Geração 74/250 — melhor fitness: 226648421 | sem melhora há 11 geração(ões)
2026-08-14 14:08:03 | Geração 75/250 — melhor fitness: 226648421 | sem melhora há 12 geração(ões)
2026-08-14 14:08:17 | Geração 76/250 — melhor fitness: 226648421 | sem melhora há 13 geração(ões)
2026-08-14 14:08:29 | Geração 77/250 — melhor fitness: 226648421 | sem melhora há 14 geração(ões)
2026-08-14 14:08:42 | Geração 78/250 — melhor fitness: 226648421 | sem melhora há 15 geração(ões)
2026-08-14 14:08:55 | Geração 79/250 — melhor fitness: 226648421 | sem melhora há 16 geração(ões)
2026-08-14 14:09:08 | Geração 80/250 — melhor fitness: 226648421 | sem melhora há 17 geração(ões)
2026-08-14 14:09:20 | Geração 81/250 — melhor fitness: 226508044 | sem melhora há 0 geração(ões)
2026-08-14 14:09:34 | Geração 82/250 — melhor fitness: 226508044 | sem melhora há 1 geração(ões)
2026-08-14 14:09:47 | Geração 83/250 — melhor fitness: 226508044 | sem melhora há 2 geração(ões)
2026-08-14 14:10:00 | Geração 84/250 — melhor fitness: 226508044 | sem melhora há 3 geração(ões)
2026-08-14 14:10:13 | Geração 85/250 — melhor fitness: 226508044 | sem melhora há 4 geração(ões)
2026-08-14 14:10:26 | Geração 86/250 — melhor fitness: 226508044 | sem melhora há 5 geração(ões)
2026-08-14 14:10:39 | Geração 87/250 — melhor fitness: 226508044 | sem melhora há 6 geração(ões)
2026-08-14 14:10:52 | Geração 88/250 — melhor fitness: 226367595 | sem melhora há 0 geração(ões)
2026-08-14 14:11:05 | Geração 89/250 — melhor fitness: 226367595 | sem melhora há 1 geração(ões)
2026-08-14 14:11:18 | Geração 90/250 — melhor fitness: 225069616 | sem melhora há 0 geração(ões)
2026-08-14 14:11:31 | Geração 91/250 — melhor fitness: 225069616 | sem melhora há 1 geração(ões)
2026-08-14 14:11:44 | Geração 92/250 — melhor fitness: 225069616 | sem melhora há 2 geração(ões)
2026-08-14 14:11:57 | Geração 93/250 — melhor fitness: 225069616 | sem melhora há 3 geração(ões)
2026-08-14 14:12:11 | Geração 94/250 — melhor fitness: 225069616 | sem melhora há 4 geração(ões)
2026-08-14 14:12:24 | Geração 95/250 — melhor fitness: 225069616 | sem melhora há 5 geração(ões)
2026-08-14 14:12:37 | Geração 96/250 — melhor fitness: 225069616 | sem melhora há 6 geração(ões)
2026-08-14 14:12:50 | Geração 97/250 — melhor fitness: 225069616 | sem melhora há 7 geração(ões)
2026-08-14 14:13:02 | Geração 98/250 — melhor fitness: 225069616 | sem melhora há 8 geração(ões)
2026-08-14 14:13:16 | Geração 99/250 — melhor fitness: 224296879 | sem melhora há 0 geração(ões)
2026-08-14 14:13:29 | Geração 100/250 — melhor fitness: 224296879 | sem melhora há 1 geração(ões)
2026-08-14 14:13:42 | Geração 101/250 — melhor fitness: 224296879 | sem melhora há 2 geração(ões)
2026-08-14 14:13:55 | Geração 102/250 — melhor fitness: 224296879 | sem melhora há 3 geração(ões)
2026-08-14 14:14:08 | Geração 103/250 — melhor fitness: 224296879 | sem melhora há 4 geração(ões)
2026-08-14 14:14:22 | Geração 104/250 — melhor fitness: 224296879 | sem melhora há 5 geração(ões)
2026-08-14 14:14:35 | Geração 105/250 — melhor fitness: 224296879 | sem melhora há 6 geração(ões)
2026-08-14 14:14:47 | Geração 106/250 — melhor fitness: 224296879 | sem melhora há 7 geração(ões)
2026-08-14 14:15:01 | Geração 107/250 — melhor fitness: 224296879 | sem melhora há 8 geração(ões)
2026-08-14 14:15:13 | Geração 108/250 — melhor fitness: 224296879 | sem melhora há 9 geração(ões)
2026-08-14 14:15:26 | Geração 109/250 — melhor fitness: 224296879 | sem melhora há 10 geração(ões)
2026-08-14 14:15:39 | Geração 110/250 — melhor fitness: 224296879 | sem melhora há 11 geração(ões)
2026-08-14 14:15:52 | Geração 111/250 — melhor fitness: 224296879 | sem melhora há 12 geração(ões)
2026-08-14 14:16:05 | Geração 112/250 — melhor fitness: 224296879 | sem melhora há 13 geração(ões)
2026-08-14 14:16:18 | Geração 113/250 — melhor fitness: 224296879 | sem melhora há 14 geração(ões)
2026-08-14 14:16:32 | Geração 114/250 — melhor fitness: 224296879 | sem melhora há 15 geração(ões)
2026-08-14 14:16:46 | Geração 115/250 — melhor fitness: 224296879 | sem melhora há 16 geração(ões)
2026-08-14 14:17:00 | Geração 116/250 — melhor fitness: 224296879 | sem melhora há 17 geração(ões)
2026-08-14 14:17:13 | Geração 117/250 — melhor fitness: 224296879 | sem melhora há 18 geração(ões)
2026-08-14 14:17:26 | Geração 118/250 — melhor fitness: 224296879 | sem melhora há 19 geração(ões)
2026-08-14 14:17:40 | Geração 119/250 — melhor fitness: 224296879 | sem melhora há 20 geração(ões)
2026-08-14 14:17:53 | Geração 120/250 — melhor fitness: 224027737 | sem melhora há 0 geração(ões)
2026-08-14 14:18:06 | Geração 121/250 — melhor fitness: 224027737 | sem melhora há 1 geração(ões)
2026-08-14 14:18:19 | Geração 122/250 — melhor fitness: 224027737 | sem melhora há 2 geração(ões)
2026-08-14 14:18:32 | Geração 123/250 — melhor fitness: 224027737 | sem melhora há 3 geração(ões)
2026-08-14 14:18:46 | Geração 124/250 — melhor fitness: 224027737 | sem melhora há 4 geração(ões)
2026-08-14 14:18:59 | Geração 125/250 — melhor fitness: 224027737 | sem melhora há 5 geração(ões)
2026-08-14 14:19:12 | Geração 126/250 — melhor fitness: 224027737 | sem melhora há 6 geração(ões)
2026-08-14 14:19:25 | Geração 127/250 — melhor fitness: 224027737 | sem melhora há 7 geração(ões)
2026-08-14 14:19:37 | Geração 128/250 — melhor fitness: 224027737 | sem melhora há 8 geração(ões)
2026-08-14 14:19:50 | Geração 129/250 — melhor fitness: 224027737 | sem melhora há 9 geração(ões)
2026-08-14 14:20:03 | Geração 130/250 — melhor fitness: 224027737 | sem melhora há 10 geração(ões)
2026-08-14 14:20:16 | Geração 131/250 — melhor fitness: 224027737 | sem melhora há 11 geração(ões)
2026-08-14 14:20:28 | Geração 132/250 — melhor fitness: 224027737 | sem melhora há 12 geração(ões)
2026-08-14 14:20:41 | Geração 133/250 — melhor fitness: 224027737 | sem melhora há 13 geração(ões)
2026-08-14 14:20:54 | Geração 134/250 — melhor fitness: 223895576 | sem melhora há 0 geração(ões)
2026-08-14 14:21:07 | Geração 135/250 — melhor fitness: 223895576 | sem melhora há 1 geração(ões)
2026-08-14 14:21:20 | Geração 136/250 — melhor fitness: 223895576 | sem melhora há 2 geração(ões)
2026-08-14 14:21:33 | Geração 137/250 — melhor fitness: 223895576 | sem melhora há 3 geração(ões)
2026-08-14 14:21:46 | Geração 138/250 — melhor fitness: 223895576 | sem melhora há 4 geração(ões)
2026-08-14 14:21:59 | Geração 139/250 — melhor fitness: 223895576 | sem melhora há 5 geração(ões)
2026-08-14 14:22:12 | Geração 140/250 — melhor fitness: 223895576 | sem melhora há 6 geração(ões)
2026-08-14 14:22:24 | Geração 141/250 — melhor fitness: 223895576 | sem melhora há 7 geração(ões)
2026-08-14 14:22:37 | Geração 142/250 — melhor fitness: 223895576 | sem melhora há 8 geração(ões)
2026-08-14 14:22:50 | Geração 143/250 — melhor fitness: 223895576 | sem melhora há 9 geração(ões)
2026-08-14 14:23:03 | Geração 144/250 — melhor fitness: 223895576 | sem melhora há 10 geração(ões)
2026-08-14 14:23:16 | Geração 145/250 — melhor fitness: 223895576 | sem melhora há 11 geração(ões)
2026-08-14 14:23:29 | Geração 146/250 — melhor fitness: 223895576 | sem melhora há 12 geração(ões)
2026-08-14 14:23:43 | Geração 147/250 — melhor fitness: 223895576 | sem melhora há 13 geração(ões)
2026-08-14 14:23:55 | Geração 148/250 — melhor fitness: 223895576 | sem melhora há 14 geração(ões)
2026-08-14 14:24:08 | Geração 149/250 — melhor fitness: 223895576 | sem melhora há 15 geração(ões)
2026-08-14 14:24:21 | Geração 150/250 — melhor fitness: 223895576 | sem melhora há 16 geração(ões)
